S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,Short video Series on NanoTechnology,7hrs 23min,12th,English/Hindi,Module 1: Introduction to Nanotechnology,What is NanoTechnology?,https://www.youtube.com/watch?v=-K7Gs0Nj-5o
2,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 1: Introduction to Nanotechnology,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10
3,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 2: Properties at the Nanoscale,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10
4,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 2: Properties at the Nanoscale,Properties change at nano scale Examples,https://www.youtube.com/watch?v=8pvgH_CtF4c
5,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 3: Nanomaterial Synthesis Techniques,Top down approach and Bottom up approach to produce nanomaterials,https://www.youtube.com/watch?v=bLKsHAtxDrM
6,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 3: Nanomaterial Synthesis Techniques,Ball Milling Method to produce nanomaterials,https://www.youtube.com/watch?v=6pSkixSwIZY
7,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 4: Nanomaterial Synthesis Techniques,Physical Vapour Deposition Method (Resistive method and Sputtering method),https://www.youtube.com/watch?v=JR1EMlE15nQ
8,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 4: Nanomaterial Synthesis Techniques,Sol gel method to produce nanomaterials,https://www.youtube.com/watch?v=3XpuoVVzT1A
9,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 5: Characterization Techniques I,Chemical Vapour Deposition Method to produce nanomaterials,https://www.youtube.com/watch?v=a_bR5xQ2xr8
10,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 5: Characterization Techniques I,"Prerequisites : Electron Scattering, Tunneling Effect, Electrostatic and Magnetic lens",https://www.youtube.com/watch?v=u7pD1hsTO9s
11,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 6: Characterization Techniques II,Scanning Electron Microscope Construction and Working,https://www.youtube.com/watch?v=FVMdog5zzE4
12,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 6: Characterization Techniques II,Transmission Electron Microscope (TEM) Construction and Working,https://www.youtube.com/watch?v=oLSiKHMRNu0
13,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 7: Applications of Nanotechnology,Atomic Force Microscope (AFM) Construction and Working,https://www.youtube.com/watch?v=xnOqahYA6NU
14,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 7: Applications of Nanotechnology,Applications of NanoTechnology,https://www.youtube.com/watch?v=JffF6AqWCHE
15,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 8: Nanofabrication and Analysis,Nanotechnology Nanofabrication by photolithography,https://www.youtube.com/watch?v=kW_EtKNiSxM
16,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 8: Nanofabrication and Analysis,Determination of nanocrystallite size using X ray Diffraction,https://www.youtube.com/watch?v=jhUsoVGAEwk
17,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 9: Advanced Characterization,X ray Photoelectron Spectroscopy,https://www.youtube.com/watch?v=ddxdueINd5s
18,Biotechnology,Short video Series on NanoTechnology,,12th,English/Hindi,Module 9: Advanced Characterization,How Rutherford backscattering is used to identify elemental composition of the material?,https://www.youtube.com/watch?v=CFrHM_D6ALc
