S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Business Case Studies,44hrs 9min,12th,English/Hindi,Module 1: Business Strategy in the Indian Economy,How NATIONAL LOGISTICS POLICY will be a GAME CHANGER for Indian Economy? : Business case study,https://www.youtube.com/watch?v=M9bhCVqGaOI
2,Project Management,Business Case Studies,,12th,English/Hindi,Module 1: Business Strategy in the Indian Economy,Gillette's Billion Dollar Business Strategy that kept it relevant for 120 years,https://www.youtube.com/watch?v=YRYLPeWCOP0
3,Project Management,Business Case Studies,,12th,English/Hindi,Module 1: Business Strategy in the Indian Economy,The Genius Marketing Strategy of Marlboro Cigarettes | Business Marketing Case study,https://www.youtube.com/watch?v=6-tS7-IhCbI
4,Project Management,Business Case Studies,,12th,English/Hindi,Module 1: Business Strategy in the Indian Economy,CRED's Genius Business Model EXPLAINED,https://www.youtube.com/watch?v=EUcVBDtJo5M
5,Project Management,Business Case Studies,,12th,English/Hindi,Module 2: Marketing Mastery: Building Brands and Driving Sales,Zerodha Case Study: Bootstrapped to Billion dollar valuation startup without advertisements!,https://www.youtube.com/watch?v=vguLPoLiFNg
6,Project Management,Business Case Studies,,12th,English/Hindi,Module 2: Marketing Mastery: Building Brands and Driving Sales,This simple idea changed FMCG Market forever | CHIK Shampoo Case Study,https://www.youtube.com/watch?v=A1k62pSQ7so
7,Project Management,Business Case Studies,,12th,English/Hindi,Module 2: Marketing Mastery: Building Brands and Driving Sales,How is Zoho's Sridhar Vembu transforming Indian village economy by providing education & jobs?,https://www.youtube.com/watch?v=xOeGbJ2bYL0
8,Project Management,Business Case Studies,,12th,English/Hindi,Module 3: Disruptive Innovation and Growth Strategies,How Coca-Cola sold sugared water for over 100 years? | Marketing Casestudy,https://www.youtube.com/watch?v=UL9dWIy2WZs
9,Project Management,Business Case Studies,,12th,English/Hindi,Module 3: Disruptive Innovation and Growth Strategies,What Steve Jobs learnt from Nike's marketing campaign that beat it's rival Adidas,https://www.youtube.com/watch?v=rN0HrbDDmZ8
10,Project Management,Business Case Studies,,12th,English/Hindi,Module 3: Disruptive Innovation and Growth Strategies,The smoothest Sales Pitch you will ever come accross: Amway Case Study,https://www.youtube.com/watch?v=wzsYAuxhxSw
11,Project Management,Business Case Studies,,12th,English/Hindi,Module 4: Building Enduring Businesses: Strategies for Success,IKEA Business Case Study: How to Earn 40 Billion$ Every Year by Selling Furniture? (IKEA Effect),https://www.youtube.com/watch?v=LNmhEp0kj5Q
12,Project Management,Business Case Studies,,12th,English/Hindi,Module 4: Building Enduring Businesses: Strategies for Success,How 7 Mumbai-based women Entrepreneurs made a 1600 Cr empire from 80Rs | Lijjat Papad Case Study,https://www.youtube.com/watch?v=EdpoEmifW7M
13,Project Management,Business Case Studies,,12th,English/Hindi,Module 4: Building Enduring Businesses: Strategies for Success,How did India's MTR Foods overcome all the economic downturns in the past 97 years &make 1000Crores?,https://www.youtube.com/watch?v=jp_CSPtSQWY
14,Project Management,Business Case Studies,,12th,English/Hindi,Module 5: Content Marketing and Digital Dominance,"Content Marketing Lessons from Red Bull, FORD and Garyvee's book Crush it!",https://www.youtube.com/watch?v=X2f9IiflXaQ
15,Project Management,Business Case Studies,,12th,English/Hindi,Module 5: Content Marketing and Digital Dominance,How does Facebook kill its competition? Explained with examples,https://www.youtube.com/watch?v=o-gGiyY9s9w
16,Project Management,Business Case Studies,,12th,English/Hindi,Module 5: Content Marketing and Digital Dominance,This is how Jeff Bezos' Amazon beat their competition legitimately,https://www.youtube.com/watch?v=WCJQ2PhzEOM
17,Project Management,Business Case Studies,,12th,English/Hindi,Module 6: E-commerce and the Future of Retail,How China's most successful businessman Jack Ma's Alibaba beat the US giant eBay?,https://www.youtube.com/watch?v=ULhoofZmZmg
18,Project Management,Business Case Studies,,12th,English/Hindi,Module 6: E-commerce and the Future of Retail,How did Johnnie Walker keep walking for more than 200 years? : Marketing Case Study,https://www.youtube.com/watch?v=wAHSJgIx5wA
19,Project Management,Business Case Studies,,12th,English/Hindi,Module 6: E-commerce and the Future of Retail,How did Domino's Pizza become so successful? Business Case Study,https://www.youtube.com/watch?v=fxjFr54LLOw
20,Project Management,Business Case Studies,,12th,English/Hindi,Module 7: Brand Loyalty and Customer Acquisition,Will Netflix survive the competition? Business Case Study,https://www.youtube.com/watch?v=bUFVJKwZYP4
21,Project Management,Business Case Studies,,12th,English/Hindi,Module 7: Brand Loyalty and Customer Acquisition,How to build Brand loyalty like Volvo?,https://www.youtube.com/watch?v=YCngR6uSEVo
