S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Business Ethics & Corporate Governance,49hrs 19min,12th,English/Hindi,Module 1: Introduction to Business Ethics,Business Ethics,https://www.youtube.com/watch?v=PTp08MeQCoU
2,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 1: Introduction to Business Ethics,Corporate Governance Models,https://www.youtube.com/watch?v=VZqgHcKBj90
3,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 1: Introduction to Business Ethics,Board of Directors,https://www.youtube.com/watch?v=QxQYccE9PL0
4,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 1: Introduction to Business Ethics,Stewardship Theory,https://www.youtube.com/watch?v=dx28fuD_D4w
5,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 2: Corporate Social Responsibility,Carroll's CSR Pyramid,https://www.youtube.com/watch?v=9V9oOZZ8ApA
6,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 2: Corporate Social Responsibility,Agency Theory,https://www.youtube.com/watch?v=4gAo7JnTmDc
7,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 2: Corporate Social Responsibility,Ethical Dilemma,https://www.youtube.com/watch?v=9PMx0o4WIcY
8,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 3: Ethical Decision Making,Trusteeship Theory,https://www.youtube.com/watch?v=ZuWG7TRDpyQ
9,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 3: Ethical Decision Making,Ackerman's CSR Model,https://www.youtube.com/watch?v=gmEPOXi78VE
10,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 3: Ethical Decision Making,Kohlberg's & Giligan's Theory,https://www.youtube.com/watch?v=Ng0q6bvVhNE
11,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 4: Corporate Governance in Practice,Whistle blower,https://www.youtube.com/watch?v=03cz6wYYEGU
12,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 4: Corporate Governance in Practice,SOX Act - Sarbanes Oxley Act,https://www.youtube.com/watch?v=ByBe7v7A0Sw
13,Project Management,Business Ethics & Corporate Governance,,12th,English/Hindi,Module 4: Corporate Governance in Practice,Corporate Governance Committee,https://www.youtube.com/watch?v=stFe_jbXv2w
