S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Communications Management Knowledge Area - PMP Training,31hrs 0min,12th,English/Hindi,Module 1: Introduction to Communication Management,Communications Management - The Basics,https://www.youtube.com/watch?v=g4rVw4I3C1M
2,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Communication Management,Methods of Communication,https://www.youtube.com/watch?v=eTiHKLJt8xw
3,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Methods and Types of Communication,Types of Communication,https://www.youtube.com/watch?v=uvi3NE6fJW8
4,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Methods and Types of Communication,Aspects of Effective Communication | Nonverbal & Paralingual Communication | Active Listening,https://www.youtube.com/watch?v=Jwu3IHVh-O8
5,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Effective Communication Techniques,Channels of Communication,https://www.youtube.com/watch?v=u8BAPhThzz0
6,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3: Effective Communication Techniques,Plan Communications Management Process,https://www.youtube.com/watch?v=Ul8X9YKSuUc
7,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Communication Channels and Planning,Manage Communications Process,https://www.youtube.com/watch?v=dwU5d0axFJw
8,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Managing and Monitoring Communications,Monitor Communications Process,https://www.youtube.com/watch?v=Ex9p0r5MaEo
9,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Managing and Monitoring Communications,Seven Reports Every Project Manager Needs,https://www.youtube.com/watch?v=KaHuVBSCkCc
10,Project Management,Communications Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Essential Communication Tools and Theories,Albert Mehrabian's 7-38-55 Rule,https://www.youtube.com/watch?v=vsQ8C7TCDhU
