S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],70hrs 0min,12th,English/Hindi,Module 1: Introduction to Costing,Introduction to Costing (Basic Overview),https://www.youtube.com/watch?v=VXTbSqrS1OQ
2,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 1: Introduction to Costing,#1 Cost Sheet (Introduction) ~ Cost Accounting [For B.Com/M.Com/CA/CS/CMA,https://www.youtube.com/watch?v=pGymzuGAkJ8
3,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 1: Introduction to Costing,#2 Cost Sheet (Problem & Solution) ~ Cost and Management Accounting [For B.Com/M.Com],https://www.youtube.com/watch?v=p-ZRp1G4sAM
4,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 1: Introduction to Costing,#3 Cost Sheet (Calculation of Stock) ~ Cost Accounting,https://www.youtube.com/watch?v=u9rJbibuyJo
5,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 2: Cost Sheet Basics,Cost Sheet ~ Reverse Calculations [Cost Accounting] ~ For B.Com/M.Com/CS,https://www.youtube.com/watch?v=hwRaO02_mvg
6,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 2: Cost Sheet Basics,Cost Sheet and Job Costing ~ Cost Accounting [For B.Com/M.com/CA/CS/CMA],https://www.youtube.com/watch?v=1idYwDeFcgY
7,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 2: Cost Sheet Basics,Material Costing ~ Introduction and Stock Levels (For B.Com/M.Com/CA/CS/CMA),https://www.youtube.com/watch?v=Q7sAX0j5PMQ
8,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 2: Cost Sheet Basics,Optimum Stock Level ~ Material Costing (ICAI Module),https://www.youtube.com/watch?v=6EJOSV_j8U8
9,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 2: Cost Sheet Basics,Economic Order Quantity (EOQ) ~ Introduction (Material Costing),https://www.youtube.com/watch?v=Hs6y0Uj90Y8
10,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 3: Material Costing,"Stock Levels (Reorder, Minimum, Maximum and Average Level) - Material Costing (For B.Com/CA/CS/CMA)",https://www.youtube.com/watch?v=5sRHq-Irnt8
11,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 3: Material Costing,FIFO Method of Store Ledger ~ Inventory / Material Control,https://www.youtube.com/watch?v=TxM9Z306Cb8
12,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 3: Material Costing,LIFO Method of Store Ledger ~ Inventory Management and Control,https://www.youtube.com/watch?v=-rdFmD6-ODM
13,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 3: Material Costing,#1 Labour Turnover Ratios ~ Direct Labor Cost (Cost Accounting for B.Com/M.Com/CA/CMA,https://www.youtube.com/watch?v=ts98NUXhAAU
14,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 4: Inventory Management,Halsey and Hour to Hour Incentive Plans ~ Direct Labour Cost #2 (Costing for B.Com/M.Com/CA/CS/CMA),https://www.youtube.com/watch?v=AoMB9QnUGw4
15,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 4: Inventory Management,Rowan Incentive Plans ~ Direct Labour Cost #3 (Costing for B.Com/M.Com/CA/CS/CMA),https://www.youtube.com/watch?v=MM1VK35N3rk
16,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 5: Direct Labor Cost,#1 Overhead Distribution (Introduction) ~ Cost and Management Accounting,https://www.youtube.com/watch?v=5gUW0rklJcQ
17,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 5: Direct Labor Cost,#2 Overhead Rates (Overhead Distribution) ~ Cost Accounting for B.com / CA/ CS / CMA,https://www.youtube.com/watch?v=SId00qlzr-k
18,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 5: Direct Labor Cost,#1 Machine Hour Rate (Overhead Distribution) ~ Cost Accounting [For B.Com/M.Com/CA/CS/CMA],https://www.youtube.com/watch?v=MSFlKvvPsig
19,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 6: Overhead Distribution,#2 Machine Hour Rate ~ Overhead Distribution (Cost and Management Accounting),https://www.youtube.com/watch?v=L9tOMtgYE8Q
20,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 6: Overhead Distribution,#1 Operating or Service Costing ~ Introduction and Basic Concepts,https://www.youtube.com/watch?v=jUQs5dXJQUs
21,Operations Management,Cost & Management Accounting [For B.Com/M.Com/CA/CS/CMA],,12th,English/Hindi,Module 6: Overhead Distribution,#2 Operating or Service Costing ~ Cost and Management Accounting [For B.Com/M.Com/CA/CS/CMA],https://www.youtube.com/watch?v=_7uqbnSK8CA
