S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Cost Management Knowledge Area - PMP Training,29hrs 10min,12th,English/Hindi,Module 1: Introduction to Project Cost Management,Present Value (PV) and Net Present Value (NPV),https://www.youtube.com/watch?v=zIws9M2WVEQ
2,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Project Cost Management,Project Selection - Net Present Value,https://www.youtube.com/watch?v=HiVbDQPRE1g
3,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Project Cost Management,Project Selection - Payback Period,https://www.youtube.com/watch?v=QAuuwDOu61U
4,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Project Cost Management,Project Selection - Return on Investment (ROI),https://www.youtube.com/watch?v=pphAMY5mV2U
5,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Advanced Project Selection,Project Selection - Opportunity Cost,https://www.youtube.com/watch?v=uIGFTejZRPI
6,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Advanced Project Selection,Project Selection - Benefit-Cost Ratio,https://www.youtube.com/watch?v=CcRP3Wya_iM
7,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Advanced Project Selection,Overview of Project Selection Concepts / Methods / Techniques,https://www.youtube.com/watch?v=k1m8o3PleHk
8,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Advanced Project Selection,Murder Board - Project Selection Process,https://www.youtube.com/watch?v=UJd-bkn4VSw
9,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Project Selection Techniques and Estimation,Analogous Estimation | Tools and Techniques,https://www.youtube.com/watch?v=I3WMmL5n1EA
10,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Project Selection Techniques and Estimation,Parametric Estimation | Tools and Techniques,https://www.youtube.com/watch?v=x30ht5oPkdU
11,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Project Selection Techniques and Estimation,Three-Point Estimates and PERT,https://www.youtube.com/watch?v=u-9o-qa3HDg
12,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Estimation Techniques in Project Management,Reserve Analysis - Contingency Reserve and Management Reserve,https://www.youtube.com/watch?v=1WUKSSuS62Y
13,Project Management,Cost Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Estimation Techniques in Project Management,Cost Management - The Basics,https://www.youtube.com/watch?v=t7uiUcMarA8
