S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Supply Chain Management,E-commerce playlist,15hrs 8min,12th,English/Hindi,Module 1: Introduction to E-commerce,Introduction of E-commerce in detail (Hindi) || Akant 360,https://www.youtube.com/watch?v=vJ6gKcySu6E
2,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 1: Introduction to E-commerce,Supply Chain Management (SCM) in detail (hindi) and simple language || E-commerce ||Akant 360,https://www.youtube.com/watch?v=85vnb2wNlzM
3,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 1: Introduction to E-commerce,Business model of e-commerce in detail (Hindi) || BCA/BBA/B.tech || Akant 360,https://www.youtube.com/watch?v=wcUUJ9blwjg
4,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 1: Introduction to E-commerce,Features of E-commerce (Hindi)|| Electronic Market || BCA/BBA/B.tech || Akant 360,https://www.youtube.com/watch?v=Ecm1mcHPRMc
5,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 2: Value Chain and Advantages/Disadvantages,Porters Value Chain Model || E-commerce || BCA/BBA/B.tech || Akant 360,https://www.youtube.com/watch?v=FN61MTmU4c4
6,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 2: Value Chain and Advantages/Disadvantages,Advantages & Disadvantages of E-commerce || Akant 360,https://www.youtube.com/watch?v=1FOpjCg4Gb0
7,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 2: Value Chain and Advantages/Disadvantages,"Strategic formulation , implementation and evaluation || strategic planning cycle || Akant 360",https://www.youtube.com/watch?v=5o6F4ehSTxQ
8,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 3: Strategic Planning and Auctions,Auction - Forward auction & Reverse auction || B2B e-commerce || Akant 360,https://www.youtube.com/watch?v=g-rNoXHGogk
9,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 3: Strategic Planning and Auctions,Business to Business (B2B) e-commerce || Basic Model in B2B e-commerce || Akant 360,https://www.youtube.com/watch?v=tNYQW939iyY
10,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 3: Strategic Planning and Auctions,Electronic Procurement (hindi)||Tools and benefits of e-procurement || Akant 360,https://www.youtube.com/watch?v=mk4Gl1404G8
11,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 4: B2B E-commerce and Procurement,Procurement process cycle in detail (Hindi) || Akant 360 || e procurement,https://www.youtube.com/watch?v=8CBRA7xEceY
12,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 4: B2B E-commerce and Procurement,Intranet explained in Hindi || simply explain || Akant 360,https://www.youtube.com/watch?v=TAc7-DN38r4
13,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 4: B2B E-commerce and Procurement,Extranet explained in Hindi || Simply explain || E-commerce ||Akant 360,https://www.youtube.com/watch?v=B3EprJkoPxo
14,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 4: B2B E-commerce and Procurement,Electronic data interchange (EDI) in E-commerce explained (Hindi) || Simply Explain || Akant 360,https://www.youtube.com/watch?v=Flm6taiKam8
15,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,"Module 5: Intranet, Extranet, and EDI",EDI(Electronic Data Interchange) Layered Architecture in hindi explained || Akant 360,https://www.youtube.com/watch?v=owuDbxdcj9o
16,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,"Module 5: Intranet, Extranet, and EDI",Electronic Payment system in hindi and simple language || E-commerce || Akant 360,https://www.youtube.com/watch?v=GgLe4K-CX8o
17,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,"Module 5: Intranet, Extranet, and EDI",I-way Information super highway in hindi || e-commerce || Akant 360,https://www.youtube.com/watch?v=HPk-4XeUhIs
18,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,"Module 5: Intranet, Extranet, and EDI","Intellectual Property Rights explained in hindi || copyright , patent and trademark || Akant 360",https://www.youtube.com/watch?v=F28rcEEk-sY
19,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 6: EDI Architecture and Payment Systems,"Ethical Issues of e-commerce in hindi || web spoofing, web tracking , email spanning,etc",https://www.youtube.com/watch?v=Hm96fEjf3VI
20,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 6: EDI Architecture and Payment Systems,Taxation in e-commerce explained in hindi || Akant 360,https://www.youtube.com/watch?v=8b9K4yNbHzk
21,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 6: EDI Architecture and Payment Systems,Censorship in e-commerce explained in hindi || Akant 360,https://www.youtube.com/watch?v=USl9IJ3lsrY
22,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 7: Legal and Ethical Issues,Client server model in e-commerce explained in hindi || Akant 360,https://www.youtube.com/watch?v=11ysrWO8NeQ
23,Supply Chain Management,E-commerce playlist,,12th,English/Hindi,Module 7: Legal and Ethical Issues,Webserver Architecture in e-commerce (hindi)|| client server model || Akant 360,https://www.youtube.com/watch?v=Wi_OKJ5ERrI
