S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,Employee Engagement,3hrs 21min,12th,English/Hindi,Module 1: Introduction to Employee Engagement,What Makes Gallup’s Q12 the Best Employee Engagement Survey?,https://www.youtube.com/watch?v=RFlDM8a_9mk
2,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 1: Introduction to Employee Engagement,Why is Employee Engagement Important?,https://www.youtube.com/watch?v=KZjKY9I6UYE
3,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 1: Introduction to Employee Engagement,What Is Gallup’s Q12 Employee Engagement Survey,https://www.youtube.com/watch?v=VMYAuk1fdtQ
4,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 1: Introduction to Employee Engagement,Why Work Expectations are Integral to Employee Engagement,https://www.youtube.com/watch?v=6_t6JPGkqZY
5,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 2: The Impact of Work Environment & Culture,How Work Equipment and Materials Impact Employee Engagement,https://www.youtube.com/watch?v=XMwR3sqIph4
6,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 2: The Impact of Work Environment & Culture,Why Recognition Improves Employee Engagement,https://www.youtube.com/watch?v=oUnSQZKLn_E
7,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 2: The Impact of Work Environment & Culture,How Gallup’s Q12 Survey Drives Organizational Performance,https://www.youtube.com/watch?v=2-UjtG688y8
8,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 3: Fostering Growth & Development,How to Give Your Employees the Opportunity to Use Their Strengths,https://www.youtube.com/watch?v=FmqnYmbW68s
9,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 3: Fostering Growth & Development,How Caring for Employees Improves Employee Engagement,https://www.youtube.com/watch?v=wiRbcuJoAPc
10,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 3: Fostering Growth & Development,Why Encouraging Employee Development Boosts Engagement,https://www.youtube.com/watch?v=GzcBO7svAkY
11,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 4: The Power of Recognition & Feedback,How Listening to Employees' Opinions Can Grow Engagement,https://www.youtube.com/watch?v=6DAX9tMn5Xw
12,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 4: The Power of Recognition & Feedback,How to Connect Your Employee's Role to the Company Mission,https://www.youtube.com/watch?v=O7Cx49nr5v8
13,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 4: The Power of Recognition & Feedback,How a Culture of Quality Work Boosts Employee Engagement,https://www.youtube.com/watch?v=DTVcgWddaBo
14,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 5: Gallup's Q12 & Organizational Success,Why Having a Best Friend at Work Improves Engagement,https://www.youtube.com/watch?v=asFTR-ueP9I
15,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 5: Gallup's Q12 & Organizational Success,How Progress Reviews with Employees Can Improve Engagement,https://www.youtube.com/watch?v=06llMDVSvhQ
16,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 5: Gallup's Q12 & Organizational Success,How Continuous Learning for Employees Boosts Engagement,https://www.youtube.com/watch?v=uX0zyaj5kKk
17,Human Resource Management,Employee Engagement,,12th,English/Hindi,Module 6: Gallup Access Platform Demo,Gallup Access Platform Demo,https://www.youtube.com/watch?v=xKhlHyPxDcM
