S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resources,"Equity, Inclusion and Diversity Playlist",7hrs 4min,12th,English/Hindi,Module 1: Understanding Our Identities,This Is Who You Are (2023),https://www.youtube.com/watch?v=BbO9K0tdhuU
2,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 1: Understanding Our Identities,Don't Put People in Boxes,https://www.youtube.com/watch?v=zRwt25M5nGw
3,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 1: Understanding Our Identities,HELLO - a short film about tolerance & diversity (1ST PLACE in the Nikon Cinema Z Film Fest 2019),https://www.youtube.com/watch?v=3AQ7yC5jQ28
4,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 1: Understanding Our Identities,"I Am NOT Black, You are NOT White (2024)",https://www.youtube.com/watch?v=q0qD2K2RWkc
5,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 2: Challenging Bias and Discrimination,TED TALKS LIVE Short - Unconscious Bias,https://www.youtube.com/watch?v=rspZv2a0Pp8
6,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 2: Challenging Bias and Discrimination,Rise - a poem celebrating diversity,https://www.youtube.com/watch?v=24aR5rnBrQE
7,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 2: Challenging Bias and Discrimination,Social Inequalities Explained in a $100 Race - Please Watch to the End. Thanks.,https://www.youtube.com/watch?v=4K5fbQ1-zps
8,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 2: Challenging Bias and Discrimination,White Privilege Glasses,https://www.youtube.com/watch?v=swDQiUwmezg
9,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 3: Systemic Racism and Its Impacts,Gender stereotypes and education,https://www.youtube.com/watch?v=nrZ21nD9I-0
10,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 3: Systemic Racism and Its Impacts,American Serviceman Defends Muslim Worker,https://www.youtube.com/watch?v=bG6omxJJrw4
11,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 3: Systemic Racism and Its Impacts,What systemic racism in Canada looks like,https://www.youtube.com/watch?v=7GmX5stT9rU
12,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 3: Systemic Racism and Its Impacts,‘Is this patriot enough?’: Asian-American veteran shows scars as he calls out anti-Asian hate,https://www.youtube.com/watch?v=R9eqY4xpG48
13,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 4: Gender Equality and Stereotypes,Hailey stands against Racism at home,https://www.youtube.com/watch?v=QV7nVeOVJlY
14,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 4: Gender Equality and Stereotypes,THE MOST RACIST TIK TOK EVER,https://www.youtube.com/watch?v=n51Zc7BGRuA
15,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 4: Gender Equality and Stereotypes,Gender Equality Explained By Children,https://www.youtube.com/watch?v=hLr2GNRnmXM
16,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 4: Gender Equality and Stereotypes,What Teenagers think Gender Equality is!,https://www.youtube.com/watch?v=-tXW7klAYoM
17,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 5: LGBTQ+ Inclusion and Acceptance,Emma Watson's speech on gender equality,https://www.youtube.com/watch?v=dSHJYyRViIU
18,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 5: LGBTQ+ Inclusion and Acceptance,Doll test - The effects of racism on children (ENG),https://www.youtube.com/watch?v=QRZPw-9sJtQ
19,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 5: LGBTQ+ Inclusion and Acceptance,6 Ways to be an Antiracist Educator,https://www.youtube.com/watch?v=UM3Lfk751cg
20,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 5: LGBTQ+ Inclusion and Acceptance,"""If You Hate Immigrants..."" - TREVOR NOAH (watch Son of Patricia on Netflix)",https://www.youtube.com/watch?v=BOt5SmHf2aE
21,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 6: Indigenous Peoples and Reconciliation,Islamaphobia,https://www.youtube.com/watch?v=lVpMmV4KiFk
22,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 6: Indigenous Peoples and Reconciliation,"Denzel Washington: ""It's Not Color, It's Culture."" | Urban View",https://www.youtube.com/watch?v=9Ayf8Iny9Eg
23,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 6: Indigenous Peoples and Reconciliation,Muhammad Ali - Racial Integration,https://www.youtube.com/watch?v=HqiWFLsgVi4
24,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 6: Indigenous Peoples and Reconciliation,Muhammad Ali Meets Clueless And Privileged Karen,https://www.youtube.com/watch?v=UCjBv21KfLg
25,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 7: Islamophobia and Religious Discrimination,Malcolm X’s Fiery Speech Addressing Police Brutality,https://www.youtube.com/watch?v=6_uYWDyYNUg
26,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 7: Islamophobia and Religious Discrimination,Gender Equality: Now,https://www.youtube.com/watch?v=4viXOGvvu0Y
27,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 7: Islamophobia and Religious Discrimination,Stereo - a film about reversed gender stereotypes,https://www.youtube.com/watch?v=ePlriYalzPY
28,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 7: Islamophobia and Religious Discrimination,The Road to Gender Equality - Malala’s story | Nations United,https://www.youtube.com/watch?v=4jnSFAECLzM
29,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Explained | Why Women Are Paid Less | FULL EPISODE | Netflix,https://www.youtube.com/watch?v=hP8dLUxBfsU
30,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Talking to Kids About... Gender Equality,https://www.youtube.com/watch?v=U6Jy5dU2rAI
31,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Transgender track stars speak out as critics allege unfair advantage,https://www.youtube.com/watch?v=sHqiG_hrbsc
32,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,A Church Where LGBTQ People Are ACCEPTED AS THEY ARE!,https://www.youtube.com/watch?v=XcViApak4Zg
33,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Harry Styles OPENS UP About His Sexuality,https://www.youtube.com/watch?v=t0AYHgw9eMQ
34,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Local church welcoming LGBTQ community for open discussion,https://www.youtube.com/watch?v=KpnBF6Dle4c
35,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,These emotional coming out videos will restore your faith in humanity  | GMA Digital,https://www.youtube.com/watch?v=npRIgF-70-M
36,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,"Carl Nassib comes out as gay, an NFL first",https://www.youtube.com/watch?v=Pm8IjymNgC8
37,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Video réaction -  SPVM vs Manteau rouge,https://www.youtube.com/watch?v=rp1sPZ4rhdA
38,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Montreal police accused of excessive force,https://www.youtube.com/watch?v=X7b62b4dbqw
39,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Montreal Police accused of racial profiling,https://www.youtube.com/watch?v=REKpYJZPxbQ
40,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,"N'we Jinan Artists - ""HOME TO ME"" // Grassy Narrows First Nation",https://www.youtube.com/watch?v=EgaYz8YWsO8
41,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,First Out Here: Indigenous Hip Hop in Canada,https://www.youtube.com/watch?v=GblLAU2uQYE
42,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Classified - Powerless,https://www.youtube.com/watch?v=9W69e9jDRq0
43,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,"RED EAGLE - ""STILL HERE"" OFFICIAL MUSIC VIDEO",https://www.youtube.com/watch?v=pEz47JRIDqU
44,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,ARTHUR - Young Cree Rapper // Kashechewan First Nation,https://www.youtube.com/watch?v=6_MSMjFYDtE
45,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Carey Price - Believe in yourself - First Nations Vezina Speech,https://www.youtube.com/watch?v=AXCO_d6HxwQ
46,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Carey Price meets with residential school survivor,https://www.youtube.com/watch?v=lNzmkF_mKRY
47,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,How bad is Islamophobia in Canada?,https://www.youtube.com/watch?v=D8_R4YE0kmk
48,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Islamophobic attack caught on video,https://www.youtube.com/watch?v=GUXz9xEjs6I
49,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Nessa Barrett dances to QURAN and Muslims respond to the disrespect,https://www.youtube.com/watch?v=WRTQXs2eeFY
50,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,9/11 Tiktoks Muslims can relate to..,https://www.youtube.com/watch?v=kwF1r-09bws
51,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,When your friend is kinda racist,https://www.youtube.com/watch?v=TGH12QmW02A
52,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,STROMBO: SOAP BOX: Wab Kinew,https://www.youtube.com/watch?v=GlkuRCXdu5A
53,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Mona Haydar - Hijabi (Wrap my Hijab),https://www.youtube.com/watch?v=XOX9O_kVPeo
54,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Mona Haydar - American [Official Music Video],https://www.youtube.com/watch?v=bnKeJMSo1WA
55,Human Resources,"Equity, Inclusion and Diversity Playlist",,12th,English/Hindi,Module 8:  Celebrating Diversity and Promoting Equity,Thomas X - Indigenous Hip Hop ft. Native Son & DJ AO,https://www.youtube.com/watch?v=GuK_vL0ScFs
