S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Foundation Course in Facilities Management,2hrs 1min,12th,English/Hindi,Module 1: Introduction to Facilities Management,Foundation course in Facilities Management,https://www.youtube.com/watch?v=IGxyaycy-gQ
2,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 1: Introduction to Facilities Management,Environment Health and Safety | EHS | Foundation course in Facilities Management,https://www.youtube.com/watch?v=4BGgCDYv7B0
3,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 1: Introduction to Facilities Management,Generators Part 1 | Foundation course in Facilities Management,https://www.youtube.com/watch?v=J-0-ngDySU4
4,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 1: Introduction to Facilities Management,Generators Part 2 | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=m_I0gtKJuvQ
5,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 2: Environment, Health, and Safety (EHS)",HVAC Part 1 - Air Conditioning | Foundation course in Facilities Management,https://www.youtube.com/watch?v=EKOW5dS9_7I
6,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 2: Environment, Health, and Safety (EHS)",HVAC Part 2 - Chillers | Foundation course in Facilities Management,https://www.youtube.com/watch?v=3Uxrt6UqQXE
7,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 2: Environment, Health, and Safety (EHS)",HVAC Part 3 - Ventilation | Foundation course in Facilities Management,https://www.youtube.com/watch?v=QVf7btO1iqc
8,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 3: Generators and Power Systems,HVAC Part 4 - Other Air Conditioning system | Foundation course in Facilities Management,https://www.youtube.com/watch?v=zlmPK01avlg
9,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 3: Generators and Power Systems,Cleaning Equipment Part 1 - Manual | Foundation course in Facilities Management,https://www.youtube.com/watch?v=xtQKcfssN90
10,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 3: Generators and Power Systems,Cleaning Equipment Part 2 - Mechanical | Foundation course in Facilities Management,https://www.youtube.com/watch?v=kv4iAmOm-vQ
11,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 4: HVAC Systems,Plumbing and Fixtures | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=GQUzDmS37V0
12,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 4: HVAC Systems,Principles of Cleaning | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=sU_OWfumK3k
13,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 4: HVAC Systems,Uninterruptible Power Supply UPS | Foundation course in Facilities Management,https://www.youtube.com/watch?v=M_3HZL0APQM
14,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 4: HVAC Systems,Helpdesk Telephone Handling | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=JoY-3Zxf5lc
15,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 5: Cleaning and Maintenance,Material Safety Data Sheet MSDS | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=GduzGpO5bR4
16,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 5: Cleaning and Maintenance,Personal Protective Equipment | Foundation course in Facilities Management,https://www.youtube.com/watch?v=70tuthoW0sY
17,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 5: Cleaning and Maintenance,Engineering Pumps | Foundation course in Facilities Management,https://www.youtube.com/watch?v=xdu_D69PFls
18,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 5: Cleaning and Maintenance,Registers and Processes | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=xA1ZijBfH34
19,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 6: Plumbing, Fixtures, and Lighting",Lighting | Fundamental Course in Facilities Management,https://www.youtube.com/watch?v=2xHDbjPtehY
20,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 6: Plumbing, Fixtures, and Lighting",Cafeteria Management | Foundation Course in Facilities Management,https://www.youtube.com/watch?v=9inqZlWhIXc
21,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,"Module 6: Plumbing, Fixtures, and Lighting",Public Areas Cleaning | Fundamental course in Facilities Management,https://www.youtube.com/watch?v=IlOY3YNBlpo
22,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 7: Helpdesk and MSDS,Cafeteria and Pantry Cleaning | Foundation course in Facilities Management,https://www.youtube.com/watch?v=39TgWi_SDmo
23,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 7: Helpdesk and MSDS,Checklists and Analysis | Fundamental course in Facilities Management,https://www.youtube.com/watch?v=B7YapbLD3I4
24,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 7: Helpdesk and MSDS,Incident Management and Escalation | Fundamental course in Facilities Management,https://www.youtube.com/watch?v=c9H1kzmohSU
25,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 8: Engineering Systems,Change Requests | Fundamental Course in Facilities Management,https://www.youtube.com/watch?v=J_VRU9F0dIo
26,Operations Management,Foundation Course in Facilities Management,,12th,English/Hindi,Module 8: Engineering Systems,Billing Management | Fundamental course in Facilities Management,https://www.youtube.com/watch?v=6gncx9Tegas
