S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Google Project Management Certificate,18hrs 21min,12th,English/Hindi,Module 1: Introduction to Google Project Management,Intro to Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=rck3MnC7OXA
2,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 1: Introduction to Google Project Management,Professional Project Management Skills | Google Project Management Certificate,https://www.youtube.com/watch?v=KH-qoTqtMXE
3,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 1: Introduction to Google Project Management,Project Structures & Life Cycles | Google Project Management Certificate,https://www.youtube.com/watch?v=8unOyycCpFs
4,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 1: Introduction to Google Project Management,Finding Project Manager Jobs | Google Project Management Certificate,https://www.youtube.com/watch?v=y7LDaaFeNn4
5,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 2: Effective Project Communication,How Company Culture Affects Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=f0VcIWJNDAI
6,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 2: Effective Project Communication,How to Run a Successful Meeting | Google Career Certificates,https://www.youtube.com/watch?v=_mxovBWI9m0
7,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 2: Effective Project Communication,Communicate Effectively as a Project Manager | Google Career Certificates,https://www.youtube.com/watch?v=bQ1fWZBRlLo
8,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 2: Effective Project Communication,Key Parts of Project Initiation | Google Project Management Certificate,https://www.youtube.com/watch?v=28vZa0qOHkg
9,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 3: Project Planning Fundamentals,Communicating and Working with Stakeholders | Google Project Management Certificate,https://www.youtube.com/watch?v=jz7tPVDwb50
10,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 3: Project Planning Fundamentals,How to Set SMART Goals and Get Results | Google Project Management Certificate,https://www.youtube.com/watch?v=1eiTXSkKFtE
11,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 3: Project Planning Fundamentals,The Best Resources and Tools to Manage Your Project | Google Project Management Certificate,https://www.youtube.com/watch?v=ZKOwOZBvAzI
12,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 3: Project Planning Fundamentals,Risk Management Basics | Google Project Management Certificate,https://www.youtube.com/watch?v=kXkVV7PFWgE
13,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 4: Effective Project Management and Tracking,The Benefits of Project Planning | Google Project Management Certificate,https://www.youtube.com/watch?v=Yu0sUnulbo4
14,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 4: Effective Project Management and Tracking,Create a Project Communication Plan | Google Project Management Certificate,https://www.youtube.com/watch?v=W_n0GYdW7DM
15,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 4: Effective Project Management and Tracking,Project Planning for Beginners | Google Project Management Certificate,https://www.youtube.com/watch?v=hHPAc0LFfZA
16,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 4: Effective Project Management and Tracking,How to Create a Project Budget | Google Project Management Certificate,https://www.youtube.com/watch?v=lO51qhJWvok
17,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 5: Agile Management and Project Closure Report,Leadership vs Management In a Successful Team | Google Project Management Certificate,https://www.youtube.com/watch?v=ypLw8he1Xh0
18,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 5: Agile Management and Project Closure Report,Storytelling with Data to Make Decisions | Google Project Management Certificate,https://www.youtube.com/watch?v=4VDRNQ_f4IE
19,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 5: Agile Management and Project Closure Report,Quality Management and Continuous Improvement | Google Project Management Certificate,https://www.youtube.com/watch?v=QOy2gYuWxSc
20,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 5: Agile Management and Project Closure Report,How and When to Close a Project | Google Project Management Certificate,https://www.youtube.com/watch?v=wJ5f7TxcPR0
21,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 6: Exploring Project Management,Effective Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=umnB8LJImbI
22,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 6: Exploring Project Management,Project Tracking Methods and Examples | Google Project Management Certificate,https://www.youtube.com/watch?v=oLh8akA7F3I
23,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 6: Exploring Project Management,What is Scrum? | Google Project Management Certificate,https://www.youtube.com/watch?v=SG_iHptXcKQ
24,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 7: Agile Methodology: When and How to Use It,Agile and Scrum in the Real World | Google Project Management Certificate,https://www.youtube.com/watch?v=1evfn3qTYGM
25,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 7: Agile Methodology: When and How to Use It,Scrum Master Tutorial | Google Project Management Certificate,https://www.youtube.com/watch?v=eYLf0z3Xhok
26,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 7: Agile Methodology: When and How to Use It,Agile Management | Google Project Management Certificate,https://www.youtube.com/watch?v=km7n3DI5IWk
27,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 7: Agile Methodology: When and How to Use It,How to Write the Close Out Report | Google Project Management Certificate,https://www.youtube.com/watch?v=WfHpPsOa5Nw
28,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 8: Understanding the Agile Manifesto,Plan Your Project and Negotiate with Stakeholders | Google Project Management Certificate,https://www.youtube.com/watch?v=eYaVc2puvlY
29,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 8: Understanding the Agile Manifesto,Building Out a Project Plan With Google Sheets | Google Project Management Certificate,https://www.youtube.com/watch?v=GJyiNGP9jyk
30,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 8: Understanding the Agile Manifesto,Determining Your Project's Success | Google Project Management Certificate,https://www.youtube.com/watch?v=NhCZvKxsi_Q
31,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 8: Understanding the Agile Manifesto,What Is Project Management? | Google Project Management Certificate,https://www.youtube.com/watch?v=ra_XzHuCIIU
32,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 9: Project Management Case Studies,How To Find the Perfect Project Management Role | Google Project Management Certificate,https://www.youtube.com/watch?v=GxhK1NnRaPs
33,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 9: Project Management Case Studies,How to Find Project Management Jobs | Google Project Management Certificate,https://www.youtube.com/watch?v=pjkGhNVuMHQ
34,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 9: Project Management Case Studies,When Is Agile Best To Use? | Google Project Management Certificate,https://www.youtube.com/watch?v=ExVAweCZUy0
35,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 9: Project Management Case Studies,What are Blending Methods in Project Management? | Google Project Management Certificate,https://www.youtube.com/watch?v=ffjIRy2qa-0
36,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 10: Capstone Project: Planning and Execution,What Are the 5 Principles of Lean Methodology? | Google Project Management Certificate,https://www.youtube.com/watch?v=RL6jtiKzSzI
37,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 10: Capstone Project: Planning and Execution,What Projects Benefit from an Agile Approach? | Google Project Management Certificate,https://www.youtube.com/watch?v=BgfoOmUPexk
38,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 10: Capstone Project: Planning and Execution,What is the Agile Manifesto? | Google Project Management Certificate,https://www.youtube.com/watch?v=YmMadDTvoqY
39,Project Management,Google Project Management Certificate,,12th,English/Hindi,Module 10: Capstone Project: Planning and Execution,Introduction to Agile Methodologies | Google Project Management Certificate,https://www.youtube.com/watch?v=BaH04m_fS1c
