S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resources,HR Technology,72hrs 7min,12th,English/Hindi,Module 1: Generative AI in HR,HR Technology Trends for 2024 | Generative AI Trends for HR in 2024,https://www.youtube.com/watch?v=vUpnHgPW9iI
2,Human Resources,HR Technology,,12th,English/Hindi,Module 1: Generative AI in HR,"HR Tech Trends for 2024 | Harjeet Khanduja, SVP- HR, Reliance Jio",https://www.youtube.com/watch?v=PwOTbLFar44
3,Human Resources,HR Technology,,12th,English/Hindi,Module 1: Generative AI in HR,"Srinivasa Bharathy, CEO & MD, Adrenalin eSystems Ltd | Ethical Challenges for AI Technology in 2024",https://www.youtube.com/watch?v=CTy9F08TCEU
4,Human Resources,HR Technology,,12th,English/Hindi,Module 1: Generative AI in HR,Should Companies Ban Using Chat GPT and BARD?,https://www.youtube.com/watch?v=GWcOoqdIf1Q
5,Human Resources,HR Technology,,12th,English/Hindi,Module 2: HR Technology Trends & Applications,Modern Employee Onboarding Process | HR Technology,https://www.youtube.com/watch?v=6fbKDB5S-Ss
6,Human Resources,HR Technology,,12th,English/Hindi,Module 2: HR Technology Trends & Applications,Quantum Technology in HR,https://www.youtube.com/watch?v=TyN5OPWtMEE
7,Human Resources,HR Technology,,12th,English/Hindi,Module 2: HR Technology Trends & Applications,Chat GPT in HR,https://www.youtube.com/watch?v=3mewYUxG4MM
8,Human Resources,HR Technology,,12th,English/Hindi,Module 2: HR Technology Trends & Applications,Web 3.0 in Human Resources,https://www.youtube.com/watch?v=YjCBhgggZeg
9,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,The Best Use of Chat GPT in HR,https://www.youtube.com/watch?v=UZReZ6oyZIg
10,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,HR Technology Trends in 2023,https://www.youtube.com/watch?v=Pdv5b8kJPWk
11,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,Top 3 HR Tech Trends for 2023,https://www.youtube.com/watch?v=3mFn73I592Q
12,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,Predictive Hiring- Talent Acquisition Success Model,https://www.youtube.com/watch?v=DoXL7FFUoUg
13,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,"Impact of Gen AI on Jobs | Namrita Mahindro, Chief Digital Officer & CIO, Aditya Birla Chemicals",https://www.youtube.com/watch?v=uhUnQJIl1Xg
14,Human Resources,HR Technology,,12th,English/Hindi,Module 3: Ethical Considerations & Future of HR Tech,How Generative AI is Transforming Organizational Culture | Gen AI Ready Culture,https://www.youtube.com/watch?v=2XgFvsG4EZA
