S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Supply Chain Management,Inventory Management,81hrs 3min,12th,English/Hindi,Module 1: Introduction to Inventory Management,Inv-1 | Introduction to the Concept and Relevant Costs of Inventory Management (in Hindi),https://www.youtube.com/watch?v=qYQcDeDsBnc
2,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 1: Introduction to Inventory Management,Inv-2 | ABC Analysis for Classification of Inventory in inventory Management (in Hindi),https://www.youtube.com/watch?v=a_q_HmZaaWI
3,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 1: Introduction to Inventory Management,Inv-3 | EOQ (Economic Order Quantity) Model in Inventory Management (in Hindi),https://www.youtube.com/watch?v=93tErqe3rh0
4,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 2: Purchase & Manufacturing Models in Inventory Management,Inv-4 | Introduction and Comparison of Purchase Model & Manufacturing Model in Inventory Management,https://www.youtube.com/watch?v=h4ItU3ZGy6I
5,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 2: Purchase & Manufacturing Models in Inventory Management,Inv-5 | Purchase Model Formulae (in Hindi)(without and with shortage) in Inventory Management,https://www.youtube.com/watch?v=0dOPk5NQn5U
6,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 2: Purchase & Manufacturing Models in Inventory Management,Inv-6 | Manufacturing Model Formulae (in Hindi)(without and with shortage) in Inventory Management,https://www.youtube.com/watch?v=SXy43ZaJmlU
7,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 3: Formula Recap & Examples (No Shortage),Inv-7 | Formula recap of Purchase and Manufacturing Model for Inventory Management,https://www.youtube.com/watch?v=J2UbFV7hwHc
8,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 3: Formula Recap & Examples (No Shortage),Inv-8 | Example of Purchase Model and Manufacturing Model without Shortage in Inventory Management,https://www.youtube.com/watch?v=NjbufASpRlQ
9,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 4: Price Break & Quantity Discount Model,Inv-9 | Example of Purchase Model and Manufacturing Model without Shortage in Inventory Management,https://www.youtube.com/watch?v=6jauASfM_PA
10,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 4: Price Break & Quantity Discount Model,Inv-10 | Example of Price Break and Quantity Discount Model in Inventory Management,https://www.youtube.com/watch?v=Zkc-81tYwZE
11,Supply Chain Management,Inventory Management,,12th,English/Hindi,Module 4: Price Break & Quantity Discount Model,Inv-11 | Reorder Level and Service Level | Probability of Inventory Stock-out,https://www.youtube.com/watch?v=eZ7aGwEU7oo
