S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,Leadership Development,11hrs 19min,12th,English/Hindi,Module 1: The Importance of Wellness and Anticipating Change,Why Wellness in the Workplace is Crucial Today,https://www.youtube.com/watch?v=cydhYoA4YjY
2,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 1: The Importance of Wellness and Anticipating Change,Anticipating Change in the Workplace,https://www.youtube.com/watch?v=3aL2CeSsUlw
3,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 1: The Importance of Wellness and Anticipating Change,What Makes a Great Leader,https://www.youtube.com/watch?v=VtXDOQ16Fls
4,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 1: The Importance of Wellness and Anticipating Change,Timeless Wisdom vs. Modern Tactics: Leadership Principles Across Generations,https://www.youtube.com/watch?v=jqAewBhc020
5,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 2: The Essence of Great Leadership,How to Be a Good Manager and Leader,https://www.youtube.com/watch?v=41eUYu8BVqg
6,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 2: The Essence of Great Leadership,Managers vs. Leaders,https://www.youtube.com/watch?v=fDScS_YYsNw
7,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 2: The Essence of Great Leadership,Be a Leader and Achieve Success,https://www.youtube.com/watch?v=ZZ_PlWBHNmY
8,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 2: The Essence of Great Leadership,Freedom-Based Leadership,https://www.youtube.com/watch?v=oYCtLRZciO8
9,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 3: Mastering Management and Leadership,Listen and Share Ideas With Your Team,https://www.youtube.com/watch?v=4wln07MjLdo
10,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 3: Mastering Management and Leadership,Discover the Why Behind Your Work,https://www.youtube.com/watch?v=zEoqtEQoa1c
11,Human Resource Management,Leadership Development,,12th,English/Hindi,Module 3: Mastering Management and Leadership,How to Overcome Self-Sabotage and Achieve Your Goals | Brian Tracy,https://www.youtube.com/watch?v=ABaQqQpkVDM
