S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Operation Research,30hrs 18min,12th,English/Hindi,Module 1: Introduction to Linear Programming,Operation Research | Linear Programming Problem | Overview & Concepts,https://www.youtube.com/watch?v=knZrhVkZ71Q
2,Operations Management,Operation Research,,12th,English/Hindi,Module 1: Introduction to Linear Programming,Operation Research | Linear Programming  Graphical Method | Problems,https://www.youtube.com/watch?v=2EvC1v1FI2k
3,Operations Management,Operation Research,,12th,English/Hindi,Module 1: Introduction to Linear Programming,Operation Research | Simplex Method | PART -1 | Linear Programming,https://www.youtube.com/watch?v=01Iy2ZHOmNg
4,Operations Management,Operation Research,,12th,English/Hindi,Module 1: Introduction to Linear Programming,Operation Research | Simplex Method | PART - 2 | Linear Programming,https://www.youtube.com/watch?v=NbP4IStg0L0
5,Operations Management,Operation Research,,12th,English/Hindi,Module 2: Simplex Method for Linear Programming,Operation Research | Two Phase Simplex Method | Linear Programming,https://www.youtube.com/watch?v=61lkRMXne2U
6,Operations Management,Operation Research,,12th,English/Hindi,Module 2: Simplex Method for Linear Programming,Transportation Problem | North West Corner Method | Least Cost method | Part-1,https://www.youtube.com/watch?v=Ow3XWYnPgSM
7,Operations Management,Operation Research,,12th,English/Hindi,Module 2: Simplex Method for Linear Programming,Transportation Problem | VAM Method | Vogel's Approximation method,https://www.youtube.com/watch?v=9fL0g_cZX9s
8,Operations Management,Operation Research,,12th,English/Hindi,Module 3: Transportation and Assignment Problems,Transportation Problem | UV Method | MODI Method | Optimality Test,https://www.youtube.com/watch?v=UmIUKg4w_9U
9,Operations Management,Operation Research,,12th,English/Hindi,Module 3: Transportation and Assignment Problems,Assignment Problem | Hungarian Method | Example of Assignment Problem,https://www.youtube.com/watch?v=pnJUzNFn3CA
10,Operations Management,Operation Research,,12th,English/Hindi,Module 3: Transportation and Assignment Problems,Assignment Problem | Hungarian Method | Unbalanced Assignment Problem,https://www.youtube.com/watch?v=a6bKc4fp3HA
11,Operations Management,Operation Research,,12th,English/Hindi,Module 4: Advanced Assignment and Traveling Salesman Problems,Assignment Problem | Hungarian Method | Maximization Assignment Problem,https://www.youtube.com/watch?v=qCy8z5tUGiM
12,Operations Management,Operation Research,,12th,English/Hindi,Module 4: Advanced Assignment and Traveling Salesman Problems,Assignment Problem | Hungarian Method | Restricted Assignment Problem,https://www.youtube.com/watch?v=9vJx6tZgVQs
13,Operations Management,Operation Research,,12th,English/Hindi,Module 4: Advanced Assignment and Traveling Salesman Problems,Traveling Salesman Problem | Assignment Problem | Hungarian Method,https://www.youtube.com/watch?v=W7z_pbgJzPQ
14,Operations Management,Operation Research,,12th,English/Hindi,Module 5: Game Theory Fundamentals,Game Theory | Saddle Point In Game Theory | Pure Strategy Game Theory | Operation Research,https://www.youtube.com/watch?v=YgqC8_WOZyY
15,Operations Management,Operation Research,,12th,English/Hindi,Module 5: Game Theory Fundamentals,Game Theory | Two Person Zero Sum Game | Mixed Strategy Game Theory | Operation Research,https://www.youtube.com/watch?v=MPM_KgaXij0
16,Operations Management,Operation Research,,12th,English/Hindi,Module 6: Advanced Game Theory Concepts,Game Theory | Game Theory Dominance Rule | Operation Research,https://www.youtube.com/watch?v=h_GYxpuFVlw
17,Operations Management,Operation Research,,12th,English/Hindi,Module 6: Advanced Game Theory Concepts,Game Theory | Graphical Method Game Theory | Operation Research,https://www.youtube.com/watch?v=ansWipshOe8
18,Operations Management,Operation Research,,12th,English/Hindi,Module 7: Job Scheduling with Johnson's Algorithm,"Job Scheduling | n-Jobs, 2-Machine | Johnson Algorithm",https://www.youtube.com/watch?v=PIFbx7YmqJM
