S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Operations Analytics,12hrs 11min,12th,English/Hindi,Module 1: Introduction to Operations Analytics,Lecture 01 01 Overview of the Course,https://www.youtube.com/watch?v=qvNQ05eCJK4
2,Operations Management,Operations Analytics,,12th,English/Hindi,Module 1: Introduction to Operations Analytics,Lecture 01 02 Introduction,https://www.youtube.com/watch?v=rAA8V21VX_c
3,Operations Management,Operations Analytics,,12th,English/Hindi,Module 1: Introduction to Operations Analytics,Lecture 02 01 Linear Programming Introduction,https://www.youtube.com/watch?v=7Gpslktns0k
4,Operations Management,Operations Analytics,,12th,English/Hindi,Module 2: Linear Programming: Basics,Lecture 02 02 Linear Programming Graphical Solution,https://www.youtube.com/watch?v=Y5dKk--OwkI
5,Operations Management,Operations Analytics,,12th,English/Hindi,Module 2: Linear Programming: Basics,Lecture 02 03 Linear Programming Sensitivity Analysis Changes in Objective Function,https://www.youtube.com/watch?v=Qp0jXGAhptY
6,Operations Management,Operations Analytics,,12th,English/Hindi,Module 2: Linear Programming: Basics,Lecture 02 04 Linear Programming Sensitivity Analysis Changes in Technological Coefficients,https://www.youtube.com/watch?v=28oyyVOGV68
7,Operations Management,Operations Analytics,,12th,English/Hindi,Module 2: Linear Programming: Basics,Lecture 02 05 Linear Programming Sensitivity Analysis Changes in Resources,https://www.youtube.com/watch?v=UCZMN8VhaqU
8,Operations Management,Operations Analytics,,12th,English/Hindi,Module 2: Linear Programming: Basics,Lecture 03 01 LP Application Financial Sector,https://www.youtube.com/watch?v=Jcdy-SueS-Y
9,Operations Management,Operations Analytics,,12th,English/Hindi,Module 3: Linear Programming: Applications and Extensions,Lecture 03 02 LP Application Financial Sector Excel Solver Analysis,https://www.youtube.com/watch?v=9I7htTUhZ4o
10,Operations Management,Operations Analytics,,12th,English/Hindi,Module 3: Linear Programming: Applications and Extensions,Lecture 03 03 LP Application Financial Sector Excel Solver Sensitivity Analysis,https://www.youtube.com/watch?v=taGhOMGB60M
11,Operations Management,Operations Analytics,,12th,English/Hindi,Module 3: Linear Programming: Applications and Extensions,Lecture 03 04 LP Application Production Scheduling,https://www.youtube.com/watch?v=lJvTjh2muOc
12,Operations Management,Operations Analytics,,12th,English/Hindi,Module 3: Linear Programming: Applications and Extensions,Lecture 03 05 LP Application Employee Scheduling,https://www.youtube.com/watch?v=H6x-9BqOkPw
13,Operations Management,Operations Analytics,,12th,English/Hindi,Module 3: Linear Programming: Applications and Extensions,Lecture 04 01 LP Transportation,https://www.youtube.com/watch?v=JM94CLNgbyM
14,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 02 LP Transportation Excel Solver,https://www.youtube.com/watch?v=Ar-2BWc6_HE
15,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 03 LP Notations,https://www.youtube.com/watch?v=LPSOuPK09Fk
16,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 04 LP Location Analysis,https://www.youtube.com/watch?v=uMi42LUpZF8
17,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 05 LP Location Analysis Excel Solver,https://www.youtube.com/watch?v=0-xvayFIMwI
18,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 06 LP Assignment,https://www.youtube.com/watch?v=mthIFEokvG8
19,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 07 LP Assignment Excel Solver,https://www.youtube.com/watch?v=lb661AEsd28
20,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 08 LP Transshipment,https://www.youtube.com/watch?v=ABm_Pb_w9ws
21,Operations Management,Operations Analytics,,12th,English/Hindi,Module 4: Transportation and Assignment Problems,Lecture 04 09 LP Transshipment Excel Solver,https://www.youtube.com/watch?v=T8YzZt7_lCY
22,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 01 Introduction to Integer Programming,https://www.youtube.com/watch?v=lJiIYuCSj68
23,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 02 Pure Integer Programming,https://www.youtube.com/watch?v=1jCItB6tPoI
24,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 03 Pure Integer Programming Excel Solver,https://www.youtube.com/watch?v=GzjX5gqENcQ
25,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 04 Mixed Integer Programming,https://www.youtube.com/watch?v=lhOr1wSGtjM
26,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 05 Mixed Integer Programming Excel Solver,https://www.youtube.com/watch?v=qMA_PlvhOVI
27,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 06 Binary Integer Programming,https://www.youtube.com/watch?v=BGmK4FHYnbg
28,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 07 Binary Integer Programming Excel Solver,https://www.youtube.com/watch?v=c-9eGpjHwEY
29,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 08 Various Uses of Binary Integer Programming,https://www.youtube.com/watch?v=QfL-x74VfEw
30,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 09 Various Uses of Binary Integer Programming Excel Solver,https://www.youtube.com/watch?v=KG55WQBCLok
31,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 10 Single Goal Programming,https://www.youtube.com/watch?v=UIdiIqtj2IM
32,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 11 Single Goal Programming Excel Solver,https://www.youtube.com/watch?v=AZCAbk0knxU
33,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 12 Multiple Goal Programming,https://www.youtube.com/watch?v=YyGkuY9V7BI
34,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 13 Priority Goal Programming,https://www.youtube.com/watch?v=1A35CFNGtsg
35,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 14 Nonlinear Programming,https://www.youtube.com/watch?v=Cl3W6Dkk71U
36,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 15 Nonlinear Programming Excel Solver,https://www.youtube.com/watch?v=pwUgB5-PzcY
37,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 16 Nonlinear Programming Nonlinear Objective and Constraints,https://www.youtube.com/watch?v=Z4umI6f9ens
38,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 17 Nonlinear Programming Nonlinear Objective and Constraints Solver,https://www.youtube.com/watch?v=96U3qD8PMCI
39,Operations Management,Operations Analytics,,12th,English/Hindi,Module 5: Integer and Goal Programming,Lecture 05 18 Nonlinear Programming Nonlinear Mixed,https://www.youtube.com/watch?v=moJQV0Y42OY
40,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 05 19 Nonlinear Programming Nonlinear Mixed Solver,https://www.youtube.com/watch?v=jEZVhQfAgYg
41,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 01 Time Series Forecasting,https://www.youtube.com/watch?v=vV2fV-7F0ws
42,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 02 Time Series Forecasting Random Variation,https://www.youtube.com/watch?v=ThUwOJddt6Y
43,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 03 Forecasting Exponential Smoothing with Trend FIT,https://www.youtube.com/watch?v=NBbl8eSf5Uk
44,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 04 Forecasting Exponential Smoothing with Trend FIT Excel,https://www.youtube.com/watch?v=zeK7ygJZhuo
45,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 05 Forecasting Trend Projection,https://www.youtube.com/watch?v=e-lXk6sUP6c
46,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 06 Forecasting Seasonal Indices with Trend,https://www.youtube.com/watch?v=LMbtuFk5z3E
47,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 07 Forecasting Seasonal Indices with Trend Excel,https://www.youtube.com/watch?v=GLtmGv8YmE4
48,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 08 Forecasting Decomposition,https://www.youtube.com/watch?v=fvknplUkBW4
49,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 09 Forecasting Decomposition Excel,https://www.youtube.com/watch?v=bqbVkNJWvus
50,Operations Management,Operations Analytics,,12th,English/Hindi,Module 6: Time Series Forecasting,Lecture 06 10 Forecasting Monitoring,https://www.youtube.com/watch?v=Oncqt03YEao
51,Operations Management,Operations Analytics,,12th,English/Hindi,Module 7: Simulation Modeling,Lecture 06 11 Forecasting Monitoring Excel,https://www.youtube.com/watch?v=2a5vCjfwirQ
52,Operations Management,Operations Analytics,,12th,English/Hindi,Module 7: Simulation Modeling,Lecture 07 1 Simulation Modeling,https://www.youtube.com/watch?v=PFiT5-YiYpI
53,Operations Management,Operations Analytics,,12th,English/Hindi,Module 7: Simulation Modeling,Lecture 07 2 Monte Carlo Simulation,https://www.youtube.com/watch?v=oPAolfyBi3Q
54,Operations Management,Operations Analytics,,12th,English/Hindi,Module 7: Simulation Modeling,Lecture 07 3 Simulation Harry's Auto Tire Excel,https://www.youtube.com/watch?v=FN6sNbxrNjw
55,Operations Management,Operations Analytics,,12th,English/Hindi,Module 7: Simulation Modeling,Lecture 07 4 Waiting Time Simulation Excel,https://www.youtube.com/watch?v=TwsCx_clMWg
56,Operations Management,Operations Analytics,,12th,English/Hindi,Module 8: Queuing Theory,Lecture 07 5 Simulation for a Maintenance Policy,https://www.youtube.com/watch?v=tX1dIfqjyKI
57,Operations Management,Operations Analytics,,12th,English/Hindi,Module 8: Queuing Theory,Lecture 08 1 Queuing Theory,https://www.youtube.com/watch?v=cZEBI8ixeAM
58,Operations Management,Operations Analytics,,12th,English/Hindi,Module 8: Queuing Theory,Lecture 08 2 MM1,https://www.youtube.com/watch?v=z9WyhVZXpOI
59,Operations Management,Operations Analytics,,12th,English/Hindi,Module 8: Queuing Theory,Lecture 08 3 MM1 Excel,https://www.youtube.com/watch?v=TAxcs5cmfyY
60,Operations Management,Operations Analytics,,12th,English/Hindi,Module 8: Queuing Theory,Lecture 08 4 MMm,https://www.youtube.com/watch?v=A5evkAaLQ58
