S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Operations Management And Strategic Management,44hrs 8min,12th,English/Hindi,Module 1: Introduction to Operations Management,#1 Operations Management - Intro| CMA Inter|,https://www.youtube.com/watch?v=r-f3IbUwLp8
2,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 1: Introduction to Operations Management,#2 Operations Management - Introduction,https://www.youtube.com/watch?v=0mM90FKKGfM
3,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#3 Operations Planning,https://www.youtube.com/watch?v=FBajRwCBn-w
4,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#4 Operations Planning,https://www.youtube.com/watch?v=wggAdqlPY2Y
5,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#5 Capacity Planning | Operations Planning,https://www.youtube.com/watch?v=VpOYukkKR8Y
6,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#6 Capacity Requirement Planning | Operations Planning,https://www.youtube.com/watch?v=GIeiGOxDMxc
7,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#7 Capacity Requirement Planning |Operations Planning,https://www.youtube.com/watch?v=iivslhsbW1A
8,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 2: Operations Planning: Capacity and Facility,#8 Facility Location | Operations Planning,https://www.youtube.com/watch?v=fDd6Dfd-Lqc
9,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 3: Operations Planning: Layout and Resources,#9 Facility Layout | Operations Planning,https://www.youtube.com/watch?v=GfeT8M89wc0
10,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 3: Operations Planning: Layout and Resources,#10 Layout Choice | Operations Planning,https://www.youtube.com/watch?v=0trAaCUlofE
11,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 3: Operations Planning: Layout and Resources,#11 Facility Layout |Operations Planning,https://www.youtube.com/watch?v=IRMiKM_DDuQ
12,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 3: Operations Planning: Layout and Resources,#12 Resources Aggregrate Planning | Operations Planning,https://www.youtube.com/watch?v=ypTn8tpfEzs
13,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 4: Designing Operational Systems and Control,#13 Operations Planning,https://www.youtube.com/watch?v=6Cq2-dtM40I
14,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 4: Designing Operational Systems and Control,#14 Operations Planning,https://www.youtube.com/watch?v=ff7oexpPgyA
15,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 5: Production Planning & Control: Fundamentals,#15 Designing Of Operational System And Control,https://www.youtube.com/watch?v=w1ZXa4WuMDY
16,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 5: Production Planning & Control: Fundamentals,#16 Designing Of Operational System And Control,https://www.youtube.com/watch?v=qv4T8kaNf4E
17,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 5: Production Planning & Control: Fundamentals,#17 Production Planning & Control,https://www.youtube.com/watch?v=vA_8VqpNgb8
18,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 5: Production Planning & Control: Fundamentals,#18 Production Planning & Control,https://www.youtube.com/watch?v=W10vOeGf-8o
19,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 6: Production Planning & Control: Assignment and Scheduling,#19 Hungarian Method | Assignment Problem | Production Planning & Control,https://www.youtube.com/watch?v=KcaQFoj5P_A
20,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 6: Production Planning & Control: Assignment and Scheduling,#20 Hungarian Maximization Method | Assignment Problem | Production Planning and Control,https://www.youtube.com/watch?v=dKQlDZeVzfM
21,Operations Management,Operations Management And Strategic Management,,12th,English/Hindi,Module 6: Production Planning & Control: Assignment and Scheduling,#21 Scheduling | Production Planning And Control,https://www.youtube.com/watch?v=cNCaeZCH4Gk
