S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,54hrs 21min,12th,English/Hindi,Module 1: Introduction to Transportation Problems,Transportation problem||vogel's approximation[VAM]|Northwest corner||Least cost | by Kauserwise,https://www.youtube.com/watch?v=ItOuvM2KmD4
2,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 1: Introduction to Transportation Problems,Unbalanced Transportation Problem|Northwest|Least cost|VAM|With Simple Procedure by kauserwise,https://www.youtube.com/watch?v=KVGEXbmvsfk
3,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 1: Introduction to Transportation Problems,Transportation problem [ MODI method - U V method with Optimal  Solution ] kauserwise,https://www.youtube.com/watch?v=-w2z3MVTcQA
4,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 1: Introduction to Transportation Problems,Degeneracy in Transportation Problem | UV Method | Modi Method | Operations research | by kauserwise,https://www.youtube.com/watch?v=zN4AE1YjE2I
5,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 2: MODI Method & Degeneracy,[#1]Transshipment Problem||Sources & Destinations Acting as Transient Nodes||Operations Research,https://www.youtube.com/watch?v=b0b9zp8-168
6,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 2: MODI Method & Degeneracy,Dynamic programming Problem in Operations Research | | Numerical Problem | By Kauserwise,https://www.youtube.com/watch?v=1FV36zchj44
7,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 3: Transshipment Problems,VAM | Vogel's Approximation Method | In case of Tie | Transportation Problem | Solved by Kauserwise,https://www.youtube.com/watch?v=z3zjieArlAE
8,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 3: Transshipment Problems,Least Cost Cell Method | In case of Tie | Transportation Problem in Operations research | Kauserwise,https://www.youtube.com/watch?v=9tb6oRATVTw
9,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 4: Advanced VAM & Least Cost Method Techniques,Unbalanced | Least Cost Cell method | In case of Tie | Transportation Problem | Solved by Kauserwise,https://www.youtube.com/watch?v=crHLxEWjBRM
10,Supply Chain Management,Playlist Transportation Problems Collections  By kauserwise,,12th,English/Hindi,Module 4: Advanced VAM & Least Cost Method Techniques,Unbalanced | VAM | Vogel's Approximation Method Incase of Tie | Transportation Problem | Kauserwise,https://www.youtube.com/watch?v=2g5TNBQMAII
