S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Operations Management,Process Design Engineering Full Course Free,29hrs 16min,12th,English/Hindi,Module 1: Introduction to Process Design Engineering,Lec- 1 Process Design Engineering Complete Course | Syllabus | Chemical Engineering | PAYO'S Academy,https://www.youtube.com/watch?v=an4kYaMfX-w
2,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 1: Introduction to Process Design Engineering,All About B tech In Chemical Engineering | Career After Chemical Engineering | Salary Jobs Lifestyle,https://www.youtube.com/watch?v=eDKGN_4tfl8
3,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 1: Introduction to Process Design Engineering,Process Design Course For Chemical Engineer | Why Process Design Course | Chemical Engineer | Free,https://www.youtube.com/watch?v=PAdxjJLnQqI
4,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 1: Introduction to Process Design Engineering,Chemical Engineering Scope | Career After Chemical Engineering |  Process Design Engineering Course,https://www.youtube.com/watch?v=UO9Y1vwtnSY
5,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 2: Process Design Basics,Role Of Chemical Engineer | BSc Chemistry vs Chemical Engineering | BSc vs BTech | Process Engineer,https://www.youtube.com/watch?v=FVPWeD45gNA
6,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 2: Process Design Basics,Chemical Process Design Course | Types Of Project In EPC | FEED | DDE | Process Design Engineering,https://www.youtube.com/watch?v=w6E33EKhdhg
7,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 2: Process Design Basics,Process Design Engineering Course | EPC Project | Work Of Chemical Engineer | Chemical Industry,https://www.youtube.com/watch?v=X7ALXYKMRvs
8,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 3: Codes and Standards in Process Design,Process Design Course For Chemical Engineer | Process Design Engineering Deliverables | PFD | P&ID,https://www.youtube.com/watch?v=Tb1VG4Jgcl4
9,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 3: Codes and Standards in Process Design,Codes And Standards | Piping Codes And Standards| Oil And Gas | ASME | API | Chemical Process Design,https://www.youtube.com/watch?v=53DXyQsTrtM
10,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 3: Codes and Standards in Process Design,Unit Conversion | Chemical Process Design Engineering | Process Calculations | Chemical Engineering,https://www.youtube.com/watch?v=8QU2mHzeX_8
11,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 4: Equipment Sizing Calculations,Lec 11 | Basic Concepts Of Chemical Engineering | Chemical Process Design Engineering | Interview,https://www.youtube.com/watch?v=xdCRPum5Y4w
12,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 4: Equipment Sizing Calculations,Lec 12 | Basic Concepts Of Chemical Engineering | Process Design Engineering | Interview Questions,https://www.youtube.com/watch?v=nMexi4EapNE
13,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 4: Equipment Sizing Calculations,Lec 13 | Basic Concepts Of Chemical Engineering | Process Design Engineering | Interview Questions,https://www.youtube.com/watch?v=xVwuWTpJPXQ
14,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 4: Equipment Sizing Calculations,Lec 14 | Basic Concepts Of Chemical Engineering | Process Design Engineering | Interview Questions,https://www.youtube.com/watch?v=AXKWjjhBxC4
15,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 5: Two-Phase Flow Calculations,Lec 15 | Basic Concepts Of Chemical Engineering | Process Design Engineering | Interview Questions,https://www.youtube.com/watch?v=fiNS4NnC5pU
16,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 5: Two-Phase Flow Calculations,Line Sizing Calculations | Process design engineering | Chemical engineering | PAYO'S Academy,https://www.youtube.com/watch?v=dpVsEE7fyzc
17,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 5: Two-Phase Flow Calculations,Tank and Vessel Sizing | Process design engineering | Chemical engineering | PAYO'S Academy,https://www.youtube.com/watch?v=no17aUXyR60
18,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 6: Heat Exchanger Design Principles,Line Sizing Calculations | Process design engineering | Chemical engineering | PAYO'S Academy,https://www.youtube.com/watch?v=rbRiS2brr5Q
19,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 6: Heat Exchanger Design Principles,Pump Hydraulics | Sizing | Process design engineering | Chemical engineering | PAYO'S Academy |Excel,https://www.youtube.com/watch?v=tL7yKbVbcCc
20,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 6: Heat Exchanger Design Principles,Two Phase Line Sizing Calculations | Process Design Engineering | Chemical | PAYO'S Academy | #viral,https://www.youtube.com/watch?v=QP8gx5A6NTw
21,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 7: Piping and Instrumentation Diagrams (P&IDs) - Part 1,Tank Sizing Calculation | API650 | Chemical Engineering | Process Design Engineering | PAYOS Academy,https://www.youtube.com/watch?v=tmcODmug1fI
22,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 7: Piping and Instrumentation Diagrams (P&IDs) - Part 1,Chemical Process Design Engineering | Chemical engineering | Full course | Free | PAYO'S Academy,https://www.youtube.com/watch?v=IXrAGQKsS4k
23,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 7: Piping and Instrumentation Diagrams (P&IDs) - Part 1,Part 1 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | Chemical,https://www.youtube.com/watch?v=DVWxWA4kCko
24,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 8: Piping and Instrumentation Diagrams (P&IDs) - Part 4,Part 2 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | Chemical,https://www.youtube.com/watch?v=8QXf0lp1bTY
25,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 8: Piping and Instrumentation Diagrams (P&IDs) - Part 4,Part 3 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | #chemical,https://www.youtube.com/watch?v=1ldy7WU1E_o
26,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 8: Piping and Instrumentation Diagrams (P&IDs) - Part 4,Part 4 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | #chemical,https://www.youtube.com/watch?v=hZcp5OgI0Ds
27,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 9: Pressure Relief Valve (PSV) Fundamentals,Part 5 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | Chemical,https://www.youtube.com/watch?v=0OTiuTDYYo4
28,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 9: Pressure Relief Valve (PSV) Fundamentals,Heat Exchanger Design | Process design engineering | Chemical engineering | PAYO'S Academy,https://www.youtube.com/watch?v=1mGVPeoBmWk
29,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 9: Pressure Relief Valve (PSV) Fundamentals,Heat Exchanger Design | Process design engineering | Chemical engineering | PAYO'S Academy | Part 2,https://www.youtube.com/watch?v=TdU_696wV7M
30,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 10: PSV Sizing Calculations,Part 6 | Piping And Instrumentation Diagram | P&ID | Process Design Engineering Course | Chemical,https://www.youtube.com/watch?v=uEuNeQz1RfM
31,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 10: PSV Sizing Calculations,Part 8 | Piping And Instrumentation Diagram | How to Read P&ID | Process Design Engineering Course,https://www.youtube.com/watch?v=X0-LawF--0g
32,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 10: PSV Sizing Calculations,10/13 Rule | Ten Thirteen Rule | Ten by Thirteen Rule For Heat Exchanger Design | Requirement of PSV,https://www.youtube.com/watch?v=EJMAI8Ys0XQ
33,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 11: Pump Fundamentals and Hydraulics,Basics Of PSV Sizing | Pressure Relief Valve | Pressure Safety Valve | PSV Sizing Scenarios | Part 1,https://www.youtube.com/watch?v=npKTIf3Hu1g
34,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 11: Pump Fundamentals and Hydraulics,Types Of PSV | Pressure Relief Valve | Conventional PSV | Balanced Bellow | Pilot Operated | Part 2,https://www.youtube.com/watch?v=gI3Q4xrODEg
35,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 11: Pump Fundamentals and Hydraulics,Steps Of PSV Sizing | Pressure Relief Valve | Pressure Safety Valve | PSV Sizing Scenarios | Part 3,https://www.youtube.com/watch?v=V2VEo_GQCPA
36,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 12: Control Valve Basics and Types,Career Catalyst | Interview Questions | Chemical Process Design Engineering | Free | PAYO'S Academy,https://www.youtube.com/watch?v=SpElG_731jk
37,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 12: Control Valve Basics and Types,Basics Of Pump | Pump Hydraulics | Process design engineering | Chemical engineering | PAYOS Academy,https://www.youtube.com/watch?v=2zT7c0X7YQg
38,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 12: Control Valve Basics and Types,Cavitation and NPSH Calculation | Pump Hydraulics | Process design engineering| Chemical engineering,https://www.youtube.com/watch?v=e-jrhn275L0
39,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 13: Utility Calculations in Process Design,Pump Curves | Pump Hydraulics | Process design engineering | Chemical engineering | PAYOS Academy,https://www.youtube.com/watch?v=nCTPdGDgwEk
40,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 13: Utility Calculations in Process Design,Control Valve Sizing | Basics Of Control Valve  | Types of Valve | Actuators | ATO | ATC | Part 1,https://www.youtube.com/watch?v=93G8eQjowWI
41,Operations Management,Process Design Engineering Full Course Free,,12th,English/Hindi,Module 13: Utility Calculations in Process Design,Control Valve Sizing | Steps Of Control Valve Sizing | Part 3 | CV Value Calculation | Pressure Drop,https://www.youtube.com/watch?v=o94HdeL6LwQ
