S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Supply Chain Management,Procurement Management course,13hrs 13min,12th,English/Hindi,Module 1: Introduction to Purchasing Management,Lesson 1 - Purchasing  management  - concepts 101 - Learn main concepts in corporate purchasing,https://www.youtube.com/watch?v=e63vAxT1Ub8
2,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 1: Introduction to Purchasing Management,Lesson 2 - Purchasing management - SCM 101 - Learn quickly and get a job in corporate purchasing,https://www.youtube.com/watch?v=YrjGbxfWTxY
3,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 1: Introduction to Purchasing Management,CollegeTourPurchasing Video 1 What is Purchasing?,https://www.youtube.com/watch?v=eB_1Z6oC5ZU
4,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 1: Introduction to Purchasing Management,Lesson 3 - Purchasing  Strategy 101 - Learn the core strategic roles in purchasing management.,https://www.youtube.com/watch?v=1O0QkX3JltU
5,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 2: Strategic Purchasing & Decision Making,"Lesson 4 - Purchasing management - Supply types, type of materials and services companies buy",https://www.youtube.com/watch?v=8rfAN8kW5fE
6,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 2: Strategic Purchasing & Decision Making,CollegeTourPurchasing Video 5: Purchasing decisionmaking: cost-risk-value,https://www.youtube.com/watch?v=kmI5ZB12qCM
7,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 2: Strategic Purchasing & Decision Making,Lesson 5 - Purchasing management - Process 101 - Purchasing process lesson workflow in Supply Chain,https://www.youtube.com/watch?v=2wxcBVR0G6g
8,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 3: Purchasing Processes & Sourcing,CollegeTourPurchasing Video 6 Purchasing Process Management,https://www.youtube.com/watch?v=2fbGHsnZaBw
9,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 3: Purchasing Processes & Sourcing,"Lesson 6 - SCM Sourcing 101- Learn sourcing of materials in procurement, purchasing management",https://www.youtube.com/watch?v=DMgE5Dc0xO8
10,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 3: Purchasing Processes & Sourcing,Break-even analysis 101 - Calculate break-even for buy or make decision in Supply Chain Management,https://www.youtube.com/watch?v=5XOVUPGPcbg
11,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 4: Break-Even Analysis & RFP,Request for Proposal Sample Course,https://www.youtube.com/watch?v=PAh1sqerDUY
12,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 4: Break-Even Analysis & RFP,CollegeTourPurchasing Video 11 Purchasing Portfolio Management,https://www.youtube.com/watch?v=5VvS12UWV8w
13,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 4: Break-Even Analysis & RFP,Sourcing processes: Supplier selection - Procurement training - Purchasing skills,https://www.youtube.com/watch?v=510AN2Tkuik
14,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 5: Supplier Selection & Weighted Scoring,"Weighted scoring 101 -Learn quickly decision-making matrix, ranking & prioritization matrix (short)",https://www.youtube.com/watch?v=rQLkW7RlLX8
15,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 5: Supplier Selection & Weighted Scoring,"Lesson 8 - RFP, RFQ, RFI, what? Learn how to prepare RFP, RFI, and RFQ in the procurement process",https://www.youtube.com/watch?v=-JalXrvGDVM
16,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 5: Supplier Selection & Weighted Scoring,Lesson 9 - Request for Proposal RFP - How to prepare the RFP for your company procurement.,https://www.youtube.com/watch?v=QIOR7Dnm0Uk
17,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 6: RFP Development & Contract Management,"Lesson 10 - Contract Management 101 - Contracts type in procurement, fixed-price, cost based, T&M",https://www.youtube.com/watch?v=yHVZJTxQPL8
18,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 6: RFP Development & Contract Management,CollegeTourPurchasing Video 7 Contracts and Contractmanagement,https://www.youtube.com/watch?v=G4QQL4xi-NU
19,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 6: RFP Development & Contract Management,CollegeTourPurchasing Video 8 Outsourcing,https://www.youtube.com/watch?v=8DEhWa4frrM
20,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 7: Contract Management & Outsourcing,"Procurement Training, Purchasing Training, Supply Chain Management Training - Click to Watch Now!",https://www.youtube.com/watch?v=cojB0d76Mfk
21,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 7: Contract Management & Outsourcing,Lesson 7 - Purchasing Portfolio Strategy – Find best purchasing strategy with the Portfolio Matrix,https://www.youtube.com/watch?v=0P5lOyoPTdw
22,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 8: Purchasing Portfolio Strategy & Weighted Scoring,Mastering Weighted Scoring: A Guide to Informed Decision-Making - Full lesson new version,https://www.youtube.com/watch?v=yna1hkosda8
23,Supply Chain Management,Procurement Management course,,12th,English/Hindi,Module 8: Purchasing Portfolio Strategy & Weighted Scoring,Mastering Weighted Scoring: the step by step process to Informed Decision-Making,https://www.youtube.com/watch?v=zhVR3RjCQvo
