S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Project Management,Project Management,5hrs 13min,12th,English/Hindi,Module 1: Introduction to Project Management,Project Management,https://www.youtube.com/watch?v=gnkjcRDQkw0
2,Project Management,Project Management,,12th,English/Hindi,Lecture 01: Introduction to Project Management - I,Lecture 01: Introduction to Project Management - I,https://www.youtube.com/watch?v=uEREF70j-yI
3,Project Management,Project Management,,12th,English/Hindi,Lecture 02 : Introduction to Project Management - II,Lecture 02 : Introduction to Project Management - II,https://www.youtube.com/watch?v=RK_LCJO4BJY
4,Project Management,Project Management,,12th,English/Hindi,Lecture 03 : Agile Project Management,Lecture 03 : Agile Project Management,https://www.youtube.com/watch?v=zyGfLajeWmw
5,Project Management,Project Management,,12th,English/Hindi,Module 2: Project Selection and Initiation,Lecture 04 : Project Selection Models,https://www.youtube.com/watch?v=ewhTgzIQG84
6,Project Management,Project Management,,12th,English/Hindi,Lecture 04 : Project Selection Models,Lecture 05 : Examples of Project Selection Models,https://www.youtube.com/watch?v=jB6ugjuQ5pI
7,Project Management,Project Management,,12th,English/Hindi,Lecture 05 : Examples of Project Selection Models,Lecture 06 : Project Manager,https://www.youtube.com/watch?v=xkNzWk5C13E
8,Project Management,Project Management,,12th,English/Hindi,Lecture 06 : Project Manager,Lecture 07 : Attributes of Effective Project Manager,https://www.youtube.com/watch?v=NNgmd_3653E
9,Project Management,Project Management,,12th,English/Hindi,Module 3: Project Manager and Stakeholders,Lecture 08 :  Managing for Stakeholders,https://www.youtube.com/watch?v=onh8xKhGepc
10,Project Management,Project Management,,12th,English/Hindi,Lecture 07 : Attributes of Effective Project Manager,Lecture 09 : Resolving Conflicts,https://www.youtube.com/watch?v=3MuVM4ZBtws
11,Project Management,Project Management,,12th,English/Hindi,Lecture 08 :  Managing for Stakeholders,Lecture 10 : Negotiation,https://www.youtube.com/watch?v=-G4dLGYKFGc
12,Project Management,Project Management,,12th,English/Hindi,Lecture 09 : Resolving Conflicts,Lecture 11 : Project in the Organization structure,https://www.youtube.com/watch?v=DeOsIgShzmI
13,Project Management,Project Management,,12th,English/Hindi,Module 4: Project Organization and Planning,Lecture 12 : Human factors and the Project Team,https://www.youtube.com/watch?v=krixPaDSz98
14,Project Management,Project Management,,12th,English/Hindi,Lecture 10 : Negotiation,Lecture 13 : Traditional Project Activity Planning,https://www.youtube.com/watch?v=bsUa1iFTzBM
15,Project Management,Project Management,,12th,English/Hindi,Lecture 11 : Project in the Organization structure,"Lecture 14 : Agile Project Planning, Project Charter",https://www.youtube.com/watch?v=7de7j0MLrlY
16,Project Management,Project Management,,12th,English/Hindi,Lecture 12 : Human factors and the Project Team,Lecture 15 : Coordination through Integration Management,https://www.youtube.com/watch?v=3B9XLt3EFHA
17,Project Management,Project Management,,12th,English/Hindi,Module 5: Traditional and Agile Planning,Lecture 16 : Project Feasibility Analysis,https://www.youtube.com/watch?v=3ZTdXXI3Y00
18,Project Management,Project Management,,12th,English/Hindi,Lecture 13 : Traditional Project Activity Planning,Lecture 17 : Estimating Project Budgets,https://www.youtube.com/watch?v=ivg9WOMx3lc
19,Project Management,Project Management,,12th,English/Hindi,"Lecture 14 : Agile Project Planning, Project Charter",Lecture 18 : Project Risk Management,https://www.youtube.com/watch?v=T-kzKpANil4
20,Project Management,Project Management,,12th,English/Hindi,Lecture 15 : Coordination through Integration Management,Lecture 19 : Quantitative Risk Assessment Methodologies,https://www.youtube.com/watch?v=aa-8Rtb9_Ks
21,Project Management,Project Management,,12th,English/Hindi,Module 6: Project Feasibility and Budgeting,Lecture 20 : Critical Path Method (CPM),https://www.youtube.com/watch?v=fDh0K3SYT6A
22,Project Management,Project Management,,12th,English/Hindi,Lecture 16 : Project Feasibility Analysis,Lecture 22  Risk Analysis with simulation for scheduling,https://www.youtube.com/watch?v=9yY_b-c20JQ
