S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),72hrs 21min,12th,English/Hindi,Module 1: Introduction to SHRM,SHRM: Adding Value Through People,https://www.youtube.com/watch?v=JzHmdrR0iyA
2,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 1: Introduction to SHRM,Strategic HR vs. Traditional HR,https://www.youtube.com/watch?v=wcOzf3MhRNQ
3,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 1: Introduction to SHRM,Strategic Selection,https://www.youtube.com/watch?v=SEBjkJ0f1K0
4,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 1: Introduction to SHRM,Manpower Development and Career Concerns,https://www.youtube.com/watch?v=eYQm6bMYcgY
5,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 2: Strategic HR Planning,Downsizing,https://www.youtube.com/watch?v=_W4lFWEtdFw
6,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 2: Strategic HR Planning,Techniques of Strategic HR Planning,https://www.youtube.com/watch?v=TPWncBWfMcw
7,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 2: Strategic HR Planning,Performance Evaluation,https://www.youtube.com/watch?v=qOY4-RvQeTQ
8,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 2: Strategic HR Planning,External Business Environment & SHRM,https://www.youtube.com/watch?v=1vSUs3pn-tc
9,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 3: Strategic Selection,The Context of SHRM,https://www.youtube.com/watch?v=zawKdFn84KM
10,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 3: Strategic Selection,Introduction: SHRM in 21st Century,https://www.youtube.com/watch?v=gDkyyVp6iqI
11,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 3: Strategic Selection,Linking HRM to Business Strategy,https://www.youtube.com/watch?v=Bi5--CVWMTI
12,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 3: Strategic Selection,The Evolving/Strategic Role of Human Resources,https://www.youtube.com/watch?v=BkSIqkrMN_A
13,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 4: Training and Development,Development of Human Resources,https://www.youtube.com/watch?v=OCyIEHYlbis
14,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 4: Training and Development,Human Resource Strategy Options,https://www.youtube.com/watch?v=I7V9Ouz9doE
15,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 4: Training and Development,Objectives of Strategic HR Management,https://www.youtube.com/watch?v=6Uq2WOd64SM
16,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 4: Training and Development,Strategic Approach to Manpower Acquisition,https://www.youtube.com/watch?v=oH84uU5d5Jw
17,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 5: Compensation and Benefits,Strategic Recruitment,https://www.youtube.com/watch?v=7gDbmCAsTQc
18,Human Resource Management,HRM: P13- Strategic Human Resource Management (e-PGP),,12th,English/Hindi,Module 5: Compensation and Benefits,Financial and Non-financial Compensation,https://www.youtube.com/watch?v=DbFAYulB028
