S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,Strategic Performance Management,77hrs 1min,12th,English/Hindi,Module 1: Introduction to Performance Management,Lecture 1 Introduction to Performance management,https://www.youtube.com/watch?v=OFwFznQ2e6w
2,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 1: Introduction to Performance Management,Lecture 2 Aim and purpose of performance management,https://www.youtube.com/watch?v=hZY7vC2R28g
3,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 1: Introduction to Performance Management,Lecture 3 Characteristics of an effective PM system,https://www.youtube.com/watch?v=ygvk-x-1qlo
4,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 1: Introduction to Performance Management,Lecture 4 Performance Management Process,https://www.youtube.com/watch?v=Zb-dl5SPL-w
5,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 2: Role of PM in Employee Development,Lecture 5 Role of PM in employee development and identification of Key performance areas,https://www.youtube.com/watch?v=VkysKyPygtY
6,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 2: Role of PM in Employee Development,Lecture 6 Understanding performance planning,https://www.youtube.com/watch?v=yWTl3Qhoy0c
7,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 2: Role of PM in Employee Development,Lecture 7 Strategic Planning and performance,https://www.youtube.com/watch?v=YXJa_-J1lPU
8,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 2: Role of PM in Employee Development,Lecture 8 Strategic planning and performance(2),https://www.youtube.com/watch?v=vCBBvgb4gLc
9,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 3: Strategic Planning and Performance (2),Lecture 9 Strategic planning and performance(3),https://www.youtube.com/watch?v=BDjTweyK5FE
10,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 3: Strategic Planning and Performance (2),lecture 10: Strategy and performance alignment,https://www.youtube.com/watch?v=tTaW2HGun8k
11,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 3: Strategic Planning and Performance (2),Lecture 11 : Performance dimensions: Task and context,https://www.youtube.com/watch?v=8FNO1V03vSk
12,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 3: Strategic Planning and Performance (2),"Lecture 12 : Behavior, result and trait approach system",https://www.youtube.com/watch?v=paH8yZ2lxUg
13,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,"Module 4: Behavior, Result, and Trait Approach System",Lecture 13 : Measuring behavior and results,https://www.youtube.com/watch?v=vHH_flkSmDc
14,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,"Module 4: Behavior, Result, and Trait Approach System",Lecture 14 : Measurement system,https://www.youtube.com/watch?v=NAyFVd2WzBU
15,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,"Module 4: Behavior, Result, and Trait Approach System",Lecture 15 : Collecting information in performance management,https://www.youtube.com/watch?v=Eij89o54kJc
16,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,"Module 4: Behavior, Result, and Trait Approach System",Lecture 16 : Implementing PM System,https://www.youtube.com/watch?v=awja8z2Sa3M
17,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 5: Implementing PM System,Lecture 17 : Implementing PMS(2),https://www.youtube.com/watch?v=646GvO6QmxA
18,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 5: Implementing PM System,Lecture 18 : Self appraisal,https://www.youtube.com/watch?v=fmIFh0_tlPo
19,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 5: Implementing PM System,Lecture 19 : Managing team performance,https://www.youtube.com/watch?v=M7V8ZIumuM8
20,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 5: Implementing PM System,Lecture 20 : 360 degree appraisal,https://www.youtube.com/watch?v=7KlLCT-0wRE
21,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 6: 360 Degree Appraisal,Lecture 21 : Performance Management Skill,https://www.youtube.com/watch?v=vFcU-T6L6Ds
22,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 6: 360 Degree Appraisal,Lecture 22 : Performance Management & Employee Development,https://www.youtube.com/watch?v=s9TqaklDQp4
23,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 6: 360 Degree Appraisal,Lecture 23 : Coaching for performance improvement,https://www.youtube.com/watch?v=BURFv6wDfkw
24,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,Module 6: 360 Degree Appraisal,"Lecture 24 : Coaching process,analysis and techniques",https://www.youtube.com/watch?v=oPyRZMfly38
25,Human Resource Management,Strategic Performance Management,,12th,English/Hindi,"Module 7: Coaching Process, Analysis, and Techniques",Lecture 25 : Coching skills for managers and evaluation,https://www.youtube.com/watch?v=2SjI2HIGGu8
