S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Human Resource Management,TRAINING AND DEVELOPMENT,56hrs 9min,12th,English/Hindi,Module 1: Introduction to Training and Development,METHODS OF TRAINING/ OFF THE JOB TRAINING & ON THE JOB TRAINING,https://www.youtube.com/watch?v=HSxGVOS73jE
2,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 1: Introduction to Training and Development,TRAINING VS DEVELOPMENT/ DIFFERENCE BETWEEN TRAINING & DEVELOPMENT,https://www.youtube.com/watch?v=LHx7DmsUL_4
3,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 1: Introduction to Training and Development,SUMMATIVE EVLAUATION VS FORMATIVE EVLAUATION,https://www.youtube.com/watch?v=DV5Bpw4jCPo
4,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 1: Introduction to Training and Development,TRAINING INPUTS/INPUTS IN TRAINING,https://www.youtube.com/watch?v=wuhQ_GIGwPs
5,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 2: Identifying Training Needs,QUESTIONNAIRES as data collected method,https://www.youtube.com/watch?v=pRqOtWyJNe0
6,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 2: Identifying Training Needs,HOW  CAN EFFECTIVE TRAINERS BE DEVELOPED?/ DEFINITION OF TRAINING/TRAINING & DEVELOPMENT,https://www.youtube.com/watch?v=RF6rbw4ALdw
7,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 2: Identifying Training Needs,KIRKPATRICK MODEL OF TRAINING EVALUATION,https://www.youtube.com/watch?v=3WFtH0hQzc0
8,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 2: Identifying Training Needs,Training and Development paper  for BBA sem iv #shorts,https://www.youtube.com/watch?v=Wzcfn3QQ3Jk
9,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 3: Designing Training and Development Programs,TRAINING CYCLE/ TRAINING PROCESS,https://www.youtube.com/watch?v=Vo_5KOySVts
10,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 3: Designing Training and Development Programs,TRAINING EVALUATION,https://www.youtube.com/watch?v=IOfp6Kw3p6U
11,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 3: Designing Training and Development Programs,METHODS OF INDUCTION TRAINING/ TRAINING & DEVELOPMENT,https://www.youtube.com/watch?v=1JJZQCAeSD4
12,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 3: Designing Training and Development Programs,DESIGNING OF TRAINING & DEVELOPMENT PROGRAMME,https://www.youtube.com/watch?v=zm5t7-aXCas
13,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 4: Methods of Training: On-the-Job Training,FACTORS DETERMINING  THE TRAINING AND DEVELOPMENT,https://www.youtube.com/watch?v=OhFUwXvg7gg
14,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 4: Methods of Training: On-the-Job Training,IDENTIFICATION OF TRAINING NEEDS/TRAINING NEEDS ASSESSMENT,https://www.youtube.com/watch?v=6-_7d8SutCw
15,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 4: Methods of Training: On-the-Job Training,ROLE OF TRAINING & DEVELOPMENT,https://www.youtube.com/watch?v=ZcVH5ILL3sg
16,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 4: Methods of Training: On-the-Job Training,TRAINING A CONCEPTUAL FRAMEWORK,https://www.youtube.com/watch?v=Kg1P4UW3eVA
17,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 5: Methods of Training: Off-the-Job Training,TRAINING AND DEVELOPMENT PAPER FOR BBA,https://www.youtube.com/watch?v=eszjOob5LWs
18,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 5: Methods of Training: Off-the-Job Training,VESTIBULE TRAINING METHOD,https://www.youtube.com/watch?v=RHtuhi6q5Uw
19,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 5: Methods of Training: Off-the-Job Training,METHODS OF MANAGEMENT DEVELOPMENT 1 ( ON THE JOB TRAINING),https://www.youtube.com/watch?v=SKqOLo2YRag
20,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 5: Methods of Training: Off-the-Job Training,METHODS OF TRAINING 1 ON THE JOB TRAINING (EXPLAINED IN HINDI),https://www.youtube.com/watch?v=3dvSUn9W3rM
21,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 6: Developing Effective Trainers,"MEANING,FEATURES ,ROLE AND PROCESS OF MANAGEMENT DEVELOPMENT",https://www.youtube.com/watch?v=dPenLeZY6Kg
22,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 6: Developing Effective Trainers,DESIGNING AND DEVELOPING TRAINING PROGRAMMES TRAINING AND DEVELOPMENT,https://www.youtube.com/watch?v=OGvI0L2nJNM
23,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,Module 6: Developing Effective Trainers,SENSITIVITY GROUP TRAINING,https://www.youtube.com/watch?v=GI6Mv-t8UNU
24,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,"Module 7: Training Evaluation: Purpose, Types, and Approaches",TRAINING EVALUATION REPORT TRAINING AND DEVELOPMENT,https://www.youtube.com/watch?v=DzXfbylLM7s
25,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,"Module 7: Training Evaluation: Purpose, Types, and Approaches",TRAINING AND DEVELOPMENT TRAINING AND DEVELOPMENT,https://www.youtube.com/watch?v=v4HUyOskiBE
26,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,"Module 7: Training Evaluation: Purpose, Types, and Approaches",TRAINING NEEDS ASSESSMENT TRAINING AND DEVELOPMENT,https://www.youtube.com/watch?v=tHExd3RMsvs
27,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,"Module 7: Training Evaluation: Purpose, Types, and Approaches",TYPES AND APPROACHES OF TRAINING EVALUATION TRAINING AND  EVALUATION,https://www.youtube.com/watch?v=q0Eno0FGAnY
28,Human Resource Management,TRAINING AND DEVELOPMENT,,12th,English/Hindi,"Module 7: Training Evaluation: Purpose, Types, and Approaches","MEANING,PURPOSE AND FACTORS OF TRAINING EVALUATION TRAINING AND DEVELOPMENT",https://www.youtube.com/watch?v=iVssnBkW-kI
