S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marine Engineering,All about Ship's Stability,23hrs 2min,12th,English/Hindi,Module 1: Introduction to Ship Stability,Metacentric Height ll GM ll Ships Equilibrium ll Angle of Loll ll Righting Lever and Righting Moment,https://www.youtube.com/watch?v=spivBg4KCiI
2,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 1: Introduction to Ship Stability,Calculate Fluid GM l Multiple Weight I Initial Metacentric height l Final KG l Stability Calculation,https://www.youtube.com/watch?v=IM4HzhwvLDE
3,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 1: Introduction to Ship Stability,How ship's Center of Gravity (G) moves?,https://www.youtube.com/watch?v=qoSrvcnvXTU
4,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 1: Introduction to Ship Stability,Determine TPC by Hydrostatic Table II Tonnes Per Centimeter Immersion II Interpolation/Extrapolation,https://www.youtube.com/watch?v=jOvqScllxws
5,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 2: Calculating Fluid GM,Calculate the Fresh Water Allowance & Dock Water Allowance II Change in Ship's Drafts due to Density,https://www.youtube.com/watch?v=DzKHYNv8tG4
6,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 2: Calculating Fluid GM,Determine Ship's Displacement Using Hydrostatic Table ll Displacement ll Lightweight ll Deadweight,https://www.youtube.com/watch?v=ZFSbarlg02g
7,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 2: Calculating Fluid GM,Calculate Cargo to Load with Draft Limit ll Determine Final Draft Given the Cargo to Load,https://www.youtube.com/watch?v=bbS5oL8kX_0
8,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 3: How Ship's Center of Gravity Moves,Shift of Ship's Center of Gravity (Part2) when Adding Weight ll Calculate Final KG,https://www.youtube.com/watch?v=r3ySSbGpIwk
9,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 4: Determine TPC using Hydrostatic Table,Shift of Ship's Center of Gravity (Part3) when Adding Weight ll Calculate Final KG,https://www.youtube.com/watch?v=zMf8LAPpuQE
10,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 4: Determine TPC using Hydrostatic Table,Determine Volume & Mass of Ballast Water ll Tank Sounding Table ll Double Interpolation,https://www.youtube.com/watch?v=Gnz6xUTwEzI
11,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 4: Determine TPC using Hydrostatic Table,Determine Free Surface Moment & VCG of Ballast Water ll Vertical Center of Gravity ll Sounding Table,https://www.youtube.com/watch?v=kEOWrIFaASs
12,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 5: Fresh Water and Dock Water Allowance,Calculate Cargo to Load 3 ll Load line calculation ll Dock water allowance ll Stability calculations,https://www.youtube.com/watch?v=-SI4QNH7cMs
13,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 5: Fresh Water and Dock Water Allowance,Calculate Cargo to Load 4 ll Load line calculation ll Dock water allowance ll Stability calculations,https://www.youtube.com/watch?v=jPx-5F5SbE8
14,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 6: Ship's Displacement and Hydrostatic Table,"Ship's Lightweight, Deadweight and Displacement",https://www.youtube.com/watch?v=p5n1cJ3_d3U
15,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 6: Ship's Displacement and Hydrostatic Table,"Density, Mass and Volume in Relation to Ship Stability",https://www.youtube.com/watch?v=ZrO1w1I4nvo
16,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 7: Cargo Loading and Draft Limits,Shift of Ship's Center of Gravity (Part1) when Shifting Weight ll Calculate Final KG,https://www.youtube.com/watch?v=w6FBiW5hQGo
17,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 7: Cargo Loading and Draft Limits,Free Surface Effect (FSE) ll Ship's Stability ll Calculate Free Surface Correction ll Slack Tank,https://www.youtube.com/watch?v=GgDRLqB4zLg
18,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 8: Shifting Ship's COG (Part 1),Angle of Loll ll List ll Ship Stability ll Neutral Equilibrium ll Righting Arm ll Metacenter,https://www.youtube.com/watch?v=xlQpZCogzNM
19,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 8: Shifting Ship's COG (Part 1),Construct a GZ Curve ll Range of Stability ll Angle of Vanishing Stability ll KN Values,https://www.youtube.com/watch?v=dGu3m7-xNgg
20,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 9: Shifting Ship's COG (Part 2 & 3),Calculate the Fresh Water Allowance (FWA) & Dock Water Allowance (DWA) 2 ll Calculate Final Draft,https://www.youtube.com/watch?v=L55-fMrX2Fk
21,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 9: Shifting Ship's COG (Part 2 & 3),Calculate Angle of List due to Loading of Weight ll What is List ll Ship's Stability,https://www.youtube.com/watch?v=pSIivbMfUyk
22,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 10: Free Surface Effect and Ship Stability,Calculate Cargo to Load with Draft Limit 2 ll Determine the Maximum Cargo to Load for Required Draft,https://www.youtube.com/watch?v=VUEGu3Xn6JQ
23,Marine Engineering,All about Ship's Stability,,12th,English/Hindi,Module 10: Free Surface Effect and Ship Stability,Calculate Metacentric Height (GM) ll Suspended Weight ll Movement of COG ll Ship Stability,https://www.youtube.com/watch?v=r6x5WqrIs0k
