S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marine Engineering,Marine Engineering TECHNICAL Video Series,83hrs 23min,12th,English/Hindi,Module 1: Introduction to Ship Engines,Engine Room On Ship || Mega Ship Tour || Giant Machineries In Engine Room || A Must Watch,https://www.youtube.com/watch?v=a6xSYN70QGA
2,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 1: Introduction to Ship Engines,Engine Room On Ship || Types Of Pumps || How Pumps Work?,https://www.youtube.com/watch?v=AwkOcm83GO4
3,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 1: Introduction to Ship Engines,How Two Stroke Engine Lubrication Work | Two Stroke Marine Engine Lubrication | Engine Working,https://www.youtube.com/watch?v=1FFEUGS6Bc0
4,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 1: Introduction to Ship Engines,How To Start A Purifier? || Starting The Heavy Fuel Oil Purifier || Purifier Starting Procedure,https://www.youtube.com/watch?v=HBg4ex52bio
5,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 2: Ship Pumps and Lubrication,Fixed Fire fighting system on Ship? How do we extinguish fire on ship? CO2 system onboard Ship,https://www.youtube.com/watch?v=TXPkm-2_Mfw
6,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 2: Ship Pumps and Lubrication,How Relative Humidity and Dew Point are measured on Ship? II Wet Bulb and Dry Bulb temperatures.,https://www.youtube.com/watch?v=ix6xZY4zxQE
7,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 2: Ship Pumps and Lubrication,Air Compressor Overhauling || Marine Air Compressor Overhaul || Overhauling Of Marine Air Compressor,https://www.youtube.com/watch?v=MUq7grLAdCY
8,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 3: Purifiers and Fire Fighting Systems,Introduction to Bilge System in Engine Room ? What is the role of Oily Water Separator ?,https://www.youtube.com/watch?v=3KhvNqdL5HA
9,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 3: Purifiers and Fire Fighting Systems,What is Exhaust Gas Economizer I Exhaust gas turbocharger | Important part of IC Engines and Boiler,https://www.youtube.com/watch?v=RiqQGOntKZc
10,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 3: Purifiers and Fire Fighting Systems,how refrigeration system work on ship || Important Components of Refrigeration system,https://www.youtube.com/watch?v=Ba9ptTvPQ3o
11,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 4: Humidity Control and Air Compressors,What is INCINERATOR? || Why we use INCINERATOR On ship? || INCINERATOR Detailed Round,https://www.youtube.com/watch?v=04qVV02a9zc
12,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 4: Humidity Control and Air Compressors,How Does Boiler Flame Failure Trip || What is Low Low Water Level Trip || Boiler Engine Room Round,https://www.youtube.com/watch?v=51yCwmZcGOM
13,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 4: Humidity Control and Air Compressors,Main Sea Water System Line Diagram Explained With Engine Room Round || Sea Water System On Ship,https://www.youtube.com/watch?v=xjXz5N3JrB8
14,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 5: Bilge Systems and Exhaust Gas Economizers,Fire Alarm On Ship | How Are Fire Alarms Tested On Ship | How A Fire Alarm Works,https://www.youtube.com/watch?v=VNCffpOR7zY
15,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 5: Bilge Systems and Exhaust Gas Economizers,Difference Between Supercharger And Turbocharger || Turbochargers Vs Superchargers - Which Is Better,https://www.youtube.com/watch?v=24ffGdXnkzA
16,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 5: Bilge Systems and Exhaust Gas Economizers,Engine Control Room Tour || Ship Engine Control Room Tour || Bulk Carrier Ship Engine Room || ECR,https://www.youtube.com/watch?v=SfRw-V4-s74
17,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 6: Refrigeration and Incineration Systems,Main Engine Lube Oil Line Diagram,https://www.youtube.com/watch?v=iJUD1DQqYOs
18,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 6: Refrigeration and Incineration Systems,Types Of Valves || How Valves Work || Valve Types And Operation || Valve Parts Explained,https://www.youtube.com/watch?v=jGhTV26tL40
19,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 6: Refrigeration and Incineration Systems,Surface Tension Fluid Mechanics | Real Life Example Easy To Understand For Everyone,https://www.youtube.com/watch?v=4MIFpiULVi8
20,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 7: Boiler Operations and Safety,Main Engine Performance on ship || auxiliary engine performance on ship,https://www.youtube.com/watch?v=heq6FG71qpw
21,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 7: Boiler Operations and Safety,Fuel Oil Used On Ships || What Type Of Fuel Used On Ship || Fuel Used In Marine Engines,https://www.youtube.com/watch?v=DsT4kBTSlvs
22,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 7: Boiler Operations and Safety,"Venturi Effect, used for forming fresh water on Ship II Important  for Campus/Sponsorship Interviews",https://www.youtube.com/watch?v=Nudd08l5dlA
23,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 8: Sea Water Systems and Fire Alarm Systems,How A Globe Valve Works | Globe Valve Overhauling Procedure,https://www.youtube.com/watch?v=WjNNwnY9PCo
24,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 8: Sea Water Systems and Fire Alarm Systems,Valve practical engine room round ||  How Valves Work || Valve Types And Live Operation,https://www.youtube.com/watch?v=i2qC-pI5Pl0
25,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 8: Sea Water Systems and Fire Alarm Systems,Actual video of Deck Machinery Onboard Ship | How Vent Heads Work,https://www.youtube.com/watch?v=jG5Zy18uXJ4
26,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 9: Turbochargers and Engine Control Rooms,Without This Part Your Ship Cannot Move,https://www.youtube.com/watch?v=NBhm6Llt6A0
27,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 9: Turbochargers and Engine Control Rooms,What is a FILTER || Types of FILTER || Why are FILTERs requried on ship || Theory of FILTERs,https://www.youtube.com/watch?v=l8G7rkdSAbw
28,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 9: Turbochargers and Engine Control Rooms,How to test Lube Oil Viscosity? || Lube Oil Analysis Onboard Ship,https://www.youtube.com/watch?v=o1qON3CYTsA
29,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 10: Engine Lubrication and Valve Systems,Fuel System On Ship || Main Engine Fuel Oil System || Fuel Storage Distribution,https://www.youtube.com/watch?v=qvZvT2akRo8
30,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 10: Engine Lubrication and Valve Systems,Safety Standards On Ship I Main Engine Crankcase | Self Controlled Breathing Apparatus,https://www.youtube.com/watch?v=8wX6ia_T6Oo
31,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 10: Engine Lubrication and Valve Systems,How does a Centrifugal Pump work? || Characteristic Curve || Centrifugal Pump,https://www.youtube.com/watch?v=J_N5lGF9vdU
32,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 11: Fluid Mechanics and Engine Performance,Difference Between Boiling And Evaporation || Atmospheric Pressure Explained || Force And Pressure,https://www.youtube.com/watch?v=Z_sP4XSZz2Q
33,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 11: Fluid Mechanics and Engine Performance,What is Cargo Control Room on Ship | What Equipment Are Fitted 4n Cargo Control Room,https://www.youtube.com/watch?v=ANgRWEkkLcI
34,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 11: Fluid Mechanics and Engine Performance,Ship Bunkering Operations | Bunkering: Refueling Ships at Sea,https://www.youtube.com/watch?v=HS58yE_MZ6E
35,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 12: Ship Fuels and the Venturi Effect,Boiler Mountings || Engine room round on Ship of Boiler II Smoke Tube Boiler,https://www.youtube.com/watch?v=dx-72VVv3m4
36,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 12: Ship Fuels and the Venturi Effect,How To Operate Ship Crane || Engine Room Crane Operation || Limit Switch In Crane,https://www.youtube.com/watch?v=3eoFh7OHnHQ
37,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 12: Ship Fuels and the Venturi Effect,Two Stroke Engine Working | How 2 Stroke Engine Works,https://www.youtube.com/watch?v=QXi2ChMcyvA
38,Marine Engineering,Marine Engineering TECHNICAL Video Series,,12th,English/Hindi,Module 13: Globe Valves and Deck Machinery,Me Engine on Ship | How Ship Main Engine Works,https://www.youtube.com/watch?v=bGrab0hxcng
