S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marine Engineering,Ocean - Marine Hydrodynamics,126hrs 23min,12th,English/Hindi,Module 1: Introduction to Marine Hydrodynamics & Conservation Laws,Mod-01 Lec-01 Introduction to Marine Hydrodynamics,https://www.youtube.com/watch?v=A63ab5mOqBw
2,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 1: Introduction to Marine Hydrodynamics & Conservation Laws,Mod-02 Lec-02 Law of Conservation of Mass - Continuity of Equation,https://www.youtube.com/watch?v=-bcTuTQTNgo
3,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,"Module 2: Streamlines, Flow Types & Equations of Motion",Mod-03 Lec-03 Streamlines and Flow Direction,https://www.youtube.com/watch?v=jGZtvti57yA
4,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,"Module 2: Streamlines, Flow Types & Equations of Motion",Mod-04 Lec-04 Worked Examples on Various Types of Flow,https://www.youtube.com/watch?v=WsodK4DyEro
5,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,"Module 2: Streamlines, Flow Types & Equations of Motion",Mod-05 Lec-05 Equation of Motion (Law of Conservation of Momentum),https://www.youtube.com/watch?v=GBxnk_vyoPo
6,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 3: Two Dimensional Flows,Mod-06 Lec-06 Applications of Equations of Motion,https://www.youtube.com/watch?v=2O7hALzoIBw
7,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 3: Two Dimensional Flows,Mod-06 Lec-07 Applications of Equations of Motion (Contd.),https://www.youtube.com/watch?v=w6qYHUZksag
8,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,"Module 4: Source, Sink, Doublet & Worked Examples",Mod-07 Lec-08 Two Dimensional Flows,https://www.youtube.com/watch?v=TzBoAAcLJIM
9,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,"Module 4: Source, Sink, Doublet & Worked Examples",Mod-07 Lec-09 Two Dimensional Flows (Contd.),https://www.youtube.com/watch?v=V_6d0JrArNg
10,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 5: Conformal Mapping & Joukowsky Transformation,"Mod-08 Lec-10 Source, Sink and Doublet",https://www.youtube.com/watch?v=TaUXPnIFd6Q
11,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 6: Aerofoil Theory,Mod-09 Lec-11 Worked Examples on Two Dimensional Flows,https://www.youtube.com/watch?v=U2U8t8NjSYo
12,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 6: Aerofoil Theory,Mod-10 Lec-12 Conformal Mapping and Joukowsky Transformation,https://www.youtube.com/watch?v=s2RJeBfDaqw
13,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 6: Aerofoil Theory,Mod-11 Lec-13 Uniform Flow Past an Elliptic Cylinder,https://www.youtube.com/watch?v=Sx0UxcgeGwU
14,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 7: Schwarz-Christoffel Transformation & Motion of a Cylinder,Mod-12 Lec-14 Aerofoil theory,https://www.youtube.com/watch?v=1psgQrK9SJ4
15,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 7: Schwarz-Christoffel Transformation & Motion of a Cylinder,Mod-12 Lec-15 Aerofoil theory (Contd.),https://www.youtube.com/watch?v=XqpYnHD7QIk
16,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 8: Vertex Motion & Irrotational Flow,Mod-12 Lec-16 Aerofoil theory (Contd.),https://www.youtube.com/watch?v=HdW-WgJ0yL4
17,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 8: Vertex Motion & Irrotational Flow,Mod-13 Lec-17 Schwarz - Christoffel Transformation,https://www.youtube.com/watch?v=HgFAwLVkR00
18,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 9: Introduction to Water Waves & Basic Equations,Mod-14 Lec-18 Motion of a cylinder,https://www.youtube.com/watch?v=dqAeNQV5f0o
19,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 9: Introduction to Water Waves & Basic Equations,Mod-15 Lec-19 Vertex Motion,https://www.youtube.com/watch?v=0hp-D4pIoao
20,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 10: Water Particle Kinematics & Capillary Gravity Waves,Mod-16 Lec-20 Irrotational Flow - A Bird's eyeview,https://www.youtube.com/watch?v=UXyKCqF-jUM
21,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 10: Water Particle Kinematics & Capillary Gravity Waves,Mod-17 Lec-21 Introduction to Water Waves,https://www.youtube.com/watch?v=nI5SN6CN2P4
22,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 11: Linearised Long Wave Equation,Mod-18 Lec-22 Basic Equation and Conditions of Water Waves,https://www.youtube.com/watch?v=Ui4F1KMUk0M
23,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 11: Linearised Long Wave Equation,Mod-19 Lec-23 Water particle kinematics in wave motion,https://www.youtube.com/watch?v=Xplc4f8pqlA
24,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 12: Wave Motion in Two-Layer Fluids & Worked Examples,Mod-20 Lec-24 Capillary Gravity Waves,https://www.youtube.com/watch?v=fbb-a7A7L20
25,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 12: Wave Motion in Two-Layer Fluids & Worked Examples,Mod-21 Lec-25 Linearised Long Wave Equation,https://www.youtube.com/watch?v=9DYkFUIxEZE
26,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 12: Wave Motion in Two-Layer Fluids & Worked Examples,Mod-21 Lec-26 Linearised Long Wave Equation (Contd.),https://www.youtube.com/watch?v=JqQXGI9MOw8
27,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 13: Gravity Wave Transformation and Energy Rotation,Mod-22 Lec-27 Wave motion in two layer fluids,https://www.youtube.com/watch?v=kRwDTzTwCIc
28,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 13: Gravity Wave Transformation and Energy Rotation,Mod-23 Lec-28 Worked Examples on Wave Motion,https://www.youtube.com/watch?v=TT3ze-1drCg
29,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 13: Gravity Wave Transformation and Energy Rotation,Mod-23 Lec-29 Worked Examples on Wave Motion (Contd.),https://www.youtube.com/watch?v=YfeXKtWTbTc
30,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 14: Navier-Stokes Equation & Analysis of Basic Flow Problems,Mod-24 Lec-30 Gravity wave transformation and energy rotation,https://www.youtube.com/watch?v=w1GKZZbaVPE
31,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 14: Navier-Stokes Equation & Analysis of Basic Flow Problems,Mod-24 Lec-31 Gravity wave transformation and energy rotation (Contd.),https://www.youtube.com/watch?v=dOhMQZfGfdI
32,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 15: Unsteady Unidirectional Flows,Mod-24 Lec-32 Gravity wave transformation and energy rotation (Contd.),https://www.youtube.com/watch?v=QngJfD9CVoo
33,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 15: Unsteady Unidirectional Flows,Mod-25 Lec-33 Navier - Stokes equation of motion,https://www.youtube.com/watch?v=um4r2Uohjmg
34,Marine Engineering,Ocean - Marine Hydrodynamics,,12th,English/Hindi,Module 16: Introduction to Boundary Layer Theory & Solution Methods,Mod-26 Lec-34 Analysis of Basic Flow Problems,https://www.youtube.com/watch?v=NSojNQpdpog
