S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marine Engineering,Ocean Engineering - Advanced Marine Structures,75hrs 3min,12th,English/Hindi,Module 1: Introduction and Scope | Fixed Type Structures,Mod-01 Lec-01 Introduction and Scope,https://www.youtube.com/watch?v=pyvR3uN1nRQ
2,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 1: Introduction and Scope | Fixed Type Structures,Mod-01 Lec-02 Fixed type structures,https://www.youtube.com/watch?v=7p2biEo3TB8
3,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 1: Introduction and Scope | Fixed Type Structures,Mod-01 Lec-03 Compliant type structures,https://www.youtube.com/watch?v=I8OIrdFefWo
4,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 1: Introduction and Scope | Fixed Type Structures,Mod-01 Lec-04 New generation marine structures,https://www.youtube.com/watch?v=fVMZ5lDfa9c
5,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 2: Environmental Loads I | Environmental Loads II,Mod-01 Lec-05 Environmental loads-I,https://www.youtube.com/watch?v=rXoAK4fuQu0
6,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 2: Environmental Loads I | Environmental Loads II,Mod-01 Lec-06 Environmental loads-II,https://www.youtube.com/watch?v=p7uiUboPzM8
7,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 2: Environmental Loads I | Environmental Loads II,Mod-01 Lec-07 Environmental loads-III,https://www.youtube.com/watch?v=1JIxSWrJcmU
8,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 2: Environmental Loads I | Environmental Loads II,Mod-01 Lec-08 Environmental loads-IV,https://www.youtube.com/watch?v=C8OmuTzwCbA
9,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 3: Other Loads I | Other Loads II,Mod-01 Lec-09 Other loads-I,https://www.youtube.com/watch?v=3fW5cgOtyuw
10,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 3: Other Loads I | Other Loads II,Mod-01 Lec-10 Other loads-II,https://www.youtube.com/watch?v=HcdSPFFJ-Ts
11,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 4: Ultimate Load Design Principles I | Ultimate Limit State I,Mod-01 Lec-11 Ultimate load design principles-I,https://www.youtube.com/watch?v=_5NfgakaRNU
12,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 4: Ultimate Load Design Principles I | Ultimate Limit State I,Mod-01 Lec-12 Ultimate Limit State-I,https://www.youtube.com/watch?v=kz4iUe_gAIw
13,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 5: Ultimate Limit State II | Ultimate Limit State III,Mod-01 Lec-13 Ultimate Limit State-II,https://www.youtube.com/watch?v=WxmGVdXTWlE
14,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 5: Ultimate Limit State II | Ultimate Limit State III,Mod-01 Lec-14 Ultimate Limit State-III,https://www.youtube.com/watch?v=UexSV-vDS98
15,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 6: Partial Safety Factor | Plastic Design I,Mod-01 Lec-15 Partial safety factor,https://www.youtube.com/watch?v=-HZa7sREgC0
16,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 6: Partial Safety Factor | Plastic Design I,Mod-01 Lec-16 Plastic design-I,https://www.youtube.com/watch?v=XGxOn7E11AE
17,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 7: Plastic Design II | Plastic Design III,Mod-01 Lec-17 Plastic design-II,https://www.youtube.com/watch?v=iv7QAC87s90
18,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 7: Plastic Design II | Plastic Design III,Mod-01 Lec-18 Plastic design-III,https://www.youtube.com/watch?v=3IBvtHq-d4Q
19,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 8: Plastic Design IV - Example Problems I | Plastic Analysis - Example Problems II,Mod-01 Lec-19 Plastic design-IV- Example problems-I,https://www.youtube.com/watch?v=88z9AoszWGM
20,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 8: Plastic Design IV - Example Problems I | Plastic Analysis - Example Problems II,Mod-01 Lec-20 Plastic analysis- Example problems-II,https://www.youtube.com/watch?v=rJQFhCfckF8
21,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 9: Plastic Analysis - Example Problems III | Theories of Failure I,Mod-01 Lec-21 Plastic analysis- Example problems-III,https://www.youtube.com/watch?v=mnspeLSfqhs
22,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 9: Plastic Analysis - Example Problems III | Theories of Failure I,Mod-01 Lec-22 Theories of failure-I,https://www.youtube.com/watch?v=oEGtKFfdDiU
23,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 10: Theories of Failure II | Theories of Failure III,Mod-01 Lec-23 Theories of failure-II,https://www.youtube.com/watch?v=o02z7jpT8xE
24,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 10: Theories of Failure II | Theories of Failure III,Mod-01 Lec-24 Theories of failure-III,https://www.youtube.com/watch?v=96R25DudLSI
25,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 11: Theories of Failure IV | Shear Centre I,Mod-01 Lec-25 Theories of failure-IV,https://www.youtube.com/watch?v=8HkRnICa9yU
26,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 11: Theories of Failure IV | Shear Centre I,Mod-01 Lec-26 Shear centre-I,https://www.youtube.com/watch?v=3Hg0OWZGUbE
27,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 12: Shear Centre II - Examples | Plastic Capacity of Sections under Combined Loads I,Mod-01 Lec-27 Shear centre-II- Examples,https://www.youtube.com/watch?v=SopdnT0k53g
28,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 12: Shear Centre II - Examples | Plastic Capacity of Sections under Combined Loads I,Mod-01 Lec-28 Plastic capacity of sections under combined loads-I,https://www.youtube.com/watch?v=MyxQN-f855I
29,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 13: Plastic Capacity of Sections under Combined Loads II | Impact Analysis - Fundamentals I,Mod-01 Lec-29 Plastic capacity of sections under combined loads-II,https://www.youtube.com/watch?v=uzhsBNZrnp4
30,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 13: Plastic Capacity of Sections under Combined Loads II | Impact Analysis - Fundamentals I,Mod-01 Lec-30 Impact analysis- fundamentals-I,https://www.youtube.com/watch?v=vlcrTUy5Jgk
31,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 14: Impact Analysis - Fundamentals II | Ultimate Capacity of Tubular Joints,Mod-01 Lec-31 Impact analysis- fundamentals-II,https://www.youtube.com/watch?v=sUU06eUrzBQ
32,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 14: Impact Analysis - Fundamentals II | Ultimate Capacity of Tubular Joints,Mod-01 Lec-32 Ultimate capacity of tubular joints,https://www.youtube.com/watch?v=MjBf5Jn-7Y0
33,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 15: Fluid Structure Interaction I | Fluid Structure Interaction II,Mod-02 Lec-01 Fluid structure interaction-I,https://www.youtube.com/watch?v=mZtI08OxfOM
34,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 15: Fluid Structure Interaction I | Fluid Structure Interaction II,Mod-02 Lec-02 Fluid structure interaction-II,https://www.youtube.com/watch?v=HrGvoZ4fiN0
35,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 16: Fluid Induced Vibration I | Fluid Induced Vibration II,Mod-02 Lec-03 Fluid induced vibration-I,https://www.youtube.com/watch?v=98Rk3DFfZ5s
36,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 16: Fluid Induced Vibration I | Fluid Induced Vibration II,Mod-02 Lec-04 Fluid induced vibration-II,https://www.youtube.com/watch?v=X6UlyIwyp2I
37,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 17: Flow through Perforated Members I | Flow through Perforated Members - Numerical Studies II,Mod-02 Lec-05 Flow through perforated members-I,https://www.youtube.com/watch?v=FaFqDNKa9mM
38,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 17: Flow through Perforated Members I | Flow through Perforated Members - Numerical Studies II,Mod-02 Lec-06 Flow through perforated members- numerical studies-II,https://www.youtube.com/watch?v=b-VVSHCVhn0
39,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 18: Flow through Perforated Members III - Analytical Studies | Introduction to Reliability I,Mod-02 Lec-07 Flow through perforated members- III- Analytical studies,https://www.youtube.com/watch?v=Qc2vuoCXZ6M
40,Marine Engineering,Ocean Engineering - Advanced Marine Structures,,12th,English/Hindi,Module 18: Flow through Perforated Members III - Analytical Studies | Introduction to Reliability I,Mod-03 Lec-01 Introduction to Reliability I,https://www.youtube.com/watch?v=uutg8jKrL9w
