S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Integrated Marketing Communication,12hrs 11min,12th,English/Hindi,Module 1: Introduction to Integrated Marketing Communication,Integrated Marketing Communication,https://www.youtube.com/watch?v=iGZZqpytetE
2,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 1: Introduction to Integrated Marketing Communication,Lecture 01 : Introduction to Integrated Marketing Communication (IMC),https://www.youtube.com/watch?v=GyxdlocMSpY
3,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 1: Introduction to Integrated Marketing Communication,"Lecture 02 : Defining Marketing Communication, Marketing, and IMC",https://www.youtube.com/watch?v=O7ehYXaJF74
4,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 1: Introduction to Integrated Marketing Communication,Lecture 03 : Relationship with Marketing and IMC,https://www.youtube.com/watch?v=J41_4h5UisM
5,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 2: Defining Marketing Communication and IMC,Lecture 04 : Effective Marketing Communication,https://www.youtube.com/watch?v=-n3nzuPewAo
6,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 2: Defining Marketing Communication and IMC,Lecture 05 : Emerging trends in IMC,https://www.youtube.com/watch?v=tvBUg9T4R8I
7,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 2: Defining Marketing Communication and IMC,Lecture 06 : Emerging Trends in IMC  Part-II,https://www.youtube.com/watch?v=oBEALqAn-4U
8,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 3: Relationship with Marketing & Effective IMC,Lecture 07 : Design Thinking in IMC   Part – I,https://www.youtube.com/watch?v=P46Cr4LY49o
9,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 3: Relationship with Marketing & Effective IMC,Lecture 08 : Design Thinking in IMC   Part – II,https://www.youtube.com/watch?v=o__rpOh9W0I
10,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 3: Relationship with Marketing & Effective IMC,Lecture 9 : Effectiveness of Communication  Part - I,https://www.youtube.com/watch?v=CSZrKXAxUEs
11,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 4: Emerging Trends in IMC,Lecture 10 : Effectiveness of Communication  Part - II,https://www.youtube.com/watch?v=11VDNZn6Cb8
12,Marketing,Integrated Marketing Communication,,12th,English/Hindi,Module 4: Emerging Trends in IMC,Lecture 11 : Communication Process & Reflexivity in IMC,https://www.youtube.com/watch?v=iL-DS443E-A
