S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,IBO-02 || International Marketing Management,102hrs 11min,12th,English/Hindi,Module 1: Introduction to International Marketing,Unit -1 || International Marketing : Basic Concepts || IBO2,https://www.youtube.com/watch?v=RZEmdLcA7uk
2,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 1: Introduction to International Marketing,Unit-2 || International Marketing Orientation & Involvement,https://www.youtube.com/watch?v=QWj2-S6kG90
3,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 1: Introduction to International Marketing,Unit-3 || Analysis International Marketing Environment,https://www.youtube.com/watch?v=qb42GMPWcJA
4,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 1: Introduction to International Marketing,Unit-4 || International Market Segmentation,https://www.youtube.com/watch?v=CWfQBalfkVA
5,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 2: Entering Foreign Markets,Unit-5 || Foreign Market selection || IBO2 || ScoreMax,https://www.youtube.com/watch?v=j48tCDQ_kEw
6,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 2: Entering Foreign Markets,Unit-6 || International Marketing Entry Decisions,https://www.youtube.com/watch?v=YKxVIQLgW7U
7,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 2: Entering Foreign Markets,Unit-7 || International Product planning || IBO-2 || M.com,https://www.youtube.com/watch?v=q7WGGGTticY
8,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 3: International Pricing Strategies,"Unit-8 || International Branding, Packing & Other Decisions",https://www.youtube.com/watch?v=r6VJfnwenEw
9,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 3: International Pricing Strategies,Unit-9 || International Pricing || IBO2 || IGNOU,https://www.youtube.com/watch?v=XuYnzGQJwWs
10,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 3: International Pricing Strategies,Unit - 10 || International Distribution || IBO-2 || SCOREMAX || IGNOU,https://www.youtube.com/watch?v=A1bERNj4Q2E
11,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 4: International Advertising Campaigns,Unit-11 || International Marketing Communucation || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=L1YG_GEU3FM
12,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 4: International Advertising Campaigns,Unit-12 || International Advertising || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=zvR3RNrZCsI
13,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 4: International Advertising Campaigns,"Unit-13 || Personal Selling, Publicity & Sales Promotion || IBO-2 || Scoremax+",https://www.youtube.com/watch?v=tRJwZ8upcg4
14,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 5: Marketing Services Globally,"Unit-14 || International Marketing Planning, Organising & Control",https://www.youtube.com/watch?v=P4_dwP5WPIM
15,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 5: Marketing Services Globally,Unit-15 || International Marketing of Services,https://www.youtube.com/watch?v=ecjjgkgG_xY
16,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 5: Marketing Services Globally,Unit-16 || Emerging Trends & Issues In International Marketing || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=o2n_d0qpbf8
17,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 6: Data Collection for Global Insights,Unit-17 || Introduction To International Market Research || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=tQ2Nm-IbYcE
18,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 6: Data Collection for Global Insights,Unit-18 || Data Collection || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=Umd1oRILI9Y
19,Marketing,IBO-02 || International Marketing Management,,12th,English/Hindi,Module 6: Data Collection for Global Insights,Unit-19 || Data Analysis & Report Writing || IBO-2 || Scoremax+,https://www.youtube.com/watch?v=-8dFPITXaIc
