S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Marketing research and analysis,76hrs 23min,12th,English/Hindi,Module 1: Introduction to Marketing Research & Defining the Research Problem,Lecture 1-Introduction to Marketing Research,https://www.youtube.com/watch?v=ABLHV5Ce6TI
2,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 1: Introduction to Marketing Research & Defining the Research Problem,Lecture 2-Defining Research Problem,https://www.youtube.com/watch?v=93Rio-HOeWQ
3,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 2: Developing Research Approach & Design,Lecture 3-Developing Research Approach & Developing Research Design: Non- Conclusive,https://www.youtube.com/watch?v=Ink4ehYLmqw
4,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 2: Developing Research Approach & Design,Lecture 4- Research Design: Conclusive,https://www.youtube.com/watch?v=1Vi49F2q99o
5,Marketing,Marketing research and analysis,,12th,English/Hindi,"Module 3: Qualitative Research: Nature, Approaches, & Techniques",Lecture 5- Qualitative Research: Nature and Approaches,https://www.youtube.com/watch?v=XicAkp6TnNU
6,Marketing,Marketing research and analysis,,12th,English/Hindi,"Module 3: Qualitative Research: Nature, Approaches, & Techniques","Lecture 6-Qualitative Research: Depth Interview, Focus Group Discussion",https://www.youtube.com/watch?v=k2MEaNMmnLQ
7,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 4: Case Study & Descriptive Research Design,"Lecture 7- Projective Techniques, Case Study",https://www.youtube.com/watch?v=Wj2wCiOi1Cc
8,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 4: Case Study & Descriptive Research Design,"Lecture 8- Case Study, Descriptive Research Design & Research Errors",https://www.youtube.com/watch?v=6ap3uwrK9hY
9,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 5: Data Collection & Measurement,"Lecture 9- Primary & Secondary Data, Research Error",https://www.youtube.com/watch?v=uRPkZXAphxw
10,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 5: Data Collection & Measurement,Lecture 10- Measurement & Scaling: Comparative & Non-comparative Scaling,https://www.youtube.com/watch?v=GVmQpGn-Zuo
11,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 6: Scale Development & Questionnaire Design,Lecture 11- Scale Development Process,https://www.youtube.com/watch?v=oNcvvNv1dI4
12,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 6: Scale Development & Questionnaire Design,Lecture 12- Questionnaire & Form Design,https://www.youtube.com/watch?v=zYX8Ycm9vQE
13,Marketing,Marketing research and analysis,,12th,English/Hindi,Module 7: Causal Research & Experimental Design,Lecture 13- Causal Research & Types,https://www.youtube.com/watch?v=zEktj19rQik
