S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Product Management Courses,270hrs 7min,12th,English/Hindi,Module 1: Introduction to Product Management,Introduction to Product Management | What is Product Management ? | Great Learning,https://www.youtube.com/watch?v=ravLfnYuqmA
2,Marketing,Product Management Courses,,12th,English/Hindi,Module 1: Introduction to Product Management,Breaking into Product Management | What Is Product Management | Live Session | Great Learning,https://www.youtube.com/watch?v=4XGwAkA0N1k
3,Marketing,Product Management Courses,,12th,English/Hindi,Module 1: Introduction to Product Management,Product Management Tutorial for Beginners | Roadmunk Tutorial | Invensis Learning,https://www.youtube.com/watch?v=NsqyFcycBTw
4,Marketing,Product Management Courses,,12th,English/Hindi,Module 1: Introduction to Product Management,Session 1: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=7pgagr76VNY
5,Marketing,Product Management Courses,,12th,English/Hindi,Module 2: Getting Started in Product Management,Session 2: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=2DoEmtdeqB4
6,Marketing,Product Management Courses,,12th,English/Hindi,Module 2: Getting Started in Product Management,Master the Art of Product Management: Free Live Virtual Course by Pragmatic Leaders,https://www.youtube.com/watch?v=p5gSTNrAYMg
7,Marketing,Product Management Courses,,12th,English/Hindi,Module 2: Getting Started in Product Management,Session 4: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=h7ZCyigYVk0
8,Marketing,Product Management Courses,,12th,English/Hindi,Module 2: Getting Started in Product Management,Master the Art of Product Management | Live Course by Pragmatic Leaders,https://www.youtube.com/watch?v=dhJ_jmgXxoo
9,Marketing,Product Management Courses,,12th,English/Hindi,Module 3: Deep Dive into Specific Areas,Session 6: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=bQfxD6RAE-o
10,Marketing,Product Management Courses,,12th,English/Hindi,Module 3: Deep Dive into Specific Areas,Session 8: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=iXEV795pkNU
11,Marketing,Product Management Courses,,12th,English/Hindi,Module 3: Deep Dive into Specific Areas,Session 9: Free Live Virtual Product Management Course by Pragmatic Leaders,https://www.youtube.com/watch?v=SCPxAWO1TDc
12,Marketing,Product Management Courses,,12th,English/Hindi,Module 3: Deep Dive into Specific Areas,Crack the Product Management Code with Twitter's Pro Leader!,https://www.youtube.com/watch?v=9R2eFUr7Jd0
13,Marketing,Product Management Courses,,12th,English/Hindi,Module 4: Product Management in Action,How to get into product without MBA and Tech Background,https://www.youtube.com/watch?v=qnI0naVSjEw
14,Marketing,Product Management Courses,,12th,English/Hindi,Module 4: Product Management in Action,The Art of Product Management with Sachin Rekhi (ENG’05 W’05),https://www.youtube.com/watch?v=huTSPanUlQM
15,Marketing,Product Management Courses,,12th,English/Hindi,Module 4: Product Management in Action,The Business of Building Apps - App Product Management Course for Developers,https://www.youtube.com/watch?v=poLzjLt2yqU
16,Marketing,Product Management Courses,,12th,English/Hindi,Module 4: Product Management in Action,20 Years of Product Management in 25 Minutes by Dave Wascha,https://www.youtube.com/watch?v=i69U0lvi89c
17,Marketing,Product Management Courses,,12th,English/Hindi,Module 5: Skills for Product Managers,Basic tech skills for a Product Manager,https://www.youtube.com/watch?v=4nH7luM9LM0
18,Marketing,Product Management Courses,,12th,English/Hindi,Module 5: Skills for Product Managers,How to Succeed as a Non-Technical PM by Spotify's Product Owner,https://www.youtube.com/watch?v=8eev-eI0yFk
19,Marketing,Product Management Courses,,12th,English/Hindi,Module 5: Skills for Product Managers,Hardware vs. Software Product Management by Pandora Sr PM,https://www.youtube.com/watch?v=ZvPFtWWNyPA
20,Marketing,Product Management Courses,,12th,English/Hindi,Module 5: Skills for Product Managers,First 90 Days as a New Product Manager by former Flipkart PM,https://www.youtube.com/watch?v=GVNJc87nAfs
21,Marketing,Product Management Courses,,12th,English/Hindi,Module 6: Advanced Product Management,What is Product Management in Fintech by Metro Bank Lead PM,https://www.youtube.com/watch?v=gsdBBbvhz44
22,Marketing,Product Management Courses,,12th,English/Hindi,Module 6: Advanced Product Management,UX Design for Product Managers by Dan Olsen,https://www.youtube.com/watch?v=8LOGEecY1iE
23,Marketing,Product Management Courses,,12th,English/Hindi,Module 6: Advanced Product Management,Product Management Course Tutorial For Beginners | Product Management Training Online | @henryharvin,https://www.youtube.com/watch?v=1-VRM4Zzjlg
24,Marketing,Product Management Courses,,12th,English/Hindi,Module 6: Advanced Product Management,"What is Agile? | Agile Methodology | Agile Frameworks - Scrum, Kanban, Lean, XP, Crystal | Edureka",https://www.youtube.com/watch?v=WjwEh15M5Rw
