S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Product and Brand Management,10hrs 23min,12th,English/Hindi,Module 1: Introduction to Product Management,Product and Brand Management,https://www.youtube.com/watch?v=BRlzbDry6Ew
2,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 01: Introduction to Product & Brand Management,https://www.youtube.com/watch?v=0dX0g5XFm8g
3,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 02 : Defining Product,https://www.youtube.com/watch?v=KqXOf3kttTI
4,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 03 : Terminologies Associated with Product - 1,https://www.youtube.com/watch?v=8JwJzL5b1a4
5,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 04: Terminologies Associated with Product - 2,https://www.youtube.com/watch?v=j2xKXN1bYe0
6,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 05 : Terminologies Associated with Product - 3,https://www.youtube.com/watch?v=3i-ytZYmT9I
7,Marketing,Product and Brand Management,,12th,English/Hindi,Module 1: Introduction to Product Management,Lecture 06: Terminologies Associated with Product - 4,https://www.youtube.com/watch?v=sPMgL2uFc5s
8,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 07: Product Management & Concepts Associated with Product,https://www.youtube.com/watch?v=qorRhovej_o
9,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 08: Product Classification,https://www.youtube.com/watch?v=Pss66LYQYgM
10,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 09: Product Differentiation and its Elements - 1,https://www.youtube.com/watch?v=7p1y_nxmSt4
11,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 10: Product Differentiation and its Elements - 2,https://www.youtube.com/watch?v=TVN7-doOC5g
12,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 11: Product Positioning - 1,https://www.youtube.com/watch?v=7_HN3YDejeE
13,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 12: Product Positioning - 2,https://www.youtube.com/watch?v=4wqJ-tEl2pA
14,Marketing,Product and Brand Management,,12th,English/Hindi,Module 2: Product Differentiation and Positioning,Lecture 13: Product Life cycle -1,https://www.youtube.com/watch?v=wIWTCPm-vF4
15,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 14: Product Life Cycle - 2,https://www.youtube.com/watch?v=mg8KZ0Vs6mI
16,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 15: Product Life Cycle - 3,https://www.youtube.com/watch?v=bDZKsPYTkZo
17,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 16: Saddle Effect & Relationship of Product with Marketing Mix Elements,https://www.youtube.com/watch?v=wTOvLoaH_E4
18,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 17: Market and Product Planning- 1,https://www.youtube.com/watch?v=CSKbJbGjTIA
19,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 18: Market and Product Planning- 2,https://www.youtube.com/watch?v=cLLBrwA2eok
20,Marketing,Product and Brand Management,,12th,English/Hindi,Module 3: Product Life Cycle and Planning,Lecture 19: Product Strategy and Decisions- 1,https://www.youtube.com/watch?v=_ebb7oJkzkI
21,Marketing,Product and Brand Management,,12th,English/Hindi,Module 4: Product Portfolio and Strategy,Lecture 20: Product Strategy and Decisions- 2,https://www.youtube.com/watch?v=JuTHuQqiRnA
22,Marketing,Product and Brand Management,,12th,English/Hindi,Module 4: Product Portfolio and Strategy,Lecture 21: Product Decisions,https://www.youtube.com/watch?v=dWbTzUyalrM
23,Marketing,Product and Brand Management,,12th,English/Hindi,Module 4: Product Portfolio and Strategy,Lecture 22: Product Portfolio Management,https://www.youtube.com/watch?v=UTtrcuj0XjI
24,Marketing,Product and Brand Management,,12th,English/Hindi,Module 4: Product Portfolio and Strategy,Lecture 23: Product Category Management,https://www.youtube.com/watch?v=GhwUcDd7GQ0
25,Marketing,Product and Brand Management,,12th,English/Hindi,Module 4: Product Portfolio and Strategy,Lecture 24: Customer Analysis,https://www.youtube.com/watch?v=HSCfuG0KZaw
26,Marketing,Product and Brand Management,,12th,English/Hindi,Module 5: Product Pricing and Distribution,Lecture 25: Competitors Analysis,https://www.youtube.com/watch?v=qh62a2BzBGI
27,Marketing,Product and Brand Management,,12th,English/Hindi,Module 5: Product Pricing and Distribution,Lecture 26: Product Pricing,https://www.youtube.com/watch?v=obdqjcWFWyc
28,Marketing,Product and Brand Management,,12th,English/Hindi,Module 5: Product Pricing and Distribution,Lecture 27: Product Pricing and Packaging,https://www.youtube.com/watch?v=mqHdzaBsul4
29,Marketing,Product and Brand Management,,12th,English/Hindi,Module 6: Design Thinking and Innovation,Lecture 28: Product Distribution,https://www.youtube.com/watch?v=x9tFuGa7h58
30,Marketing,Product and Brand Management,,12th,English/Hindi,Module 6: Design Thinking and Innovation,Lecture 29: Design Thinking- 1,https://www.youtube.com/watch?v=nT5QTKC1Xpg
31,Marketing,Product and Brand Management,,12th,English/Hindi,Module 6: Design Thinking and Innovation,Lecture 30: Design Thinking- 2,https://www.youtube.com/watch?v=Ujdym971smQ
32,Marketing,Product and Brand Management,,12th,English/Hindi,Module 6: Design Thinking and Innovation,Lecture 31: Design Thinking – 3,https://www.youtube.com/watch?v=gnapUASIv9o
33,Marketing,Product and Brand Management,,12th,English/Hindi,Module 6: Design Thinking and Innovation,Lecture 32: Product Innovation -1,https://www.youtube.com/watch?v=jt7jGXC-Ol0
34,Marketing,Product and Brand Management,,12th,English/Hindi,Module 7: Introduction to Brand Management,Lecture 33: Product Innovation – 2,https://www.youtube.com/watch?v=aUrrNwFQVUA
35,Marketing,Product and Brand Management,,12th,English/Hindi,Module 7: Introduction to Brand Management,Lecture 34: New Product Development,https://www.youtube.com/watch?v=sWBkRd6dmdU
36,Marketing,Product and Brand Management,,12th,English/Hindi,Module 7: Introduction to Brand Management,"Lecture 35: Reflexivity, Insight, and Value Co-Creation",https://www.youtube.com/watch?v=2_b5EbO-XDo
37,Marketing,Product and Brand Management,,12th,English/Hindi,Module 8: Brand Equity and Positioning,Lecture 36: Brand Management,https://www.youtube.com/watch?v=MFshWmDd5IQ
