S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Retail Management,22hrs 8min,12th,English/Hindi,Module 1: Introduction to Retail Management,"Retail Management - Meaning, Examples, Factors, Nature, Scope, Functions, Importance, Process",https://www.youtube.com/watch?v=jr5z__omU3w
2,Marketing,Retail Management,,12th,English/Hindi,Module 1: Introduction to Retail Management,"Retail Management scope, scope of Retail Management, nature and scope retailing",https://www.youtube.com/watch?v=57moZbvR-yU
3,Marketing,Retail Management,,12th,English/Hindi,Module 1: Introduction to Retail Management,"Nature of retailing, nature of retail management, nature and scope of retailing",https://www.youtube.com/watch?v=K9ej2UJQAB0
4,Marketing,Retail Management,,12th,English/Hindi,Module 1: Introduction to Retail Management,"Importance of Retailing, importance of retail management, importance of retailing in hindi",https://www.youtube.com/watch?v=dpRBsJiOWaE
5,Marketing,Retail Management,,12th,English/Hindi,Module 2: Retail Formats and Growth,"Factors affecting retailing, factors influencing retailing, factors influencing retail management",https://www.youtube.com/watch?v=8BaaLxsWqlc
6,Marketing,Retail Management,,12th,English/Hindi,Module 2: Retail Formats and Growth,"Functions of retailing, functions of retail management, functions of retailing in hindi",https://www.youtube.com/watch?v=QMp0MFCcVTo
7,Marketing,Retail Management,,12th,English/Hindi,Module 2: Retail Formats and Growth,Characteristics of retailing | Characteristics of retail management,https://www.youtube.com/watch?v=K4Oi_kAPcR4
8,Marketing,Retail Management,,12th,English/Hindi,Module 3: Retail Management Concepts and Strategies,"Recent trends in retailing, Emerging trends in retail marketing, Modern trends in retailing",https://www.youtube.com/watch?v=fb8aWfSowQI
9,Marketing,Retail Management,,12th,English/Hindi,Module 3: Retail Management Concepts and Strategies,"Retailing is superior than other forms, retail, retailing, retail management ,retailing",https://www.youtube.com/watch?v=emlhs31SgNQ
10,Marketing,Retail Management,,12th,English/Hindi,Module 3: Retail Management Concepts and Strategies,"Retail formats, Types of Retailing Formats in Hindi - Retail Management",https://www.youtube.com/watch?v=ELogb63QesY
11,Marketing,Retail Management,,12th,English/Hindi,Module 4: Retail Operations and Technology,"Reasons for the growth of Indian retail sectors, Factors responsible for the growth of retailing",https://www.youtube.com/watch?v=UtL-amVHk9Q
12,Marketing,Retail Management,,12th,English/Hindi,Module 4: Retail Operations and Technology,"Retail Manager, retail manager skills, how to be a good retail manager, retail, manager",https://www.youtube.com/watch?v=Lrxz0T77k6o
13,Marketing,Retail Management,,12th,English/Hindi,Module 4: Retail Operations and Technology,"Retail Mix, retail mix in retail management, retail mix in hindi, 7ps retail mix",https://www.youtube.com/watch?v=oZHkgQzt6vA
14,Marketing,Retail Management,,12th,English/Hindi,Module 5: Retail Marketing and Customer Management,"Retail planning process, strategic planning, strategic retail planning process in hindi",https://www.youtube.com/watch?v=lOqH6mFq468
15,Marketing,Retail Management,,12th,English/Hindi,Module 5: Retail Marketing and Customer Management,"What is Retail Management in hindi,  What is retailing,  retail management",https://www.youtube.com/watch?v=1nmolATTxEk
16,Marketing,Retail Management,,12th,English/Hindi,Module 5: Retail Marketing and Customer Management,"Theories of Retailing, Theories of Retail Development, Theories of Retail Management in Hindi",https://www.youtube.com/watch?v=AUkEbmA7M1k
17,Marketing,Retail Management,,12th,English/Hindi,Module 6: Retail Trends and Challenges,"Organised and Unorganised retailing, Organize and Unorganize retail",https://www.youtube.com/watch?v=j7V8mFzekH0
18,Marketing,Retail Management,,12th,English/Hindi,Module 6: Retail Trends and Challenges,"Retail life cycle, retail life cycle theory, retail life cycle in hindi, retail management",https://www.youtube.com/watch?v=hDJjyWqfgY8
19,Marketing,Retail Management,,12th,English/Hindi,Module 6: Retail Trends and Challenges,"Wheels of retailing, wheels of retailing theory, what is retailing wheels",https://www.youtube.com/watch?v=Iw1cHBu7Pgw
20,Marketing,Retail Management,,12th,English/Hindi,Module 7: Specialized Retailing,"Retailers vs Wholesaler , Difference between Retailers and Wholesaler,  Retail Management",https://www.youtube.com/watch?v=3zrHigh4jwM
21,Marketing,Retail Management,,12th,English/Hindi,Module 7: Specialized Retailing,"Retail Marketing Environment, retail environment in India, retail marketing environment",https://www.youtube.com/watch?v=pGeKDP0BHi4
22,Marketing,Retail Management,,12th,English/Hindi,Module 7: Specialized Retailing,"Retail planning, retail marketing planning, retail strategic planning process, retail management",https://www.youtube.com/watch?v=iEuaZHIMVQo
23,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"Retail Marketing Strategy, Retail Marketing Strategy in Hindi, Retail Marketing",https://www.youtube.com/watch?v=W52DvNF1Dkc
24,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"challenges faced by retail sector in india, challenges faced by retailers",https://www.youtube.com/watch?v=RcMCi6gKgAQ
25,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"Retail Marketing, Retail Marketing in hindi, retail marketing in tamil, retail marketing mix",https://www.youtube.com/watch?v=dez-2Er4MT4
26,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"Retail Promotion, Retail Promotion Mix, Retail Promotion Strategy, Retail Management",https://www.youtube.com/watch?v=JnnDhQCjVNA
27,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"Retail Information System, Retail Information System in Hindi, Retail Management Information System",https://www.youtube.com/watch?v=x2qZKhjg7UQ
28,Marketing,Retail Management,,12th,English/Hindi,Module 8: Retail Careers and Future Trends,"Retail Locations, Types of retail locations, retail location in Hindi, retail management",https://www.youtube.com/watch?v=oGZyo71BHlU
