S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Sales Management,25hrs 21min,12th,English/Hindi,Module 1: Introduction to Sales Management,Introduction to Sales Management | Sales Function | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=0vNvFRfgT78
2,Marketing,Sales Management,,12th,English/Hindi,Module 1: Introduction to Sales Management,Sales Organization | Relation between Sales and other Departments | Sales Management,https://www.youtube.com/watch?v=5Odi6hONLAY
3,Marketing,Sales Management,,12th,English/Hindi,Module 1: Introduction to Sales Management,Line Structure | Line and Staff Structure | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=yyzHRR547ug
4,Marketing,Sales Management,,12th,English/Hindi,Module 2: Salesmanship and Personal Selling,Functional Organisational Structure | Committee Structure | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=rFdC72-YIPQ
5,Marketing,Sales Management,,12th,English/Hindi,Module 2: Salesmanship and Personal Selling,Salesmanship | Meaning and Intro | Features and Importance of Salesmanship | Study at Home with me,https://www.youtube.com/watch?v=f10jqHaY0JI
6,Marketing,Sales Management,,12th,English/Hindi,Module 2: Salesmanship and Personal Selling,Introduction to Personal Selling | Nature and Objectives of Personal Selling | Study at Home with me,https://www.youtube.com/watch?v=qJrDFsGsQKA
7,Marketing,Sales Management,,12th,English/Hindi,Module 3: Distribution Network Management,Personal Selling Process | Advantages and Disadvantages of Personal Selling | Study at Home with me,https://www.youtube.com/watch?v=QxAjbiIpUS4
8,Marketing,Sales Management,,12th,English/Hindi,Module 3: Distribution Network Management,Types of Sales Executives | Qualities of Sales Executives | Sales Display Importance,https://www.youtube.com/watch?v=cz-dncFrpCQ
9,Marketing,Sales Management,,12th,English/Hindi,Module 3: Distribution Network Management,Theories of Personal Selling | AIDAS | Buying Problem | Situation | Behavioural,https://www.youtube.com/watch?v=wXGVlTqoa94
10,Marketing,Sales Management,,12th,English/Hindi,Module 4: Recruitment and Selection,Distribution Network Management | Middlemen | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=DkLOaIGlUEQ
11,Marketing,Sales Management,,12th,English/Hindi,Module 4: Recruitment and Selection,Distribution Channel Introduction | Types of Channel | Selection | Sales Management,https://www.youtube.com/watch?v=xQdhEkaoXoA
12,Marketing,Sales Management,,12th,English/Hindi,Module 4: Recruitment and Selection,Physical Distribution | Components of Physical Distribution | Sales Management,https://www.youtube.com/watch?v=ke5MHRRVR_Q
13,Marketing,Sales Management,,12th,English/Hindi,Module 4: Recruitment and Selection,Introduction to Recruitment and Selection | Selection Process | Sales Management,https://www.youtube.com/watch?v=GrEcSpm4RJM
14,Marketing,Sales Management,,12th,English/Hindi,Module 4: Recruitment and Selection,Recruitment vs Selection | Types of Interviews | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=bIqU1nsGpS8
