S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,Social Media Marketing Full Course Playlist in Hindi,16hrs 13min,12th,English/Hindi,Module 1: Introduction to Social Media Marketing,Social Media Marketing Course for Beginners | Learn Social Media Marketing Online Free #SocialMedia,https://www.youtube.com/watch?v=CbHrb-ULs4U
2,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 1: Introduction to Social Media Marketing,What is Social Media? | What is Social Media Marketing in Hindi | Social Media Marketing Full Course,https://www.youtube.com/watch?v=NAgR_8R32Rw
3,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 1: Introduction to Social Media Marketing,Types of Social Media Platforms | Different Types of Social Networking Website #socialmediaplatforms,https://www.youtube.com/watch?v=FdyeWQZBEcg
4,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 1: Introduction to Social Media Marketing,What is Mobile Social Media? | Social Media Marketing for Beginners in Hindi | #socialmediamarketing,https://www.youtube.com/watch?v=_ktYjfyIrQc
5,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 2: Content Marketing and Engagement,Blogging Course for Beginners | Blogging as Social Media Marketing Tool | Blogging Tutorial in Hindi,https://www.youtube.com/watch?v=LJSUwu4Csfs
6,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 2: Content Marketing and Engagement,What is Social Media Engagement? | How to Increase Social Media Engagement for Business #SocialMedia,https://www.youtube.com/watch?v=RJJCSoS7tB4
7,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 2: Content Marketing and Engagement,What is Target Audience | How to Find Your Target Audience on Social Media | #socialmediamarketing,https://www.youtube.com/watch?v=NKRpWjhY4CA
8,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 3: Social Media Platforms,Types of Content You can Share on Social Media | Content Types for Social Media #socialmediacontent,https://www.youtube.com/watch?v=qQapKgaJeJo
9,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 3: Social Media Platforms,World's Most Popular Social Media Marketing Platforms | Top Social Media Apps 2022 #socialmediaapps,https://www.youtube.com/watch?v=2XU6u7IxVq0
10,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 3: Social Media Platforms,What is Social Bookmarking and How to do SBM | Social Bookmarking Sites #socialbookmarking #SMM #SBM,https://www.youtube.com/watch?v=2MZOyEbPngk
11,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 4: Social Media for Business,Social Media Dos and Don'ts for Business | Do's and Don'ts in Using Social Media | #socialmedia,https://www.youtube.com/watch?v=uDvtJTUT6xM
12,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 4: Social Media for Business,What You Can Promote on Social Media | Social Media Par Kya Promote Kar Sakte Hain,https://www.youtube.com/watch?v=_00j8s4d4Yo
13,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 4: Social Media for Business,How to Promote Business on Social Media for FREE | Social Media Marketing Tips and Tricks #SMM,https://www.youtube.com/watch?v=z4ficyzWDJ4
14,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 5: Social Media Marketing Strategies,How to do Branding on Social Media | How to use Social Media for Branding | #socialmediabranding,https://www.youtube.com/watch?v=g28WWjbCN98
15,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 5: Social Media Marketing Strategies,How to Measure ROI from Social Media | Ways to Calculate Return On Investment from Social Media #ROI,https://www.youtube.com/watch?v=P8CKvyDrlQg
16,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 5: Social Media Marketing Strategies,How to use Social Media for Relationship Building | Social Media and Relationships | #hiteshgupta,https://www.youtube.com/watch?v=iCehtEw0iPE
17,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 6: Advanced Social Media Marketing Techniques,How to do Marketing Online FREE | FREE Marketing Ideas for Small Business | #marketingideas,https://www.youtube.com/watch?v=BK7BFPenmlA
18,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 6: Advanced Social Media Marketing Techniques,SEO and Social Media | Benefits of Social Media in SEO | Social Media Marketing Course in Hindi,https://www.youtube.com/watch?v=ocdNXnYXHRc
19,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 6: Advanced Social Media Marketing Techniques,Social Media Automation Explained in Hindi | Social Media Automation Tools | #socialmediaautomation,https://www.youtube.com/watch?v=ePczpDfQGm0
20,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 6: Advanced Social Media Marketing Techniques,Best Social Media Tools 2022 | FREE Tools for Social Media Marketing | #socialmediamarketingtools,https://www.youtube.com/watch?v=iom2J-JK71A
21,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 7: Social Media Marketing Tools and Resources,Never Do Theses 7 Social Media Marketing Mistakes | Tips for Social Media Marketing 2022 | #smm,https://www.youtube.com/watch?v=2rahc2wrqto
22,Marketing,Social Media Marketing Full Course Playlist in Hindi,,12th,English/Hindi,Module 7: Social Media Marketing Tools and Resources,Social Media Strategy 2022 | How to make a Social Media Strategy Plan | #socialmediastrategy,https://www.youtube.com/watch?v=8NIwk57Zr5o
