S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,22hrs 14min,12th,English/Hindi,Module 1: Welcome to eCommerce,Welcome to Ecommerce Unlocked: Your Free Ecommerce Marketing Course,https://www.youtube.com/watch?v=qTLffZkxnT0
2,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 1: Welcome to eCommerce,How To Leverage The Top Retailers In The World - Module 1 - Part 2 - eCommerce Unlocked,https://www.youtube.com/watch?v=OpRn6sEjL1A
3,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 1: Welcome to eCommerce,22+ Marketing Channels For eCommerce  - Module 1 - Part 3 - eCommerce Unlocked,https://www.youtube.com/watch?v=XaoACB6dRx0
4,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 2: Doubling Sales & Google Ranking,Double Your eCommerce Sales With A Few Simple Tweaks - Module 2 - Part 1 - eCommerce Unlocked,https://www.youtube.com/watch?v=KE12TB3U0qc
5,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 2: Doubling Sales & Google Ranking,Ranking Your eCommerce Store On Google - Module 2 - Part 2 - eCommerce Unlocked,https://www.youtube.com/watch?v=8kozMQHR_bA
6,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 2: Doubling Sales & Google Ranking,Content Promotion For eCommerce - Module 2 - Part 3 - eCommerce Unlocked,https://www.youtube.com/watch?v=5lyrhobB91g
7,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 3: Increasing Revenue with Amazon,How To Increase Your eCommerce Revenue With Amazon - Module 3 - Part 1 - eCommerce Unlocked,https://www.youtube.com/watch?v=k9tqQW4FqlM
8,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 3: Increasing Revenue with Amazon,"Marketing on Etsy, Walmart, eBay & Facebook Commerce - Module 3 - Part 2 - eCommerce Unlocked",https://www.youtube.com/watch?v=hNTezOCVWNQ
9,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 3: Increasing Revenue with Amazon,B2B VS B2C eCommerce Marketing - Module 3 - Part 3 - eCommerce Unlocked,https://www.youtube.com/watch?v=4G9o-aQqjSE
10,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 4: Shopping/Product Campaigns,Skyrocket your eCommerce with Shopping/Product Campaigns - Module 4 - Part 1 - eCommerce Unlocked,https://www.youtube.com/watch?v=eoCSHaLawmI
11,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 4: Shopping/Product Campaigns,"How To Build Paid Campaigns On YouTube, Etsy & Instagram - Module 4 - Part 2 - eCommerce Unlocked",https://www.youtube.com/watch?v=NOUG_wCgrEI
12,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 4: Shopping/Product Campaigns,21 eCommerce Case Studies - Module 4 - Part 3 - eCommerce Unlocked,https://www.youtube.com/watch?v=u3UjgzlkTzg
13,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 5: Quick Hacks for Paying Customers - Interview with Tai Lopez,Quick Hacks to get Paying Customers - Interview with Tai Lopez,https://www.youtube.com/watch?v=FVlztc_ewbc
14,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 6: 4 eCommerce SEO Techniques for Beginners,4 eCommerce SEO Techniques for Beginners (Ranking Your Products and Getting FREE Google Traffic),https://www.youtube.com/watch?v=FFWg6Dzw--g
15,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 7: 7 Ecommerce Marketing Secrets From Big Brands,7 Ecommerce Marketing Secrets You Can Learn From Big Brands,https://www.youtube.com/watch?v=c_rSzi5RwtU
16,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 8: Sales Advice When Customers Can't Afford Your Product,What You Should Do When People Have Money And Can’t Afford Your Product | Sales Advice,https://www.youtube.com/watch?v=d-IieuMzknk
17,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 9: Turning a Boring Product Into a Marketing Success,How I Turn a Boring Product Into a Marketing Success Behind My Most Successful Campaigns,https://www.youtube.com/watch?v=-H-XPd4E5Xc
18,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 10: The Best Sales Funnel for e-Commerce,The Best Sales Funnel for e-Commerce,https://www.youtube.com/watch?v=nIbHYwemlD0
19,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 11: Converting Leads Into Sales With CRM Features,How to Convert Your Leads Into Sales With These 5 CRM Features,https://www.youtube.com/watch?v=TfQQMJ9b_8E
20,Marketing,eCommerce Unlocked - Neil Patel's Free eCommerce Marketing Course,,12th,English/Hindi,Module 12: Ad Hack For Instant Sales,Here’s an Ad Hack That Will Produce Instant Sales,https://www.youtube.com/watch?v=lOeJWoj60qQ
