S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Abstract Algebra Lectures,54hrs 0min,12th,English/Hindi,Module 1: Introduction to Groups,"Group Theory | Semi-Group , Monoid | Abelian Group | Discrete Mathematics",https://www.youtube.com/watch?v=ihQyZ7bJcRE
2,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 1: Introduction to Groups,Group Theory | Examples Of Group & Abelian Group | Discrete Mathematics,https://www.youtube.com/watch?v=BnE_MJaU8BQ
3,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 1: Introduction to Groups,Group Theory | Addition modulo and Multiplication modulo | Discrete Mathematics,https://www.youtube.com/watch?v=BfP6gejiYbA
4,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 1: Introduction to Groups,Group Theory | Cyclic Group | Generator Of Cyclic Group | Discrete Mathematics,https://www.youtube.com/watch?v=yDQhErltWUg
5,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 2: Group Examples and Types,Group Theory | Cyclic Group | Properties Of Cyclic Group | Discrete Mathematics,https://www.youtube.com/watch?v=XMzDlaNad0M
6,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 2: Group Examples and Types,Group Theory | Cosets | Cosets Examples | Abstract Algebra,https://www.youtube.com/watch?v=vBE9Mj0spgU
7,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 2: Group Examples and Types,Group Theory | Cosets | Lagrange Theorem Group Theory | Abstract Algebra,https://www.youtube.com/watch?v=zCTOQlHbxKE
8,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 3: Cyclic Groups,Group Theory | Normal Subgroup | Simple Group | Invariant Subgroup | Abstract Algebra,https://www.youtube.com/watch?v=MgRfQkeI7Vo
9,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 3: Cyclic Groups,Group Theory | Quotient Group | Quotient Group Examples | Abstract Algebra,https://www.youtube.com/watch?v=9lxb6Uyk3HM
10,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 3: Cyclic Groups,Group Theory | Quotient Group | Properties Of Quotient Group | Abstract Algebra,https://www.youtube.com/watch?v=3NqnGSuzmgY
11,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 4: Cosets and Lagrange's Theorem,Group Theory | Homomorphism | Homomorphism Examples | Abstract Algebra,https://www.youtube.com/watch?v=-h3GsWp6-n0
12,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 4: Cosets and Lagrange's Theorem,Group Theory | Homomorphism | Kernel Of Homomorphism | Abstract Algebra,https://www.youtube.com/watch?v=KWdLkQLNFys
13,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 4: Cosets and Lagrange's Theorem,Group Theory | Homomorphism | Fundamental Theorem Of Homomorphism | Proof,https://www.youtube.com/watch?v=qTb1-KiGTR0
14,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 5: Normal Subgroups and Quotient Groups,Group Theory | Isomorphism | Examples of Isomorphism,https://www.youtube.com/watch?v=R_Pu-H_aRvs
15,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 5: Normal Subgroups and Quotient Groups,Group Theory | Isomorphism | Isomorphism Theorem | Cayley's Theorem,https://www.youtube.com/watch?v=MzS9cwY3aYc
16,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 5: Normal Subgroups and Quotient Groups,Group Theory | Automorphism | Automorphism Examples & Theorems | Abstract Algebra,https://www.youtube.com/watch?v=7vLOu5qttMU
17,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 6: Homomorphisms,Ring Theory | Commutative Ring | Ring With Unity | Definition/Examples/Properties,https://www.youtube.com/watch?v=BVf5FFIbaaQ
18,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 6: Homomorphisms,Ring Theory | Zero Divisors | Boolean Ring | Cancellation Law / Example / Definitions,https://www.youtube.com/watch?v=fth0CVIUuSg
19,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 6: Homomorphisms,Ring Theory | Integral Domain | Integral Domain Examples | Theorems / Definitions,https://www.youtube.com/watch?v=HDT7nduZEqw
20,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 7: Isomorphisms,Field Theory | Definition & Example Of Field | Unit Element in Ring | Abstract Algebra,https://www.youtube.com/watch?v=Nxckze-DKwU
21,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 7: Isomorphisms,Ring Theory | Finite Integral Domain is Field | Skew Field | Characteristic Of Ring,https://www.youtube.com/watch?v=cvIHwYLB2xA
22,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 7: Isomorphisms,"Ring Theory | Examples Of Ring, Integral  Domain & Field | Abstract Algebra",https://www.youtube.com/watch?v=TZKGrii7DNs
23,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 8: Automorphisms,Ring Theory | Subring | Theorems & Examples Of Subring | Abstract Algebra,https://www.youtube.com/watch?v=eyb5csJzmYg
24,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 8: Automorphisms,Ring Theory | Subfield | Prime Field  | Theorems & Examples Of Subfield  | Abstract Algebra,https://www.youtube.com/watch?v=dX-LxwYVLkc
25,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 9: Introduction to Rings,Ideals Of Ring | Ring Theory | Simple Ring | Examples | Abstract Algebra,https://www.youtube.com/watch?v=e3riEvoIF6w
26,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 9: Introduction to Rings,Ideals Of Ring | Ring Theory | Simple Ring | Theorems | Abstract Algebra,https://www.youtube.com/watch?v=Ea7XvEa_OEs
27,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 9: Introduction to Rings,Group Theory | Permutation Group | Even & Odd Permutation | Order Of Permutation,https://www.youtube.com/watch?v=N2vt4Mtj7Vc
28,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 10: Special Types of Rings,Group Theory | Symmetric Group S3 & S4 | Alternating Group A3 & A4 | Order Of Element,https://www.youtube.com/watch?v=p-PN3rRaPWM
29,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 10: Special Types of Rings,Rank Of Matrix | How to find Rank of Matrix | MATRICES | Linear Algebra,https://www.youtube.com/watch?v=ccaHV-ukK2o
30,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 10: Special Types of Rings,System Of Linear Equations | Non Homogeneous Equation | Matrices,https://www.youtube.com/watch?v=iwkFNEWqzgc
31,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 11: Integral Domains and Fields,System Of Linear Equations | Homogeneous Equation | Matrices,https://www.youtube.com/watch?v=7a9Yawt1O50
32,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 11: Integral Domains and Fields,Eigenvalues and Eigenvectors | Properties and Important Result | Matrices,https://www.youtube.com/watch?v=1wjXVdwzgX8
33,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 11: Integral Domains and Fields,Eigenvalues and Eigenvectors | Eigen Values Examples  |  Eigen Vectors  Examples,https://www.youtube.com/watch?v=GICp5jmoIg0
34,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 12: Subrings and Subfields,Diagonalization of Matrix | Algebraic Multiplicity and Geometric Multiplicity | Matrices,https://www.youtube.com/watch?v=THONvuviGkc
35,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 12: Subrings and Subfields,"Diagonalization | Eigenvalues, Eigenvectors with Concept of Diagonalization  | Matrices",https://www.youtube.com/watch?v=DtNbBPfDoL8
36,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 12: Subrings and Subfields,Assignment Problem | Hungarian Method | Example of Assignment Problem,https://www.youtube.com/watch?v=pnJUzNFn3CA
37,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 13: Ideals,Group Theory | Normalizer of Element -  Normalizer of Subgroup | Concepts and Example,https://www.youtube.com/watch?v=L0N7HbOS_0I
38,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 13: Ideals,Group Theory | Class Equation - Sn & Dn | Class Equation Proof,https://www.youtube.com/watch?v=Lv9o00rrQtM
39,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 13: Ideals,Group Theory | Sylow Theorem | Sylow First Theorem - Proof and Example,https://www.youtube.com/watch?v=mt7OCbFyIs0
40,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 14: Permutation Groups,Group Theory | Special Properties Of Groups of Order 1 to 5,https://www.youtube.com/watch?v=8Er2jyMEQMQ
41,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 14: Permutation Groups,Dihedral Group | Important Concepts Of Dihedral Group | Group Theory,https://www.youtube.com/watch?v=wh1D4LWmvvg
42,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 14: Permutation Groups,Group Theory | Special Properties Of Groups Of Order 6 To 7 - Concepts and Example By GP Sir,https://www.youtube.com/watch?v=qFTG4l2Jy1A
43,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 15: Symmetric and Alternating Groups,Dihedral Group | Important Concepts Of Dihedral Group | Group Theory,https://www.youtube.com/watch?v=nAxBElIWjcA
44,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 15: Symmetric and Alternating Groups,Group Theory | Special Properties Of Groups Of Order 8 - Concepts and Example By GP Sir,https://www.youtube.com/watch?v=iik-NKDjww4
45,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 16: Matrix Rank and Systems of Linear Equations,Group Theory | Sylow Second Theorem | Sylow 2nd Theorem - Concept and Example,https://www.youtube.com/watch?v=1N9-Rmvq3kI
46,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 16: Matrix Rank and Systems of Linear Equations,Group Theory | Special Properties Of Groups Of Order 9 To 10 - Concepts and Example By GP Sir,https://www.youtube.com/watch?v=nXvPOw4dYW4
47,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 17: Eigenvalues and Eigenvectors,Group Theory | Sylow Third Theorem | Sylow 3rd Theorem - Concept and Example,https://www.youtube.com/watch?v=QhqqjWqF8B4
48,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 17: Eigenvalues and Eigenvectors,Inner Product | Inner Product Space - Concept & Properties of Inner Product | Liner Algebra,https://www.youtube.com/watch?v=2e03K_056t0
49,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 18: Diagonalization,Inner Product Space | Normed Linear Space - Concepts & Example By @gajendrapurohit,https://www.youtube.com/watch?v=8TBtoF8Ma8A
50,Mathematics,Abstract Algebra Lectures,,12th,English/Hindi,Module 18: Diagonalization,ORTHOGONAL Vectors | Orthonormal Basis - Concept & Properties of Inner Product | Liner Algebra,https://www.youtube.com/watch?v=x6enM9dtOH8
