S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Design And Analysis Of Experiments,105hrs 19min,12th,English/Hindi,Module 1: Introduction to Design of Experiments,Lecture 1,https://www.youtube.com/watch?v=IEUTRhyoHNc
2,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 1: Introduction to Design of Experiments,Lecture 2,https://www.youtube.com/watch?v=u2doEvzb-U0
3,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 1: Introduction to Design of Experiments,Lecture 3,https://www.youtube.com/watch?v=FG0kLXRJSsM
4,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 1: Introduction to Design of Experiments,Lecture 4,https://www.youtube.com/watch?v=AeClFX8P5j4
5,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 2: One Factor Experiments,Lecture 5,https://www.youtube.com/watch?v=4mUwA7p1TgE
6,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 2: One Factor Experiments,Lecture 6,https://www.youtube.com/watch?v=umLNJ46-J9M
7,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 2: One Factor Experiments,Lecture 7,https://www.youtube.com/watch?v=U4mgKYoS5yg
8,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 2: One Factor Experiments,Lecture 8,https://www.youtube.com/watch?v=0-Tscg5QGMs
9,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 3: Analysis of Variance,Lecture 9,https://www.youtube.com/watch?v=mQgdKs8Y9AE
10,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 3: Analysis of Variance,Lecture 10,https://www.youtube.com/watch?v=VqdrsokCPrI
11,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 3: Analysis of Variance,Lecture 11,https://www.youtube.com/watch?v=1XFqOrMieQM
12,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 3: Analysis of Variance,Lecture 12,https://www.youtube.com/watch?v=lvvzJak8Wis
13,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 4: Randomized Block Design,Lecture 13,https://www.youtube.com/watch?v=UNbG0j_Wz4k
14,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 4: Randomized Block Design,Lecture 14,https://www.youtube.com/watch?v=wrJptWVd5jc
15,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 4: Randomized Block Design,Lecture 15,https://www.youtube.com/watch?v=n9AFbTI8V6E
16,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 5: Factorial Experiments,Lecture 16,https://www.youtube.com/watch?v=yjCA9C2T0jo
17,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 5: Factorial Experiments,Lecture 17,https://www.youtube.com/watch?v=nvDeoh5jNLI
18,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 5: Factorial Experiments,Lecture 18,https://www.youtube.com/watch?v=5fNW14OA52c
19,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 5: Factorial Experiments,Lecture 19,https://www.youtube.com/watch?v=m2Mcoqhc_TM
20,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 6: Statistical Analysis of Factorial Experiments,Lecture 20,https://www.youtube.com/watch?v=6QvSREiBPTE
21,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 6: Statistical Analysis of Factorial Experiments,Lecture 21,https://www.youtube.com/watch?v=G5mAhDIdq2Q
22,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 6: Statistical Analysis of Factorial Experiments,Lecture 22,https://www.youtube.com/watch?v=5EurPtTXW7k
23,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 7: Full Factorial Designs,Lecture 23,https://www.youtube.com/watch?v=QR_EHJrSFNE
24,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 7: Full Factorial Designs,Lecture 24,https://www.youtube.com/watch?v=eghJp8bHZgA
25,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 7: Full Factorial Designs,Lecture 25,https://www.youtube.com/watch?v=VPpq5YOGb9I
26,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 7: Full Factorial Designs,Lecture 26,https://www.youtube.com/watch?v=5_iCiBkPXd0
27,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 8: Two-Level Factorial Experiments,Lecture 27,https://www.youtube.com/watch?v=GhWZmIClb38
28,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 8: Two-Level Factorial Experiments,Lecture 28,https://www.youtube.com/watch?v=_TwYmZBcKsw
29,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 8: Two-Level Factorial Experiments,Lecture 29,https://www.youtube.com/watch?v=GphnSfRiVEQ
30,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 8: Two-Level Factorial Experiments,Lecture 30: Introduction to Factorial Experiments,https://www.youtube.com/watch?v=IZOY4rKNxg8
31,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 9: Blocking and Confounding in 2^k Factorial Design,Lecture 31 : Statistical Analysis of Factorial Experiments,https://www.youtube.com/watch?v=Gmj-UBiKlpY
32,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 9: Blocking and Confounding in 2^k Factorial Design,Lecture 32 : Estimation of parameters and model adequacy test for factorial experiement,https://www.youtube.com/watch?v=vOc_FzSTq6o
33,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 9: Blocking and Confounding in 2^k Factorial Design,Lecture 33 : Full_Factorial_Single_Replicate,https://www.youtube.com/watch?v=x61jxcObjT8
34,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 9: Blocking and Confounding in 2^k Factorial Design,Lecture 34 : General_Full_factorial_design,https://www.youtube.com/watch?v=_AGR9Lj7jNU
35,Statistics,Design And Analysis Of Experiments,,12th,English/Hindi,Module 10: Fractional Factorial Design,Lecture 35 : Blocking_Factorial_design,https://www.youtube.com/watch?v=o8OYs-HUVDk
