S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,53hrs 18min,12th,English/Hindi,Module 1: Introduction to Geometry,Geometry Introduction  | Quantitative Aptitude I CAT PREPARATION 2024,https://www.youtube.com/watch?v=rUI1bbCvk7E
2,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 1: Introduction to Geometry,Triangles 1 | CAT Preparation 2024 | Geometry | Quantitative Aptitude for CAT 2024,https://www.youtube.com/watch?v=25P2O9r3AfM
3,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 1: Introduction to Geometry,Triangles 2 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=8T1yLs03Y74
4,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 1: Introduction to Geometry,Triangles 3 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=uDGOgVvUrcc
5,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 2: Triangles - Part 4,Triangles 4 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=rfCcWNh3cjs
6,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 2: Triangles - Part 4,Triangles 5 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=8VwTpi1xHnc
7,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 2: Triangles - Part 4,Triangles 6 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=GAWnMfYzQKQ
8,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 2: Triangles - Part 4,CAT Preparation 2024 | Triangles 7 | Quantitative Aptitude,https://www.youtube.com/watch?v=wVc1sXfYSyI
9,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 3: Triangles - Part 8,Triangles 8 | CAT Preparation 2024 | Geometry Basic To Advance | Quantitative Aptitude for CAT 2024,https://www.youtube.com/watch?v=Q5IDYE6e4mo
10,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 3: Triangles - Part 8,Triangles 9 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=hKyCT4T4Q4M
11,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 3: Triangles - Part 8,Triangles 10 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=c_Abx1YkGbE
12,Mathematics,Geometry  | Quantitative Aptitude  | CAT Exam Preparation 2024,,12th,English/Hindi,Module 3: Triangles - Part 8,Triangles 11 | CAT Preparation 2024 | Geometry | Quantitative Aptitude,https://www.youtube.com/watch?v=GJu0L7KeXAg
