S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Introduction to Econometrics,19hrs 9min,12th,English/Hindi,Module 1: Introduction to Econometrics,Introduction to Econometrics,https://www.youtube.com/watch?v=z09hret40eI
2,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 1: Introduction to Econometrics,Introduction to econometrics and econometric analysis Part - 1,https://www.youtube.com/watch?v=VgwYmSuI5pM
3,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 2: Introduction to econometrics and econometric analysis,Introduction to econometrics and econometric analysis Part - 2,https://www.youtube.com/watch?v=RhaQSE1hfW8
4,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 2: Introduction to econometrics and econometric analysis,Different steps in econometric analysis Part - 1,https://www.youtube.com/watch?v=npzrXs6OzJA
5,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 3: Different steps in econometric analysis,Different steps in econometric analysis Part - 2,https://www.youtube.com/watch?v=Nj0bo2v4GgY
6,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 3: Different steps in econometric analysis,Desirable properties of the estimates of the population parameters Part - 1,https://www.youtube.com/watch?v=AXg5udp0WJg
7,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 4: Desirable properties of the estimates of the population parameters,Desirable properties of the estimates of the population parameters Part - 2,https://www.youtube.com/watch?v=4aNG0IFbeJE
8,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 4: Desirable properties of the estimates of the population parameters,Classical Linear Regression Model Part - 1,https://www.youtube.com/watch?v=hOBf11kdhJo
9,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 5: Classical Linear Regression Model,Classical Linear Regression Model Part - 2,https://www.youtube.com/watch?v=ZJay3y_68-Y
10,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 5: Classical Linear Regression Model,Classical Linear Regression Model Part - 3,https://www.youtube.com/watch?v=HL7bMXQnp7Q
11,Statistics,Introduction to Econometrics,,12th,English/Hindi,Module 5: Classical Linear Regression Model,Classical Linear Regression Model Part - 4,https://www.youtube.com/watch?v=IBDl-rWv9DQ
