S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Introduction to Statistical Computing - Statistics 321,22hrs 10min,12th,English/Hindi,Module 1: Getting Started with R,Welcome to Statistics 321,https://www.youtube.com/watch?v=RUAq9OQ8ZK4
2,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 1: Getting Started with R,What is R?,https://www.youtube.com/watch?v=Tryoze6Pfo0
3,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 1: Getting Started with R,Get R,https://www.youtube.com/watch?v=hrJT5Y8iT5A
4,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 1: Getting Started with R,Get RStudio,https://www.youtube.com/watch?v=ObQAs3-Xlvs
5,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Introduction to Using RStudio,https://www.youtube.com/watch?v=fi4f7J5RPpQ
6,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Basic Data Structures in R,https://www.youtube.com/watch?v=fNDICWm4zmA
7,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Mathematical Operations in R... Part 1,https://www.youtube.com/watch?v=0uXGlikIPX0
8,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Mathematical Operations In R... Part 2,https://www.youtube.com/watch?v=igrxg5wvA-0
9,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Mathematical Operations in R... Part 3,https://www.youtube.com/watch?v=V4L79XOxMpY
10,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Data Frames in R,https://www.youtube.com/watch?v=_aBPBawibZk
11,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 2: R Basics,Read a CSV into R,https://www.youtube.com/watch?v=FLYsSqAHDYo
12,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Read a TXT into R,https://www.youtube.com/watch?v=_iPdZlYe4Lk
13,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Read SPSS SAV data files into R,https://www.youtube.com/watch?v=G-hOmmtIf90
14,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Subsetting Data in R,https://www.youtube.com/watch?v=vpdBGG0YAlI
15,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Merge two dataframes in R ... Part 1,https://www.youtube.com/watch?v=wIsjzk77_qI
16,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Merging Dataframes in R... Part 2,https://www.youtube.com/watch?v=xpVjrMylf9Y
17,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Turn Wide Files to Long Files in R,https://www.youtube.com/watch?v=7j294A4dPlw
18,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 3: Data Manipulation in R,Convert Long Dataframes to Wide Dataframes in R,https://www.youtube.com/watch?v=PAjmYL0c1CM
19,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Exporting data from R,https://www.youtube.com/watch?v=ekbPsKjc7OQ
20,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Basic Dataframe Summaries in R,https://www.youtube.com/watch?v=AH6umbjaVNc
21,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Lists in R,https://www.youtube.com/watch?v=tZj1SnkGWLI
22,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Useful Items (Sequences) in R,https://www.youtube.com/watch?v=x7TmMG3y4XE
23,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Working with Text in R... Part 1,https://www.youtube.com/watch?v=Aj85ki8Tqsk
24,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Working with Text in R... part 2,https://www.youtube.com/watch?v=97qi_bwS3NQ
25,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Working with Text in R... Part 3,https://www.youtube.com/watch?v=UvRm4gwtXQ0
26,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Working with dates in R... Part 1,https://www.youtube.com/watch?v=g8dxjtD7AW8
27,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 4: Working with Data in R,Working with dates in R... Part 2,https://www.youtube.com/watch?v=OCLl7SMEdlE
28,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Working with dates in R... Part 3,https://www.youtube.com/watch?v=CkwJOgMIRpg
29,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Bar Plots in R... Part 1,https://www.youtube.com/watch?v=enxcIy7oajs
30,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Bar Plots in R... Part 2,https://www.youtube.com/watch?v=krfzWy3-f6o
31,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Bar Plots in R... Part 3,https://www.youtube.com/watch?v=lepQlHaESoM
32,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Histograms in R... Part 1,https://www.youtube.com/watch?v=s2gMSELjWcg
33,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Histograms in R... part 2,https://www.youtube.com/watch?v=1LUjFI-HrxE
34,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Histograms in R... Part 3,https://www.youtube.com/watch?v=L6IilhMFWHs
35,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Interpreting Histograms from R,https://www.youtube.com/watch?v=KkEdRWWThl8
36,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Stem and Leaf Plots in R,https://www.youtube.com/watch?v=GjSimgjUkII
37,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Box Plots in R... Part 1,https://www.youtube.com/watch?v=hqdi7d4SBx4
38,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Box Plots in R... Part 2,https://www.youtube.com/watch?v=qsTM0bDBlTs
39,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Box Plots in R... Part 3,https://www.youtube.com/watch?v=dnbjMcin3a0
40,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Box Plots in R... Part 4,https://www.youtube.com/watch?v=y3jWwZfP7Mo
41,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,ScatterPlots in R... Part 1,https://www.youtube.com/watch?v=1CnpcFla6VA
42,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,ScatterPlots in R... Part 2,https://www.youtube.com/watch?v=v4nb_EHQE_I
43,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Scatterplots in R... Part 3,https://www.youtube.com/watch?v=H4Uqo3VbcI0
44,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,ScatterPlot in R... Part 4,https://www.youtube.com/watch?v=bomNj2vZmwQ
45,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 5: Data Visualization in R - Part 1,Scatter Plots in R... Part 5,https://www.youtube.com/watch?v=RWFvssdVliA
46,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,ScatterPlots in R... part 6,https://www.youtube.com/watch?v=KThvns6HAmQ
47,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,Describing Data... Univariate,https://www.youtube.com/watch?v=lmKiX-wD2Wk
48,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,Describing Data... Apply Function,https://www.youtube.com/watch?v=Po1MygAAH2I
49,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,Describing Data... Tapply,https://www.youtube.com/watch?v=HqCRfG7Tbvk
50,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,Describing Data...  Graphical Understanding,https://www.youtube.com/watch?v=irpih-Bx18k
51,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 6: Descriptive Statistics in R,Describing Data in R... Multivariate Correlation,https://www.youtube.com/watch?v=QI1qYowES5c
52,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Describing Data... Plotting,https://www.youtube.com/watch?v=ibnZ5aGpuBQ
53,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Random Number Generation... Concepts,https://www.youtube.com/watch?v=RuOuleGz0YA
54,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Random Number Generation... Part 1,https://www.youtube.com/watch?v=3530wMxXXXw
55,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Random Number Generation... Part 2,https://www.youtube.com/watch?v=2xAK24HNspU
56,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Random Number Generation... Part 3,https://www.youtube.com/watch?v=AcVVpZviUI8
57,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Random Number Generation... Part 4.  For Loops!,https://www.youtube.com/watch?v=-efIZvVcMFs
58,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Central Limit Theorem in R... Part 1,https://www.youtube.com/watch?v=D4lZKh1N0ss
59,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 7: Random Number Generation & CLT,Central Limit Theorem in R... Part 2,https://www.youtube.com/watch?v=WlCRF_a06vA
60,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 8: Inference in R,Central Limit Theorem in R... Part 3,https://www.youtube.com/watch?v=nAEIZFVia8U
61,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 8: Inference in R,Pivotal Quantities and Hypothesis Tests,https://www.youtube.com/watch?v=zFBfs01zTnM
62,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 8: Inference in R,Hypothesis Tests on Proportions in R... Via Simulation,https://www.youtube.com/watch?v=JtJs1ejgDWI
63,Statistics,Introduction to Statistical Computing - Statistics 321,,12th,English/Hindi,Module 8: Inference in R,Confidence Intervals on the Mean in R... Via Simulation,https://www.youtube.com/watch?v=KcLIzviW2Xc
