S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Mathematical Modeling : Analysis and Applications,5hrs 17min,12th,English/Hindi,Module 1: Introduction to Mathematical Modeling and Analysis,Mathematical Modeling : Analysis and Applications,https://www.youtube.com/watch?v=ORTNjFdSbzY
2,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 1: Introduction to Mathematical Modeling and Analysis,Introduction to Mathematical Modeling,https://www.youtube.com/watch?v=VzlBEcs1fj4
3,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 1: Introduction to Mathematical Modeling and Analysis,Numerical Methods to Compute Eigen Values,https://www.youtube.com/watch?v=zm7Ufhh1UN4
4,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 1: Introduction to Mathematical Modeling and Analysis,Discrete Time Non-Linear Models in Population Dynamics - II,https://www.youtube.com/watch?v=EEw98_ZZFuQ
5,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 2: Continuous Time Single Species Models,Classifications of Bifurcation,https://www.youtube.com/watch?v=t8Ui4nhnWcI
6,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 2: Continuous Time Single Species Models,Introduction to Continuous Time Models,https://www.youtube.com/watch?v=yaGwCYQiOUg
7,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 2: Continuous Time Single Species Models,Continuous Time Single Species Models,https://www.youtube.com/watch?v=OLmfQZ1El88
8,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 3: Continuous Time Prey - Predator Model,Discrete Time Non - Linear Models in Population Dynamics - II,https://www.youtube.com/watch?v=3tcaAB5isFA
9,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 3: Continuous Time Prey - Predator Model,Qualitative Solution of Differential Equations - Phase Diagrams - II,https://www.youtube.com/watch?v=f33l_N7UkDQ
10,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 3: Continuous Time Prey - Predator Model,Qualitative Solution of Differential Equations - Phase Diagrams - I,https://www.youtube.com/watch?v=IhrOY64iMSU
11,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 4: Discrete Time Linear Models in Population Dynamics - I,Solution of First Order First Degree Differential Equations,https://www.youtube.com/watch?v=S4Xmb32s138
12,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 4: Discrete Time Linear Models in Population Dynamics - I,Discrete Time Linear Models in Population Dynamics - II,https://www.youtube.com/watch?v=JCXvcpKoZsw
13,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 4: Discrete Time Linear Models in Population Dynamics - I,Discrete Time Prey - Predator Model,https://www.youtube.com/watch?v=iQSRn3Kj9qM
14,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 5: Discrete Time Non-Linear Models in Population Dynamics - II,Continuous Time Lotka - Volterra Competition Model,https://www.youtube.com/watch?v=S1y1-G0wEEU
15,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 5: Discrete Time Non-Linear Models in Population Dynamics - II,Continuous Time Prey - Predator Model,https://www.youtube.com/watch?v=0iEi78JVKGo
16,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 5: Discrete Time Non-Linear Models in Population Dynamics - II,Continuous Time Models in Population Dynamics - I,https://www.youtube.com/watch?v=PyFeG74vAVs
17,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 6: Solution of First Order First Degree Differential Equations,Discrete Time Linear Age Structured Models,https://www.youtube.com/watch?v=G85VSG_NraQ
18,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 6: Solution of First Order First Degree Differential Equations,Continuous Time Models in Population Dynamics - II,https://www.youtube.com/watch?v=-b_t8JgbKPs
19,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 6: Solution of First Order First Degree Differential Equations,Stability and Linearization of System of Ordinary Differential Equations,https://www.youtube.com/watch?v=7nCrqtBpVK4
20,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 6: Solution of First Order First Degree Differential Equations,Analysis on Logistic Difference Equation,https://www.youtube.com/watch?v=Y3yByZK18TA
21,Mathematics,Mathematical Modeling : Analysis and Applications,,12th,English/Hindi,Module 6: Solution of First Order First Degree Differential Equations,Discrete Time Linear Models in Population Dynamics - I,https://www.youtube.com/watch?v=uaq5L9_Ihic
