S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Playlist Proposition | Mathematical logic,26hrs 8min,12th,English/Hindi,Module 1: Introduction to Propositions,Proposition | Mathematical logic,https://www.youtube.com/watch?v=LsmbUJcnDUo
2,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 1: Introduction to Propositions,Conjunction in proposition | Mathematical logic | Discrete mathematics,https://www.youtube.com/watch?v=vb2WIao63wQ
3,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 1: Introduction to Propositions,Disjunction | Proposition | Mathematical logic,https://www.youtube.com/watch?v=P6mnsYycmMg
4,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 1: Introduction to Propositions,Negation | Proposition | Mathematical logic,https://www.youtube.com/watch?v=RwT9oMMN0hM
5,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 2: Algebra of Propositions,Truth table for compound statement | proposition truth table,https://www.youtube.com/watch?v=XffHZUZkUJY
6,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 2: Algebra of Propositions,Logical Equivalences | Equivalent proposition | Mathematical logic,https://www.youtube.com/watch?v=wLZYxcp7qH0
7,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 2: Algebra of Propositions,Algebra of proposition | Mathematical logic,https://www.youtube.com/watch?v=4_ck4Dd-xR0
8,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 3: Biconditional Propositions,Conditional proposition | p implies q | Mathematical logic,https://www.youtube.com/watch?v=YA8TAVO2cOY
9,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 3: Biconditional Propositions,Converse | Inverse | Contrapositive in proposition | Mathematical logic,https://www.youtube.com/watch?v=_9MEe-9mbMc
10,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 4: Normal Forms in Propositions,Biconditional proposition in mathematical logic | Discrete Mathematics,https://www.youtube.com/watch?v=JuNgaYhgedU
11,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 4: Normal Forms in Propositions,Tautology and contradiction | Mathematical logic | Proposition | Discrete Mathematics,https://www.youtube.com/watch?v=ySnzNT00pBg
12,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 4: Normal Forms in Propositions,Normal forms in proposition | Disjunction normal form | conjunction normal form | discrete math,https://www.youtube.com/watch?v=B7CzfCa5WKU
13,Mathematics,Playlist Proposition | Mathematical logic,,12th,English/Hindi,Module 4: Normal Forms in Propositions,Predicates and Quantifier | Universal quantifier | Existential quantifier | Discrete Mathematics,https://www.youtube.com/watch?v=q_bmCYkvOig
