S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Probability and Statistics (Complete Playlist),53hrs 3min,12th,English/Hindi,Module 1: Introduction to Permutations & Combinations,Lec-1: Fundamental Principle Of Counting (Basic Permutation) | Probability and Statistics,https://www.youtube.com/watch?v=Q_u3Lt5AV3c
2,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Permutations & Combinations,Lec-2: Basic Formula of Factorial And Permutations | Probability and Statistics,https://www.youtube.com/watch?v=B_E_3ayWUGA
3,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Permutations & Combinations,Lec-3: Restricted Permutation | Probability and Statistics,https://www.youtube.com/watch?v=GlmAVtuIws8
4,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 1: Introduction to Permutations & Combinations,Lec-4: Permutation with Repetition | Probability and Statistics,https://www.youtube.com/watch?v=yJ8_3Yn_LV0
5,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 2: Types of Permutations,Lec-5: Circular Permutation | Probability and Statistics,https://www.youtube.com/watch?v=GDO8vlZ73o8
6,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 2: Types of Permutations,Lec-6: Basic and Restricted Combination | Probability and Statistics,https://www.youtube.com/watch?v=kvS-aUiSpiM
7,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 2: Types of Permutations,Lec-7: Combination Techniques | Probability and Statistics,https://www.youtube.com/watch?v=WHh630e-oOY
8,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 2: Types of Permutations,Lec-8: Basic Probability | Probability and Statistics,https://www.youtube.com/watch?v=DM_a4kgYqnM
9,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 3: Combinations & Probability Basics,Lec-9: Algebra of Events | Probability and Statistics,https://www.youtube.com/watch?v=LF5Jh4IMjcU
10,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 3: Combinations & Probability Basics,Lec-10: Conditional Probability | Probability and Statistics | Most Important Topic,https://www.youtube.com/watch?v=bAmIAdhCUzg
11,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 3: Combinations & Probability Basics,Lec-11: Multiplication Law of Probability | Probability and Statistics,https://www.youtube.com/watch?v=5PAXmAHK8ls
12,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 4: Conditional Probability & Bayes' Theorem,Lec-12: Independent Events with example | Probability and Statistics,https://www.youtube.com/watch?v=1MxZ1Z59tzc
13,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 4: Conditional Probability & Bayes' Theorem,Lec-13: Law of Total Probability | Probability and Statistics,https://www.youtube.com/watch?v=l2WwMOPzY3E
14,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 4: Conditional Probability & Bayes' Theorem,Lec-14: BAYES' Theorem | Probability and Statistics | Most Important Topic,https://www.youtube.com/watch?v=WOYylyjkq_g
15,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 5: Random Variables & Distributions,Lec-15: Random Variable | Probability and Statistics,https://www.youtube.com/watch?v=2n1hapVMHL0
16,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 5: Random Variables & Distributions,"Lec-16: Mean, Variance and Standard Deviation of Distribution | Probability and Statistics",https://www.youtube.com/watch?v=1jfHFNSPJO0
17,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 5: Random Variables & Distributions,Lec-17: Discrete And Continuous Random Variable | Probability and Statistics,https://www.youtube.com/watch?v=cNqb_awlB1A
18,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 6: Binomial & Poisson Distributions,Lec-18: Binomial or Bernoulli Distribution | Probability and Statistics,https://www.youtube.com/watch?v=IFhvaO_b5ds
19,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 6: Binomial & Poisson Distributions,"Lec-19: Mean, Median & Mode | Probability and Statistics",https://www.youtube.com/watch?v=ecY2x1xU1mE
20,Mathematics,Probability and Statistics (Complete Playlist),,12th,English/Hindi,Module 6: Binomial & Poisson Distributions,Lec-20: Poisson Distribution | Probability and Statistics,https://www.youtube.com/watch?v=zv7_EwPyzCo
