S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mathematics,Real Analysis (Full Course),128hrs 4min,12th,English/Hindi,Module 1: Basics of R.A. - Set,Lecture 1 | Basics of R.A. - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=9yNYG0DkRzg
2,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 1: Basics of R.A. - Set,Lecture 2 | Set - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=fFAghhivcns
3,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 1: Basics of R.A. - Set,Lecture 3 | Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=O-Okz6OgnYc
4,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 1: Basics of R.A. - Set,Lecture 4 | Set - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=W8saQ4jx7LA
5,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 2: Archimedean property - Neighbourhood,Lecture 5 | Set - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=c-fv2HfixsU
6,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 2: Archimedean property - Neighbourhood,Lecture 6 | Archimedean property - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=wCtRP5hh7ew
7,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 2: Archimedean property - Neighbourhood,Lecture 7 | Archimedean property - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=dmhEdaGdDOk
8,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 3: Open Set - Closed Set,Lecture 8 | Neighbourhood of a point - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3XjjIlI5soQ
9,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 3: Open Set - Closed Set,Lecture 9 | Open Set | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3NWGfQgHBK4
10,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 3: Open Set - Closed Set,Lecture 10 | Closed Set | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=EGPVQJlCz2E
11,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 4: Compact Set - Isolated & Adherent point,Lecture 11 | Closed Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=uTMd41DjCR8
12,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 4: Compact Set - Isolated & Adherent point,Lecture 12 | Closed Set - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=xv-JV-jp_8E
13,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 4: Compact Set - Isolated & Adherent point,Lecture 13 | Compact Set - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=sZlMm92U1bQ
14,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 5: Dense Set & Interior point - Boundary points - Connected Set,Lecture 14 | Compact Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=SPhurmb_Zf0
15,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 5: Dense Set & Interior point - Boundary points - Connected Set,Lecture 15 | Isolated & Adherent point | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Bxs9Uw7FvTw
16,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 5: Dense Set & Interior point - Boundary points - Connected Set,Lecture 16 | Dense Set & Interior point | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=SEflpCog5xk
17,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 6: Functions,Lecture 17 | Boundary Points & Connected Set | Real Analysis| IIT JAM | CSIR NET | GATE | Vivekmaths,https://www.youtube.com/watch?v=tSLrjwRhiHU
18,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 6: Functions,Lecture 18 | Functions - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=IPt_OsGHcTA
19,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 6: Functions,Lecture 19 | Functions - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=bvhU6Kq3bdg
20,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 6: Functions,Lecture 20 | Functions - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=aP10UkZ7Eyo
21,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 7: Functions,Lecture 21 | Functions - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=8B91wIOfH1E
22,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 7: Functions,Lecture 22 | Functions - 5 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3T7NZiKMbLc
23,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 7: Functions,Lecture 23 | Functions - 6 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Ffm4C47Reec
24,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 8: Periodic Function - Countability of Sets,Lecture 24 | Functions - 7 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=MztNJ-se7_g
25,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 8: Periodic Function - Countability of Sets,Lecture 25 | Periodic Function | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=TfxhDamzsX8
26,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 8: Periodic Function - Countability of Sets,Lecture 26 | Countability of Sets - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=IhZ54mDlufE
27,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 27 | Countability of Sets - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=33NfWH0iKN4
28,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 28 | Countability of Sets - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=f52Fyk9ovnw
29,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 9: Countability of Sets,Lecture 29 | Countability of Sets - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=gk7q8r4zj48
30,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 30 | Countability of Sets - 5 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=OBPC0gQIysg
31,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 31 | Countability of Sets - 6 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=lIFIBtDrzEc
32,Mathematics,Real Analysis (Full Course),,12th,English/Hindi,Module 10: Countability of Sets,Lecture 32 | Countability of Sets - 7 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=EhHkVcj5Aak
