S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Spatial Data Management (Fall 2023),4hrs 6min,12th,English/Hindi,Module 1: Course Introduction,Spatial Data Management Week 1: Course Introduction,https://www.youtube.com/watch?v=vl7wLN_M-FE
2,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 1: Course Introduction,Spatial Data Management Week 1: Spatial Data Models,https://www.youtube.com/watch?v=FcfOamCh6Ew
3,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 2: Installing Miniconda and geemap,Spatial Data Management Week 2: Installing Miniconda and geemap,https://www.youtube.com/watch?v=gyQ6wBqYGks
4,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 2: Installing Miniconda and geemap,Spatial Data Management Week 2: Introducing Visual Studio Code,https://www.youtube.com/watch?v=MDtlHMQi7uk
5,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 2: Installing Miniconda and geemap,Spatial Data Management Week 2: Setting Up Powershell for VS Code,https://www.youtube.com/watch?v=RivMBCGQz_c
6,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 2: Installing Miniconda and geemap,Spatial Data Management Week 2: Introducing Git and GitHub,https://www.youtube.com/watch?v=NS1b40IhnD0
7,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 3: Python Basics,Spatial Data Management Week 3: Python Basics,https://www.youtube.com/watch?v=Zxb1_HNvYQM
8,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 3: Python Basics,Spatial Data Management Week 3: Getting Started with Geemap,https://www.youtube.com/watch?v=nK5mxdRIRiY
9,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 4: Using Earth Engine Image,Spatial Data Management Week 4: Using Earth Engine Image,https://www.youtube.com/watch?v=EOPeaD53fc4
10,Statistics,Spatial Data Management (Fall 2023),,12th,English/Hindi,Module 4: Using Earth Engine Image,Spatial Data Management Week 4: Filtering Image Collection,https://www.youtube.com/watch?v=8dCOzRIHej0
