S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,NOC Jan 2019 : Statistical Inference,19hrs 19min,12th,English/Hindi,Module 1: Introduction & Motivation,Statistical Inference,https://www.youtube.com/watch?v=cjTgyRUaD1s
2,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 1: Introduction & Motivation,Lecture 01 : Introduction and Motivation - I,https://www.youtube.com/watch?v=nWxNFkqGlsM
3,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 1: Introduction & Motivation,Lecture 02 : Introduction and Motivation-II,https://www.youtube.com/watch?v=SXsKKGdI3-U
4,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 1: Introduction & Motivation,Lecture 03 : Basic Concepts of Point Estimations-I,https://www.youtube.com/watch?v=3U_HTqSxS1w
5,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 2: Point Estimation Basics,Lecture 04 : Basic Concepts of Point Estimations-II,https://www.youtube.com/watch?v=9xGAE6BGmgA
6,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 2: Point Estimation Basics,Lecture 05 : Basic Concepts of Point Estimations-III,https://www.youtube.com/watch?v=lujqdR1CAlA
7,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 2: Point Estimation Basics,Lecture 06 : Basic Concepts of Point Estimations-IV,https://www.youtube.com/watch?v=uc6AbEDLdEY
8,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 2: Point Estimation Basics,Lecture 07 : Finding Estimators-I,https://www.youtube.com/watch?v=ykv3VaUZUR4
9,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 3: Finding Estimators,Lecture 08 : Finding Estimators-II,https://www.youtube.com/watch?v=2P2LznSGHqY
10,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 3: Finding Estimators,Lecture 09 : Finding Estimators-III,https://www.youtube.com/watch?v=EJHVa45qRjA
11,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 3: Finding Estimators,Lecture 10 : Finding Estimators-IV,https://www.youtube.com/watch?v=ziKrU0T2GDw
12,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 3: Finding Estimators,Lecture 11 : Finding Estimators-V,https://www.youtube.com/watch?v=SWJQyfVXVLA
13,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 3: Finding Estimators,Lecture 12 : Finding Estimators-VI,https://www.youtube.com/watch?v=UyAanewWMY0
14,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 4: Properties of MLEs & Lower Bounds for Variance,Lecture 13 : Properties of MLEs- I,https://www.youtube.com/watch?v=NcrJUifgiB4
15,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 4: Properties of MLEs & Lower Bounds for Variance,Lecture 14 : Properties of MLEs- II,https://www.youtube.com/watch?v=AOf68aofA2g
16,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 4: Properties of MLEs & Lower Bounds for Variance,Lecture 15 : Lower Bounds for Variance-I,https://www.youtube.com/watch?v=F-zyZbLX6hM
17,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 4: Properties of MLEs & Lower Bounds for Variance,Lecture 16 : Lower Bounds for Variance-II,https://www.youtube.com/watch?v=vAJnbIh3nKs
18,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 4: Properties of MLEs & Lower Bounds for Variance,Lecture 17 : Lower Bounds for Variance-III,https://www.youtube.com/watch?v=6N3G2pCImT4
19,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 5: Lower Bounds for Variance,Lecture 18 : Lower Bounds for Variance-IV,https://www.youtube.com/watch?v=FG8PMjxeZtU
20,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 5: Lower Bounds for Variance,Lecture 19 : Lower Bounds for Variance-V,https://www.youtube.com/watch?v=jDNUmq_0-6A
21,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 5: Lower Bounds for Variance,Lecture 20 : Lower Bounds for Variance-VI,https://www.youtube.com/watch?v=yWUQWKnXFXo
22,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 5: Lower Bounds for Variance,Lecture 21 : Lower Bounds for Variance - VII,https://www.youtube.com/watch?v=Dz4B5zsBJ2w
23,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 5: Lower Bounds for Variance,Lecture 22 : Lower Bounds for Variance - VIII,https://www.youtube.com/watch?v=C2bD9iueFVs
24,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 6: Sufficiency & Information,Lecture 23 : Sufficiency - I,https://www.youtube.com/watch?v=XMSPQ7Mh2Ik
25,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 6: Sufficiency & Information,Lecture 24 : Sufficiency - II,https://www.youtube.com/watch?v=p-nuXPljVoo
26,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 6: Sufficiency & Information,Lecture 25 : Sufficiency and Information - I,https://www.youtube.com/watch?v=rTYrfdyJHM0
27,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,Module 6: Sufficiency & Information,Lecture 26 : Sufficiency and Information - II,https://www.youtube.com/watch?v=5Hdd_n36zOQ
28,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,"Module 7: Minimal Sufficiency, Completeness & UMVU Estimation","Lecture 27 : Minimal Sufficiency, Completeness - I",https://www.youtube.com/watch?v=FIrcTkSbPyQ
29,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,"Module 7: Minimal Sufficiency, Completeness & UMVU Estimation","Lecture 28 : Minimal Sufficiency, Completeness - II",https://www.youtube.com/watch?v=E6bAPUdtpRI
30,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,"Module 7: Minimal Sufficiency, Completeness & UMVU Estimation","Lecture 29 : UMVU Estimation, Ancillarity - I",https://www.youtube.com/watch?v=-lPyq3_CRN0
31,Statistics,NOC Jan 2019 : Statistical Inference,,12th,English/Hindi,"Module 7: Minimal Sufficiency, Completeness & UMVU Estimation","Lecture 30 : UMVU Estimation, Ancillarity - II",https://www.youtube.com/watch?v=_4mHWMUarNU
