S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Survival Analysis | Concepts and Implementation in R,23hrs 19min,12th,English/Hindi,Module 1: Introduction to Survival Analysis,Survival Analysis Part 1 | What is Censoring?,https://www.youtube.com/watch?v=vX3l36ptrTU
2,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 1: Introduction to Survival Analysis,"Survival Analysis Part 2 | Survival Function, Hazard, & Hazard Ratio",https://www.youtube.com/watch?v=MdmWdIV5k-I
3,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 1: Introduction to Survival Analysis,Survival Analysis Part 3 | Kaplan Meier vs. Exponential vs. Cox Proportional Hazards (Pros & Cons),https://www.youtube.com/watch?v=K7bmmbD7KIg
4,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 1: Introduction to Survival Analysis,Survival Analysis Part 4 | Kaplan Meier Model,https://www.youtube.com/watch?v=VJPPeUpyC6c
5,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 2: Kaplan-Meier and Exponential Models,Survival Analysis Part 5 | Kaplan Meier Model in R with RStudio,https://www.youtube.com/watch?v=6_AF9mMuk9E
6,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 2: Kaplan-Meier and Exponential Models,Survival Analysis Part 7 | Exponential Model (Intro to Regression Models for Survival),https://www.youtube.com/watch?v=T_goHnU8Eu4
7,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 2: Kaplan-Meier and Exponential Models,Survival Analysis Part 8 | Kaplan Meier vs Exponential vs Cox Proportional Hazards (How The Differ),https://www.youtube.com/watch?v=KDpAtrqS39w
8,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 3: Cox Proportional Hazards Model,Survival Analysis Part 9 | Cox Proportional Hazards Model,https://www.youtube.com/watch?v=aETMUW_TWV0
9,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 3: Cox Proportional Hazards Model,Survival Analysis Part 10 | Model Assumptions for Cox Proportional Hazards Model,https://www.youtube.com/watch?v=QAgtZKpKj9M
10,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 3: Cox Proportional Hazards Model,Survival Analysis Part 11 | Cox Proportional Hazards Model in R with RStudio,https://www.youtube.com/watch?v=TrS2M5imOt8
11,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 3: Cox Proportional Hazards Model,Survival Analysis Part 12 | Checking Cox PH Model Assumptions in R with RStudio,https://www.youtube.com/watch?v=M1QQ8QQn8Zs
12,Statistics,Survival Analysis | Concepts and Implementation in R,,12th,English/Hindi,Module 4: Applications and Extensions,Survival Analysis | Statistics for Applied Epidemiology | Tutorial 11,https://www.youtube.com/watch?v=sJPti8Yh4k4
