S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Statistics,Time Series Analysis,20hrs 5min,12th,English/Hindi,Module 1: Introduction to Time Series,Why Are Time Series Special? : Time Series Talk,https://www.youtube.com/watch?v=ZoJ2OctrFLA
2,Statistics,Time Series Analysis,,12th,English/Hindi,Module 1: Introduction to Time Series,Time Series Talk : Autocorrelation and Partial Autocorrelation,https://www.youtube.com/watch?v=DeORzP0go5I
3,Statistics,Time Series Analysis,,12th,English/Hindi,Module 2: Autocorrelation,ACF & PACF Code Example : Time Series Talk,https://www.youtube.com/watch?v=y8opUEd05Dg
4,Statistics,Time Series Analysis,,12th,English/Hindi,Module 2: Autocorrelation,Time Series Talk : Stationarity,https://www.youtube.com/watch?v=oY-j2Wof51c
5,Statistics,Time Series Analysis,,12th,English/Hindi,Module 3: Stationarity and Unit Roots,Unit Roots : Time Series Talk,https://www.youtube.com/watch?v=ugOvehrTRRw
6,Statistics,Time Series Analysis,,12th,English/Hindi,Module 3: Stationarity and Unit Roots,Time Series Talk : Augmented Dickey Fuller Test + Code,https://www.youtube.com/watch?v=1opjnegd_hA
7,Statistics,Time Series Analysis,,12th,English/Hindi,Module 4: AR Models,Time Series Talk : White Noise,https://www.youtube.com/watch?v=cr4zIXAmSRI
8,Statistics,Time Series Analysis,,12th,English/Hindi,Module 4: AR Models,Time Series Talk : Lag Operator,https://www.youtube.com/watch?v=VPNijQ2L3XM
9,Statistics,Time Series Analysis,,12th,English/Hindi,Module 4: AR Models,Time Series Talk : Autoregressive Model,https://www.youtube.com/watch?v=5-2C4eO4cPQ
10,Statistics,Time Series Analysis,,12th,English/Hindi,Module 5: Evaluating Time Series Models,AR Model Code Example : Time Series Talk,https://www.youtube.com/watch?v=JCKMV0Cuk0k
11,Statistics,Time Series Analysis,,12th,English/Hindi,Module 6: MA Models,Evaluating Time Series Models : Time Series Talk,https://www.youtube.com/watch?v=kgBDQ3baESw
12,Statistics,Time Series Analysis,,12th,English/Hindi,Module 6: MA Models,Time Series Talk : Moving Average Model,https://www.youtube.com/watch?v=voryLhxiPzE
13,Statistics,Time Series Analysis,,12th,English/Hindi,Module 6: MA Models,MA Model Code Example : Time Series Talk,https://www.youtube.com/watch?v=uBYOJfwQeME
14,Statistics,Time Series Analysis,,12th,English/Hindi,Module 7: Invertibility,Time Series Talk : Moving Average and ACF,https://www.youtube.com/watch?v=_tgB-ri9-8c
15,Statistics,Time Series Analysis,,12th,English/Hindi,Module 7: Invertibility,Invertibility of Time Series : Time Series Talk,https://www.youtube.com/watch?v=QU_VNu3rJKY
16,Statistics,Time Series Analysis,,12th,English/Hindi,Module 8: ARMA Models,Invertibility II : Time Series Talk,https://www.youtube.com/watch?v=q0vz7dGlZL0
17,Statistics,Time Series Analysis,,12th,English/Hindi,Module 8: ARMA Models,Time Series Talk : ARMA Model,https://www.youtube.com/watch?v=HhvTlaN06AM
18,Statistics,Time Series Analysis,,12th,English/Hindi,Module 8: ARMA Models,Coding ARMA Model : Time Series Talk,https://www.youtube.com/watch?v=xg2-9DhE5vc
19,Statistics,Time Series Analysis,,12th,English/Hindi,Module 9: ARIMA Models,Predicting Stock Prices and Making $$$ Using the ARMA Model,https://www.youtube.com/watch?v=Vyr5dthe-2s
20,Statistics,Time Series Analysis,,12th,English/Hindi,Module 9: ARIMA Models,Time Series Talk : ARIMA Model,https://www.youtube.com/watch?v=3UmyHed0iYE
21,Statistics,Time Series Analysis,,12th,English/Hindi,Module 10: Seasonal ARIMA Models,Time Series Talk : What is Seasonality ?,https://www.youtube.com/watch?v=4hrMdu9CSQs
22,Statistics,Time Series Analysis,,12th,English/Hindi,Module 10: Seasonal ARIMA Models,Time Series Talk : Seasonal ARIMA Model,https://www.youtube.com/watch?v=WjeGUs6mzXg
23,Statistics,Time Series Analysis,,12th,English/Hindi,Module 11: ARCH & GARCH Models,Coding the SARIMA Model : Time Series Talk,https://www.youtube.com/watch?v=Al8m6K_stfA
24,Statistics,Time Series Analysis,,12th,English/Hindi,Module 11: ARCH & GARCH Models,Time Series Talk : ARCH Model,https://www.youtube.com/watch?v=Li95a2biFCU
25,Statistics,Time Series Analysis,,12th,English/Hindi,Module 11: ARCH & GARCH Models,GARCH Model : Time Series Talk,https://www.youtube.com/watch?v=inoBpq1UEn4
