S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mechanical Engineering,CAD/CAM Tutorials (Theory),51hrs 7min,12th,English/Hindi,Module 1: Introduction & Product Lifecycle,Introduction of CAD/CAM | CAD/CAM Tutorials | Chapter 01,https://www.youtube.com/watch?v=vO1lc75jtiM
2,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 1: Introduction & Product Lifecycle,PRODUCT LIFECYCLE | CAD/CAM Tutorials | Chapter 02,https://www.youtube.com/watch?v=U0QbBY4JPvw
3,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,WIREFRAME MODELLING | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 01,https://www.youtube.com/watch?v=sF7SNDd5aX0
4,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,SURFACE MODELLING | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 02,https://www.youtube.com/watch?v=ONj8HDP4PYw
5,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,SOLID MODELLING (Section-A) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=ldqvKzc3NRU
6,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,SOLID MODELLING (Section-B) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=t-KRZJqJD-o
7,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,SOLID MODELLING (Section-C) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=RSJARgxthf0
8,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 2: Geometric Modelling,2D TRANSFORMATIONS (Introduction) | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 01,https://www.youtube.com/watch?v=gNBPW_9D23w
9,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,2D TRANSFORMATIONS (Problems Solving) | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 02,https://www.youtube.com/watch?v=7mbRn2AXw9g
10,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,HOMOGENEOUS TRANSFORMATIONS | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 03,https://www.youtube.com/watch?v=kDoi1OBOeyo
11,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,3D TRANSFORMATIONS [Representation] | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 04,https://www.youtube.com/watch?v=M1NQQ7RU-5E
12,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,3D TRANSFORMATIONS [Problems Solving 1] | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 05,https://www.youtube.com/watch?v=yTaXSYqBoOQ
13,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,3D TRANSFORMATIONS [Problems Solving 2] | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 06,https://www.youtube.com/watch?v=LH2qsYaw2xA
14,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 3: Transformations,Introduction of CAM (Computer Aided Manufacturing) | CAD CAM Tutorials | Chapter 05,https://www.youtube.com/watch?v=7od3g2Su5RM
15,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 4: Introduction to CAM & CAPP,CAPP (Computer Aided Process Planning) | CAD CAM Tutorials | Chapter 06,https://www.youtube.com/watch?v=nt_gK-jWF6w
16,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 4: Introduction to CAM & CAPP,Group Technology (GT) | CAD CAM Tutorials | Chapter 07,https://www.youtube.com/watch?v=WZ2U6W7FWx0
17,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 5: Group Technology & Reverse Engineering,Group Technology (GT) [Extended] | CAD CAM Tutorials | Chapter 07,https://www.youtube.com/watch?v=qeTSTnennIw
18,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 5: Group Technology & Reverse Engineering,Reverse Engineering | CAD CAM Tutorials | Chapter 08,https://www.youtube.com/watch?v=unBx5ZW9cIU
19,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 6: CIM & CAQC,Computer Integrated Manufacturing (CIM) | CAD CAM Tutorials | Chapter 09,https://www.youtube.com/watch?v=VzibGwba3Qs
20,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 6: CIM & CAQC,CAQC | Computer Aided Quality Control | CAD CAM Tutorials | Chapter 10,https://www.youtube.com/watch?v=5wSzRE4K4PI
21,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 7: Scoring High & Introduction to CAD,8 Tips to Score High in CAD / CAM Examinations | Mech Tutorials Hub,https://www.youtube.com/watch?v=WJxSxnZxKk4
22,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 7: Scoring High & Introduction to CAD,Introduction of CAD (Computer-Aided Design) | An Overview | CAD CAM Tutorials | Mech Tutorials Hub,https://www.youtube.com/watch?v=Uk24iEmk1RI
23,Mechanical Engineering,CAD/CAM Tutorials (Theory),,12th,English/Hindi,Module 8: 2D Transformations & NC System,Windowing & Clipping | CAD CAM Tutorials | Mech Tutorials Hub,https://www.youtube.com/watch?v=8umPf8GPM5Y
