S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mechanical Engineering,Engineering Thermodynamics,46hrs 15min,12th,English/Hindi,Module 1: Introduction to Thermodynamics,Thermodynamics Application | Engineering Thermodynamics-01 | EveryEng | Mechanical Engineer,https://www.youtube.com/watch?v=VIY8Bbv_VHw
2,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,Microscopic Approach vs Macroscopic Approach || Engineering Thermodynamics-02 || EveryEng Mechanical,https://www.youtube.com/watch?v=WRtc8gs20mU
3,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,Thermodynamics System | Engineering Thermodynamics- 03 | EveryEng | Mechanical Engineer,https://www.youtube.com/watch?v=7NI5P4KqrAs
4,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,Extensive Properties and Intensive Properties || Engineering Thermodynamics-4 || EveryEng Mechanical,https://www.youtube.com/watch?v=hlFekirVFJw
5,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,Reversible & Irreversible Process | Quasistatic Process || Engineering Thermodynamics-5 || EveryEng,https://www.youtube.com/watch?v=IY1uOYJmJms
6,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,Zeroth law of thermodynamics || Engineering Thermodynamics - 6 || EveryEng Mechanical,https://www.youtube.com/watch?v=OYSkc4ucLHE
7,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,Measurement of Temperature | PK Nag Chapter-2 || Engineering Thermodynamics-07 || EveryEng Mechnical,https://www.youtube.com/watch?v=bVDZ27rU324
8,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,PK Nag Solution Chapter 2 - Temperature || Engineering Thermodynamics-08 || EveryEng Mechanical,https://www.youtube.com/watch?v=DuhSLghhR3g
9,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 3: First Law of Thermodynamics Applications,Ideal Gas Equation vs Various Processes || Engineering Thermodynamics-09 || For GATE/IES,https://www.youtube.com/watch?v=nsexW_m07h8
10,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 3: First Law of Thermodynamics Applications,PdV Work or Displacement Work || Engineering Thermodynamics-10 || EveryEng Mechanical,https://www.youtube.com/watch?v=JcRMoAWu1qk
11,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 3: First Law of Thermodynamics Applications,PdV Work For Various Quasistatic Processes || Engineering Thermodynamics-11 || For GATE/IES,https://www.youtube.com/watch?v=fJPavRKGs2w
12,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 3: First Law of Thermodynamics Applications,Isothermal vs Adiabatic Curve || Engineering Thermodynamics-12 || For GATE/IES,https://www.youtube.com/watch?v=5fc-1Skkhog
13,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 4: Second Law of Thermodynamics,Polytropic Index For Various Processes || Engineering Thermodynamics-13 || For GATE/IES,https://www.youtube.com/watch?v=STrqLG_pUOE
14,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 4: Second Law of Thermodynamics,Path Function And Point Function || Engineering Thermodynamics-14 || For GATE/IES,https://www.youtube.com/watch?v=AlWrKgzdwxo
15,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 4: Second Law of Thermodynamics,Work Other than Pdv or Displacement Work || Engineering Thermodynamic-15 || For GATE/IES,https://www.youtube.com/watch?v=Uqme8K5TuOc
16,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 4: Second Law of Thermodynamics,Specific Heat And Latent Heat || Engineering Thernodynamics-16 || For GATE/IES,https://www.youtube.com/watch?v=3mnp0itvrM8
17,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 5: Entropy and Its Applications,Solved Example P.K. Nag Chapter-3 || Engineering Thermodynamics-17 || For GATE/IES,https://www.youtube.com/watch?v=8NnKKGcH8LA
18,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 5: Entropy and Its Applications,Pk Nag Solution Chapter-3 || Engineering Thermodynamics-18 || For GATE/IES,https://www.youtube.com/watch?v=MQjNxVj_FLU
19,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 5: Entropy and Its Applications,First Law Of Thermodynamics For Closed System(Ch-4) || Engineering Thermodynamics-19 || For GATE/IES,https://www.youtube.com/watch?v=x8nvzPnrOnQ
20,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 5: Entropy and Its Applications,Previous Year ESE Numerical On 1st Law of Thermodynamics(Part-1)|| Engineering Thermodynamics-20 ||,https://www.youtube.com/watch?v=nCAaVS5rEfs
21,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 6: Exergy and Thermodynamic Relations,Previous Year ESE Numerical On 1st Law of Thermodynamics(Part-2)|| Engineering Thermodynamics-21 ||,https://www.youtube.com/watch?v=9ad4WCEv6Xg
22,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 6: Exergy and Thermodynamic Relations,Heat Transfer in Various Process || Engineering Thermodynamics-22 || For GATE/IES,https://www.youtube.com/watch?v=HwDzod7OwoI
23,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 6: Exergy and Thermodynamic Relations,Perpetual Motion Machine of the First Kind (PMM1) || Engineering Thermodynamics-23 || For GATE/IES,https://www.youtube.com/watch?v=N4X_RblC0AM
24,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 6: Exergy and Thermodynamic Relations,Free Expansion Of Gas || Engineering Thermodynamics-24 || By Saurabh Gupta || For GATE/IES,https://www.youtube.com/watch?v=7owfsdQjuVM
25,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 7: Properties of Pure Substances,Solved Examples PK Nag Chapter-4 || Engineering Thermodynamics-25 || By Saurabh Gupta|| For GATE/IES,https://www.youtube.com/watch?v=BKezIuh-Rkw
26,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 7: Properties of Pure Substances,Problems with Hint PK Nag Chapter -4 (Page no. 93) || Engineering Thermodynamics-26 || For GATE/IES,https://www.youtube.com/watch?v=YL25M5fff_A
27,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 7: Properties of Pure Substances,Pk Nag Problems Chapter-4 (Page No. 95) (Part-1) || Engineering Thermodynamics-27 || For GATE/IES,https://www.youtube.com/watch?v=ooWNPJDSPHs
28,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 7: Properties of Pure Substances,Pk Nag Problem Chapter-4 (Page no.-95) || Engineering Thermodynamics-28 || For GATE/IES,https://www.youtube.com/watch?v=qkLo1alKXH0
29,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 8: Vapor Power Cycles,ESE Prelims Conventional Question First Law of Thermodynamics || Engineering Thermodynamics-29 ||,https://www.youtube.com/watch?v=mQNL48RhiwM
30,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 8: Vapor Power Cycles,Mass Balance Equation For Steady Flow Systems(Ch-5) || Engineering Thermodynamics-30 || For GATE/IES,https://www.youtube.com/watch?v=VMk2iYDQqpo
31,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 8: Vapor Power Cycles,Steady Flow Energy Equation (SFEE ) || Engineering Thermodynamics-31 || By Saurabh Gupta ||,https://www.youtube.com/watch?v=cCEV8Fb9Dzs
32,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 8: Vapor Power Cycles,Steady Flow Energy Equation vs Bernoulli's Equation || Engineering Thermodynamics-32 || For GATE/IES,https://www.youtube.com/watch?v=XxM0rVkRzDs
33,Mechanical Engineering,Engineering Thermodynamics,,12th,English/Hindi,Module 9: Gas Power Cycles,SFEE Applied To Nozzle & Diffusers || Engineering Thermodynamics-33 || By Saurabh Gupta || FOR IES,https://www.youtube.com/watch?v=3iYOXGFEERk
