S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mechanical Engineering,Introduction to Materials Science and Engineering,31hrs 7min,12th,English/Hindi,Module 1: Introduction to Crystallography,1.1 Introduction,https://www.youtube.com/watch?v=KMcsjCXfLQw
2,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Crystallography,1.2 Crystal geometry,https://www.youtube.com/watch?v=KilQCJNucUw
3,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Crystallography,1.3 Unit cell,https://www.youtube.com/watch?v=ZmfxnA4H2MQ
4,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Crystallography,1.4 Classification of latices,https://www.youtube.com/watch?v=J8Bo9BHxesE
5,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Crystallography,1.5 Gaps in Bravais lattices,https://www.youtube.com/watch?v=Qz8QbRUdO8s
6,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Symmetry in Crystallography,Symmetry I,https://www.youtube.com/watch?v=6w4jjiC_vTc
7,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Symmetry in Crystallography,Symmetry II,https://www.youtube.com/watch?v=46M4EBoZMvk
8,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Symmetry in Crystallography,Classification of lattices on the basis of symmetry,https://www.youtube.com/watch?v=n_5aAVB-xKA
9,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Symmetry in Crystallography,A symmetry based approach to Bravais lattices,https://www.youtube.com/watch?v=5_FmJgp6sMQ
10,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Miller Indices and Crystallographic Directions,Miller Indices of Directions,https://www.youtube.com/watch?v=mc-VocwArHY
11,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Miller Indices and Crystallographic Directions,Miller Indices for Planes,https://www.youtube.com/watch?v=1vsNxkdlcXw
12,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Miller Indices and Crystallographic Directions,Miller Indices for a plane and its normal in Cubic Crystal,https://www.youtube.com/watch?v=6AfsN4R7ARQ
13,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Miller Indices and Crystallographic Directions,Weiss Zone law and its applications,https://www.youtube.com/watch?v=gq6piKyyAQo
14,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Miller Indices and Crystallographic Directions,Inter-planar spacing,https://www.youtube.com/watch?v=xIuuTSJ5Dws
15,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: X-ray Diffraction and Crystal Structures,Bragg’s Law,https://www.youtube.com/watch?v=migIuUWtSHc
16,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: X-ray Diffraction and Crystal Structures,16: Close-packing of Hard Spheres,https://www.youtube.com/watch?v=eSdadhSfObc
17,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 5: Close-Packed Structures and Voids,17 ABAB stacking: Hexagonal Close-Packed (HCP) structure,https://www.youtube.com/watch?v=mdDu2iQtRSU
18,Mechanical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 5: Close-Packed Structures and Voids,Lattice and motif of HCP crystals,https://www.youtube.com/watch?v=cEiqAqcBjrg
