S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Mechanical Engineering,Mechatronics,8hrs 7min,12th,English/Hindi,Module 1: Introduction to Mechatronics,Mechatronics,https://www.youtube.com/watch?v=zVVITxiec7g
2,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 1: Introduction to Mechatronics,Lecture 1 : Introduction,https://www.youtube.com/watch?v=UrST-2yu8zQ
3,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 1: Introduction to Mechatronics,Lecture 2: Mechatronics System Examples,https://www.youtube.com/watch?v=4lilX8cHDHI
4,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 2: Electronics Fundamentals,Lecture 3: Electric Circuits and Components,https://www.youtube.com/watch?v=hiC2t59_ALY
5,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 2: Electronics Fundamentals,Lecture 4: Semiconductor Electronics,https://www.youtube.com/watch?v=TKYUOPbimNM
6,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 2: Electronics Fundamentals,Lecture 5: Application of Transistors,https://www.youtube.com/watch?v=J9CVa2DqiHM
7,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 3: Sensors in Mechatronics,Lecture 6: Sensors Performance Terminology,https://www.youtube.com/watch?v=xHPZ0jK6-u8
8,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 3: Sensors in Mechatronics,"Lecture 7: Displacement, Position & Proximity Sensors - I",https://www.youtube.com/watch?v=-vAQSyslC20
9,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 3: Sensors in Mechatronics,"Lecture 8: Displacement, Position & Proximity Sensors - II",https://www.youtube.com/watch?v=In0l3pOrGsE
10,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 3: Sensors in Mechatronics,"Lecture 9: Force, Fluid Flow Sensors",https://www.youtube.com/watch?v=LF9Tfhd0sXg
11,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 4: Actuation Systems,Lecture 10: Acceleration & Vibration Measurement Sensors,https://www.youtube.com/watch?v=tT61uzJCx8A
12,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 4: Actuation Systems,Lecture 11 : Mechanical Actuation Systems,https://www.youtube.com/watch?v=BUxClwVA7f8
13,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 4: Actuation Systems,Lecture 12 : Hydraulic and Pneumatic Actuators,https://www.youtube.com/watch?v=akZjDHD6JC4
14,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 4: Actuation Systems,Lecture 13 : Electrical Actuation System - I,https://www.youtube.com/watch?v=YBpfLWTE6ak
15,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 5: Signal Conditioning and Data Conversion,Lecture 14 : Electrical Actuation Systems - II,https://www.youtube.com/watch?v=9vpqyhOxwFs
16,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 5: Signal Conditioning and Data Conversion,Lecture 15 : Data Presentation Systems,https://www.youtube.com/watch?v=RwQ4ttbN4mc
17,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 5: Signal Conditioning and Data Conversion,Lecture 16: Introduction to Signal Conditioning & Op-Amp,https://www.youtube.com/watch?v=hL2ofn12x_M
18,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 5: Signal Conditioning and Data Conversion,Lecture 17: OP-AMP As Signal Conditioner,https://www.youtube.com/watch?v=8ZBg8QWK0tA
19,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 6: Digital Systems and Microcontrollers,Lecture 18: Analogue To Digital Converters,https://www.youtube.com/watch?v=6qeGq0jD7wA
20,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 6: Digital Systems and Microcontrollers,Lecture 19: Digital To Analogue Converters,https://www.youtube.com/watch?v=n7Fs7WZY0CA
21,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 6: Digital Systems and Microcontrollers,Lecture 20: Artificial Intelligence,https://www.youtube.com/watch?v=AwDm93Ba3zk
22,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 6: Digital Systems and Microcontrollers,Lecture 21: Digital Circuits - I,https://www.youtube.com/watch?v=hwtcJ4GscS8
23,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 6: Digital Systems and Microcontrollers,Lecture 22 : Digital Circuits - II,https://www.youtube.com/watch?v=WT9IPuE79vM
24,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 7: System Modeling and Control,Lecture 23 : Microprocessor,https://www.youtube.com/watch?v=KYbGaP4TVfE
25,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 7: System Modeling and Control,Lecture 24: Microcontroller,https://www.youtube.com/watch?v=aKV9EGrq8mE
26,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 7: System Modeling and Control,Lecture 25: Microcontroller Programming Example,https://www.youtube.com/watch?v=Ututq4kykGQ
27,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 7: System Modeling and Control,Lecture 26 : Mechanical System Model,https://www.youtube.com/watch?v=LYMpjQPEjMU
28,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 7: System Modeling and Control,Lecture 27 : Electrical System Model,https://www.youtube.com/watch?v=Wv6EVH2PkoQ
29,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 8: Advanced Control Systems and Applications,Lecture 28 : Fluid System Model,https://www.youtube.com/watch?v=yd-sn06FVJw
30,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 8: Advanced Control Systems and Applications,Lecture 29 : Dynamic Response of Systems,https://www.youtube.com/watch?v=Qeu6Q1o4mww
31,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 8: Advanced Control Systems and Applications,Lecture 30 : Transfer Function and Frequency Response,https://www.youtube.com/watch?v=FzRerW2JY1Y
32,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 8: Advanced Control Systems and Applications,Lecture 31 : Controllers,https://www.youtube.com/watch?v=eUast7ieoNw
33,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 32 : Digital Controllers,https://www.youtube.com/watch?v=9CHZu81Iqhw
34,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 33 : Program Logic Controllers,https://www.youtube.com/watch?v=MS3qJq2jvu0
35,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,"Lecture 34 : Input, output and Communication systems",https://www.youtube.com/watch?v=rqxoREpOjTU
36,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 35 : Fault Finding,https://www.youtube.com/watch?v=LaEZJtI4pAU
37,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 36 : Project using Microcontroller – ATMEGA16,https://www.youtube.com/watch?v=giRkNjTevHI
38,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 37 : Myoelectrically Controlled Robotic Arm,https://www.youtube.com/watch?v=UsDygbs3fqc
39,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 38 : ABU Robocon 2019 – Part 1,https://www.youtube.com/watch?v=OHaazVJhOlA
40,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 39 : ABU Robocon 2019 – Part II,https://www.youtube.com/watch?v=6v7fpApY1vg
41,Mechanical Engineering,Mechatronics,,12th,English/Hindi,Module 9: Project and Case Studies,Lecture 40 : Design of a Legged Robot,https://www.youtube.com/watch?v=G87LGjbW8Ts
