S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Acoustic  greatest hits,10hrs 3min,12th,English/Hindi,Module 1: John Mayer - Free Fallin',John Mayer - Free Fallin' (Live at the Nokia Theatre),https://www.youtube.com/watch?v=20Ov0cDPZy8
2,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: John Mayer - Free Fallin',Ed Sheeran - Lego House | LIVE,https://www.youtube.com/watch?v=MYTQ2ZSkGfg
3,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: John Mayer - Free Fallin',Ed Sheeran - Thinking Out Loud (x Acoustic Session),https://www.youtube.com/watch?v=f6Cswdm601A
4,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 1: John Mayer - Free Fallin',Travie McCoy: Billionaire ft. Bruno Mars (LIVE ACOUSTIC),https://www.youtube.com/watch?v=qwlK5b4KYfI
5,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: All of Me - John Legend,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
6,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: All of Me - John Legend,Stay With Me - Sam Smith (Acoustic Cover by Jona Selle),https://www.youtube.com/watch?v=azhj_3Vn0E4
7,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 2: All of Me - John Legend,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
8,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Bastille - Pompeii,Bastille - Pompeii - Acoustic [ Live in Paris ],https://www.youtube.com/watch?v=ytie995zY-Q
9,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Bastille - Pompeii,Passenger | Let Her Go | Your Take Sessions,https://www.youtube.com/watch?v=xUaqwwq8PXo
10,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 3: Bastille - Pompeii,Labrinth - Beneath Your Beautiful - Live Session,https://www.youtube.com/watch?v=6iD7SHWM_Y0
11,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: John Mayer - Daughters,John Mayer - Daughters (Live at the Nokia Theatre),https://www.youtube.com/watch?v=APh3jv7j8sU
12,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: John Mayer - Daughters,Water Runs Dry - Boyz II Men (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=dpUBL6S7Hrw
13,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 4: John Mayer - Daughters,Bruno Mars 'The Lazy Song' Live Studio Session at Mophonics Studio NY,https://www.youtube.com/watch?v=3FZtN7T5PXM
14,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 5: Lifehouse - You and Me,Lifehouse - You and Me (Live & Rare Session) High Quality Audio,https://www.youtube.com/watch?v=WjCt1TtDbHw
15,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 5: Lifehouse - You and Me,Lenny Kravitz (Can't get you off of my mind) (Acustic) {JohnFloyd},https://www.youtube.com/watch?v=2LzFAUavf-4
16,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 6: Bedouin Soundclash - When The Night Feels My Song,Bedouin Soundclash - When The Night Feels My Song,https://www.youtube.com/watch?v=6zvBD3CsI0M
17,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 6: Bedouin Soundclash - When The Night Feels My Song,Jason Mraz- Prettiest Friend,https://www.youtube.com/watch?v=rIZmDHPqGl4
18,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Dave Grohl - Times Like These,Dave Grohl - Times Like These (Acoustic),https://www.youtube.com/watch?v=2w0JiLKQ3-o
19,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Dave Grohl - Times Like These,Chris Cornell - Black Hole Sun,https://www.youtube.com/watch?v=ltc5EsuyBh4
20,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 7: Dave Grohl - Times Like These,Audioslave - Doesn't Remind Me (Acoustic),https://www.youtube.com/watch?v=gSt8gJC692w
21,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 8: Ed Sheeran - One,Ed Sheeran - One [Official Music Video],https://www.youtube.com/watch?v=Ix9NXVIbm2A
22,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 8: Ed Sheeran - One,"Plain White T's - ""Hey There Delilah"" (Official Music Video)",https://www.youtube.com/watch?v=EbJtYqBYCV8
23,Physics,Acoustic  greatest hits,,12th,English/Hindi,Module 8: Ed Sheeran - One,Ed Sheeran - 'Photograph' (Capital Live Session),https://www.youtube.com/watch?v=SPKBtZHuzKY
