S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Lecture Collection | Classical Mechanics (Fall 2011),222hrs 23min,12th,English/Hindi,Module 1: Kinematics & Newton's Laws,Classical Mechanics | Lecture 1,https://www.youtube.com/watch?v=ApUFtLCrU90
2,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 1: Kinematics & Newton's Laws,Classical Mechanics | Lecture 2,https://www.youtube.com/watch?v=mYDrufxpW9E
3,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 1: Kinematics & Newton's Laws,Classical Mechanics | Lecture 3,https://www.youtube.com/watch?v=3apIZCpmdls
4,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 2: Work & Energy,Classical Mechanics | Lecture 4,https://www.youtube.com/watch?v=ojEwHlyty4Q
5,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 2: Work & Energy,Classical Mechanics | Lecture 5,https://www.youtube.com/watch?v=lW9GJ0aiaNc
6,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 2: Work & Energy,Classical Mechanics | Lecture 6,https://www.youtube.com/watch?v=7SiW_x3cUBo
7,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 3: Conservation Laws & Rotational Motion,Classical Mechanics | Lecture 7,https://www.youtube.com/watch?v=lQIbcV6dQzw
8,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 3: Conservation Laws & Rotational Motion,Classical Mechanics | Lecture 8,https://www.youtube.com/watch?v=oePbj7yrzUQ
9,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 4: Gravitation & Oscillations,Classical Mechanics | Lecture 9,https://www.youtube.com/watch?v=WJn6h-6MMa8
10,Physics,Lecture Collection | Classical Mechanics (Fall 2011),,12th,English/Hindi,Module 4: Gravitation & Oscillations,Classical Mechanics | Lecture 10,https://www.youtube.com/watch?v=bn5lKYHenSQ
