S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Computational Physics Using Python,105hrs 17min,12th,English/Hindi,Module 1: Introduction to Python,"Computational Physics Lecture 2, Introduction to Python",https://www.youtube.com/watch?v=mLZTDccwtfg
2,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 1: Introduction to Python,"Computational Physics Lecture 3, Introduction to Python",https://www.youtube.com/watch?v=D6ooi7lp5sk
3,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 1: Introduction to Python,"Computational Physics Lecture 4, Introduction to Matplotlib",https://www.youtube.com/watch?v=Xmr3VrtVJbU
4,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 1: Introduction to Python,"Computational Physics Lecture 5, Round-off and Truncation Errors",https://www.youtube.com/watch?v=jAQKjKqBSC8
5,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 2: Root Finding Methods,"Computational Physics Lecture 6, Root Finding and Bracketing Methods.",https://www.youtube.com/watch?v=0x-Sa8VYhoM
6,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 2: Root Finding Methods,"Computational Physics Lecture 7, Open Methods for Root Finding.",https://www.youtube.com/watch?v=dAUiJE_DgEI
7,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 2: Root Finding Methods,"Computational Physics Lecture 8, Comparison of Bracketing and Open Methods for Root Finding.",https://www.youtube.com/watch?v=OviWvWCkmh0
8,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 2: Root Finding Methods,"Computational Physics Lecture 9, Systems of Nonlinear Equations",https://www.youtube.com/watch?v=Ox2URrCYYWE
9,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 3: Linear Systems,"Computational Physics Lecture 10, Gauss Elimination Method for Linear Systems",https://www.youtube.com/watch?v=i_TFKflyJgs
10,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 3: Linear Systems,"Computational Physics Lecture 11, LU Decomposition and Matrix Inversion",https://www.youtube.com/watch?v=7ylr3Rzb10Q
11,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 3: Linear Systems,"Computational Physics Lecture 12, Special Matrices and Gauss-Seidel",https://www.youtube.com/watch?v=s9fD5R84iPA
12,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 4: Optimization,"Computational Physics Lecture 13, One-Dimensional Unconstrained Optimization",https://www.youtube.com/watch?v=z5EcwQkSTo4
13,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 4: Optimization,"Computational Physics Lecture 14, Multi-Dimensional Unconstrained Optimization",https://www.youtube.com/watch?v=t_ecplkojYo
14,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 5: Regression,"Computational Physics Lecture 15, Linear Regression",https://www.youtube.com/watch?v=HdZ3RuAioww
15,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 5: Regression,"Computational Physics Lecture 17, Interpolation",https://www.youtube.com/watch?v=ZA5QAIjP_14
16,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 5: Regression,"Computational Physics Lecture 16, General Linear Least Squares Regression and Non-Linear Regression",https://www.youtube.com/watch?v=_qZIkhIGSZk
17,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 6: Interpolation and Fourier Analysis,"Computational Physics Lecture 18, Fourier Series and Transform",https://www.youtube.com/watch?v=8Q8cVGDfd1E
18,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 6: Interpolation and Fourier Analysis,"Computational Physics Lecture 19, Discrete Fourier Transform and Fast Fourier Transform",https://www.youtube.com/watch?v=_FFJsZkywRY
19,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 6: Interpolation and Fourier Analysis,"Computational Physics Lecture 20, Numerical Integration I",https://www.youtube.com/watch?v=f1KsSaJrY-o
20,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 7: Numerical Integration,"Computational Physics Lecture 21, Romberg Integration and Gauss Quadrature",https://www.youtube.com/watch?v=eixp1LQWmt4
21,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 7: Numerical Integration,"Computational Physics Lecture 22, Numerical Integration of ODEs",https://www.youtube.com/watch?v=ev_g_6DKAHM
22,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 8: Numerical Integration of ODEs,"Computational Physics Lecture 23, Runge-Kutta Methods",https://www.youtube.com/watch?v=VfZlcCjTTj4
23,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 8: Numerical Integration of ODEs,"Computational Physics Lecture 24, Implicit Euler Method and Stiff ODEs.",https://www.youtube.com/watch?v=ZL97OhSi6UM
24,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 8: Numerical Integration of ODEs,"Computational Physics Lecture 25, Boundary-Value Problem for ODEs",https://www.youtube.com/watch?v=pKSVc9OSPsY
25,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 9: Partial Differential Equations,"Computational Physics Lecture 26, Introduction to Partial Differential Equations.",https://www.youtube.com/watch?v=6R1BL_VYsQc
26,Physics,Computational Physics Using Python,,12th,English/Hindi,Module 9: Partial Differential Equations,"Computational Physics Lecture 27, Finite-Difference Methods for Parabolic PDEs",https://www.youtube.com/watch?v=digYZPXbcXE
