S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Physics -  Condensed Matter Physics,72hrs 3min,12th,English/Hindi,Module 1: Introduction to Condensed Matter Physics,Mod-01 Lec-01 Principles of Condensed Matter Physics,https://www.youtube.com/watch?v=_Ckh-60B6LY
2,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 1: Introduction to Condensed Matter Physics,Mod-01 Lec-2 Symmetry in Perfect Solids,https://www.youtube.com/watch?v=wB7YEqLhiMU
3,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 1: Introduction to Condensed Matter Physics,Mod-01 Lec-3 Symmetry in Perfect Solids (Continued),https://www.youtube.com/watch?v=BJizf08ZQOo
4,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 1: Introduction to Condensed Matter Physics,Mod-01 Lec-3ex Symmetry in Perfect Solids - Worked Examples,https://www.youtube.com/watch?v=Ov0Ryr45edE
5,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 2: Diffraction and Crystal Properties,Mod-01 Lec-4 Diffraction Methods For Crystal Structures,https://www.youtube.com/watch?v=z_8aJPLr21E
6,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 2: Diffraction and Crystal Properties,Mod-01 Lec-5 Diffraction Methods For Crystal Structures (Continued),https://www.youtube.com/watch?v=mRF98voO5nY
7,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 2: Diffraction and Crystal Properties,Mod-01 Lec-5ex Diffraction Methods For Crystal Structures - Worked Examples,https://www.youtube.com/watch?v=-2WS6cjF-l8
8,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 2: Diffraction and Crystal Properties,Mod-01 Lec-6 Physical Properties of Crystals,https://www.youtube.com/watch?v=08nTHM6p95g
9,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 3: Free Electron Theory and Thermal Properties,Mod-01 Lec-7 Physical Properties of Crystals (Continued),https://www.youtube.com/watch?v=A-U3evUQLVk
10,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 3: Free Electron Theory and Thermal Properties,Mod-01 Lec-7ex Physical Properties of Crystals - Worked Examples,https://www.youtube.com/watch?v=AOM463bGAlM
11,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 3: Free Electron Theory and Thermal Properties,Mod-01 Lec-8 Cohesion in Solids,https://www.youtube.com/watch?v=LuGqhJsqOag
12,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 3: Free Electron Theory and Thermal Properties,Mod-01 Lec-8ex Cohesion in Solids - Worked Examples,https://www.youtube.com/watch?v=h_Vw5vefl_I
13,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 4: Phonons and Lattice Vibrations,Mod-01 Lec-9 The Free Electron Theory of Metals,https://www.youtube.com/watch?v=L-eOdZFt9BY
14,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 4: Phonons and Lattice Vibrations,Mod-01Lec-9ex The Free Electron Theory of Metals - Worked Examples,https://www.youtube.com/watch?v=ZhCk45RFJpk
15,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 4: Phonons and Lattice Vibrations,Mod-01 Lec-10 The Free Electron Theory of Metals - Electrical Conductivity,https://www.youtube.com/watch?v=G2zgAs5O7I8
16,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 4: Phonons and Lattice Vibrations,Mod-01 Lec-10ex The Free Electron Theory of Metals - Electrical Conductivity - Worked Examples,https://www.youtube.com/watch?v=rXunYiVZcF4
17,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 5: Dielectric Properties of Solids,Mod-01 Lec-11 Thermal Conductivity of Metals,https://www.youtube.com/watch?v=P6fx2oMbf6s
18,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 5: Dielectric Properties of Solids,Mod-01 Llec-11ex Thermal Conductivity of Metals - Worked Examples,https://www.youtube.com/watch?v=qMcIIIRobpM
19,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 5: Dielectric Properties of Solids,Mod-01 Lec-12 The Concept of Phonons,https://www.youtube.com/watch?v=J4CwGFpgt1I
20,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 6: Magnetism I,"Mod-01 Lec-13 Debye Theory of Specific Heat, Lattice Vibrations",https://www.youtube.com/watch?v=QqYAkuVsqQQ
21,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 6: Magnetism I,"Mod-01 Lec-13ex Debye Theory of Specific Heat, Lattice Vibrations - Worked Examples",https://www.youtube.com/watch?v=RPusJNXEVMQ
22,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 6: Magnetism I,Mod-01 Lec-14 Lattice Vibrations (Continued) Phonon thermal conductivity,https://www.youtube.com/watch?v=kygXzJa7tX4
23,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 6: Magnetism I,Mod-01 Lec-14ex Lattice Vibrations (Continued) Phonon Thermal Conductivity - Worked Examples,https://www.youtube.com/watch?v=wYhJMynesug
24,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 6: Magnetism I,Mod-01 Lec-15 Anharmonicity and Thermal Expansion,https://www.youtube.com/watch?v=Ny0KKiQI1YQ
25,Physics,Physics -  Condensed Matter Physics,,12th,English/Hindi,Module 7: Magnetism II,Mod-01 Lec-16 Dielectric (Insulating) Solids,https://www.youtube.com/watch?v=etjZmdmrjSU
