S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Plasma Physics and Applications,9hrs 14min,12th,English/Hindi,Module 1: Introduction to Plasma Physics,Plasma Physics and Application Promo,https://www.youtube.com/watch?v=CtVshZ5QqUU
2,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 1: Introduction to Plasma Physics,Lecture 01: Introduction to Plasma,https://www.youtube.com/watch?v=gxnJNU72jyc
3,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 1: Introduction to Plasma Physics,Lecture 02: Introduction to Plasma - II,https://www.youtube.com/watch?v=zlgBYnLpTaQ
4,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 2: Plasma Oscillations and Shielding,Lecture 03: Plasma Oscillations,https://www.youtube.com/watch?v=LjaLmw3E1cA
5,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 2: Plasma Oscillations and Shielding,Lecture 04: Debye Shielding,https://www.youtube.com/watch?v=itJAH4xg87c
6,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 2: Plasma Oscillations and Shielding,Lecture 05: Debye Potential,https://www.youtube.com/watch?v=1cccvm48CEA
7,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 2: Plasma Oscillations and Shielding,Lecture 06: Debye Potential - II,https://www.youtube.com/watch?v=0JQXmAn7eQg
8,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 3: Debye Length and Plasma Criteria,Lecture 7: Debye Length and Plasma Criteria,https://www.youtube.com/watch?v=XwmuCOL4Vdo
9,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 3: Debye Length and Plasma Criteria,Lecture 08:  More Aspects of Debye Shielding,https://www.youtube.com/watch?v=ImIsjbbGcxQ
10,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 4: Plasma as a Gas and Particle Motion,Lecture 09: Numerical Problems on Debye Shielding,https://www.youtube.com/watch?v=Z1TTOM7QdQw
11,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 4: Plasma as a Gas and Particle Motion,Lecture 10:  Plasma as a Gas & Distribution of Velocities,https://www.youtube.com/watch?v=TPn86hyU-s8
12,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 4: Plasma as a Gas and Particle Motion,Lecture 11:  Numerical Problems on Debye Shielding -II,https://www.youtube.com/watch?v=UuEXodPIzlA
13,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 5: Single-Particle Motion in Fields,Lecture 12: Single-Particle Motion in Uniform Electric Field,https://www.youtube.com/watch?v=fSezTMmZA58
14,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 5: Single-Particle Motion in Fields,Lecture 13: Single-Particle Motion in Uniform Magnetic Field,https://www.youtube.com/watch?v=uMcC2OUNwkw
15,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 5: Single-Particle Motion in Fields,Lecture 14: Single-Particle Motion in Uniform Magnetic Field -II,https://www.youtube.com/watch?v=vgTKMuiBw2E
16,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 5: Single-Particle Motion in Fields,Lecture 15: Single-Particle Motion in Uniform Magnetic Field -III,https://www.youtube.com/watch?v=qeT_EI0Ypmg
17,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 6: Drifts in Plasma,Lecture 16: Single-Particle Motion Under Uniform Magnetic field - IV,https://www.youtube.com/watch?v=InJQGUT8QYk
18,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 6: Drifts in Plasma,Lecture 17: Motion in Perpendicular Electric and Magnetic fields,https://www.youtube.com/watch?v=EPJ7kaR1BEc
19,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 6: Drifts in Plasma,Lecture 18: Motion in Perpendicular Electric and Magnetic fields - II,https://www.youtube.com/watch?v=Bc_CDPbhc6o
20,Physics,Plasma Physics and Applications,,12th,English/Hindi,Module 6: Drifts in Plasma,Lecture 19: Gradient Drift,https://www.youtube.com/watch?v=Z3hr2vRvf0g
