S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Relativity by eigenchris,25hrs 15min,12th,English/Hindi,Module 1: Introduction to Relativity,Relativity 101a: Introduction to Galilean Relativity,https://www.youtube.com/watch?v=bEtBncTEc6k
2,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 1: Introduction to Relativity,Relativity 101b: Introduction to Special Relativity,https://www.youtube.com/watch?v=i_6TOkSMN_o
3,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 1: Introduction to Relativity,Relativity 102a: Keys to Mathematics of Relativity - Invariance,https://www.youtube.com/watch?v=_Il-aQ8RY6Y
4,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 1: Introduction to Relativity,Relativity 102b: Keys to Relativity - Covariance and Contravariance,https://www.youtube.com/watch?v=kkJ6J1izNBM
5,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 2: Keys to Mathematics of Relativity,Relativity 103a: Galilean Relativity - Spacetime Diagrams,https://www.youtube.com/watch?v=powCBsDOa8U
6,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 2: Keys to Mathematics of Relativity,Relativity 103b: Galilean Relativity - Spacetime Separation (Interval) Vector and Invariance,https://www.youtube.com/watch?v=ZCDf2u9rr3Q
7,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 2: Keys to Mathematics of Relativity,Relativity 103c: Galilean Relativity - Galilean Transform and Covariance/Contravariance,https://www.youtube.com/watch?v=69hgjHxlp5E
8,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 3: Galilean Relativity,Relativity 103d: Galilean Relativity - Euclidean Metric Tensor,https://www.youtube.com/watch?v=ndjiLM5L-1s
9,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 3: Galilean Relativity,Relativity 103e: Galilean Relativity - The problems with Galilean Relativity,https://www.youtube.com/watch?v=JEDSTWtiBks
10,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 3: Galilean Relativity,Relativity 104a: Special Relativity - Lorentz Transformation Geometry (no equations),https://www.youtube.com/watch?v=5bSy18w8Dh0
11,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 3: Galilean Relativity,Relativity 104b: Special Relativity - Lorentz Transform Equations Derivation,https://www.youtube.com/watch?v=240YGZmV1b0
12,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 3: Galilean Relativity,Relativity 104c: Special Relativity - Time Dilation and Length Contraction Geometry,https://www.youtube.com/watch?v=WOLUSQK1Jtk
13,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 4: Special Relativity - Lorentz Transformation,Relativity 104d: Special Relativity - Velocity Addition and Relativity of Simultaneity,https://www.youtube.com/watch?v=z66mUouLRgg
14,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 4: Special Relativity - Lorentz Transformation,Relativity 104e: Special Relativity - Spacetime Interval and Minkowski Metric,https://www.youtube.com/watch?v=km7WTO_6K5s
15,Physics,Relativity by eigenchris,,12th,English/Hindi,Module 4: Special Relativity - Lorentz Transformation,Relativity 104f: Special Relativity - Relativistic Dynamics and 4-Vectors (E=mc^2),https://www.youtube.com/watch?v=5imqEuaz-48
