S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Physics,Statistical Mechanics Simplified (Full Course),10hrs 22min,12th,English/Hindi,Module 1: Introduction to Statistical Mechanics,Sheep Explains Statistical Mechanics in a Nutshell.,https://www.youtube.com/watch?v=Qz5D2bUQk4c
2,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 1: Introduction to Statistical Mechanics,Understanding Permutations and Combinations (Derivation and Physical Meaning) by mathOgenius,https://www.youtube.com/watch?v=7fEdT98K7mY
3,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 1: Introduction to Statistical Mechanics,What are Microstates and Macrostates in Statistical Mechanics by mathOgenius,https://www.youtube.com/watch?v=XzypwnICLSg
4,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 1: Introduction to Statistical Mechanics,Relation between Statistical Mechanics and Thermodynamics Derivation | Entropy and Probability.,https://www.youtube.com/watch?v=rV9vjjT9lFU
5,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 2: Connecting Statistical Mechanics and Thermodynamics,STIRLING'S APPROXIMATION (DERIVATION AND UNDERSTANDING) By mathOgenius,https://www.youtube.com/watch?v=TurWBA9jC7g
6,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 2: Connecting Statistical Mechanics and Thermodynamics,Thermodynamic Probability of Maxwell-Boltzmann Statistics(M-B Distribution Function-1),https://www.youtube.com/watch?v=q5di000odQs
7,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 2: Connecting Statistical Mechanics and Thermodynamics,Maxwell Boltzmann Distribution law (Derivation) by mathOgenius,https://www.youtube.com/watch?v=tweYNwD0-W4
8,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 3: Statistical Distributions,Thermodynamic Probability of Bose-Einstein Statistics by mathOgenius,https://www.youtube.com/watch?v=ta5MmnbquiA
9,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 3: Statistical Distributions,Bose and Einstein Distribution law (Derivation) by mathOgenius,https://www.youtube.com/watch?v=jCJpW_dZYk0
10,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 3: Statistical Distributions,Thermodynamic Probability of Fermi-Dirac Statistics (Derivation) by mathOgenius,https://www.youtube.com/watch?v=FFi--ouFJm0
11,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 3: Statistical Distributions,FERMI DIRAC DISTRIBUTION LAW (DERIVATION) By mathOgenius,https://www.youtube.com/watch?v=fnMVPCMcZ9U
12,Physics,Statistical Mechanics Simplified (Full Course),,12th,English/Hindi,Module 3: Statistical Distributions,Determination of Constants(Lagrange's Multipliers) in Statistical Mechanics by mathOgenius,https://www.youtube.com/watch?v=iPzrkzaFKhI
