S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Political Science,Complete World Geography through Maps,44hrs 30min,12th,English/Hindi,Module 1: South America,World Mapping: South America | Countries & Capitals | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=SNpWQbyuy2U
2,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 1: South America,World Mapping: South America | Lakes and Mountains | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=38nrM82Or1g
3,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 1: South America,World Mapping: South America | Deserts & Grasslands | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=mR-W3Qq1_l4
4,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 1: South America,World Mapping: South America | UPSC/SSC/PCS | South America Rivers | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=9gg1RC-Pg48
5,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Countries and Places | UPSC/IAS/SSC/PCS | Geography by Sudarshan Gurjar | P1,https://www.youtube.com/watch?v=YYhCbIlCH3M
6,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Countries and Places | UPSC/IAS/SSC/PCS | Geography by Sudarshan Gurjar | P2,https://www.youtube.com/watch?v=y5GMtbU9H-s
7,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Lakes of Africa | UPSC/IAS/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=Wv_R9B0t0Ic
8,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Mountains of Africa | UPSC/IAS/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=BWb0OAMOooE
9,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Rivers of Africa | UPSC/IAS/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=bKVZ-_cPh-0
10,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 2: Africa,World Mapping: Africa | Deserts & Grasslands of Africa | UPSC/SSC/PCS |Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=kuUTiHiiDK8
11,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 3: North America,Complete World Maps (North America - Countries & Places)| World Mapping by Sudarshan Gurjar,https://www.youtube.com/watch?v=GIhLeUHa6WE
12,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 3: North America,Complete World Maps (North America - Important Seas & Straits)| World Mapping by Sudarshan Gurjar,https://www.youtube.com/watch?v=KDpWOHxJ4q0
13,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 3: North America,Complete World Maps (North America - Lakes)| World Mapping by Sudarshan Gurjar,https://www.youtube.com/watch?v=YN44qpp0-b8
14,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 3: North America,Complete World Maps (North America - Mountains)| World Mapping by Sudarshan Gurjar,https://www.youtube.com/watch?v=TPNAE8HNjAY
15,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 3: North America,Complete World Maps (North America - Rivers & Deserts)| World Mapping by Sudarshan Gurjar,https://www.youtube.com/watch?v=Sg_FBUjx-y8
16,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Countries & Capitals | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=iaTT5p-bK88
17,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Countries & Capitals 2 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=SQ8dIPxx9w8
18,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Countries & Capitals 3 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=-yZ-mfBvGeQ
19,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Seas of Europe | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=Umf1Y41IZqw
20,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Straits (प्रमुख जलसन्धियाँ )  | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=FfZG03SeusE
21,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Mountains of Europe  | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=ldjPxmduz-Q
22,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 4: Europe,World Mapping: Europe | Rivers of Europe  | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=4u1-MweGSqA
23,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 5: Australia & Oceania,World Mapping: Australia | Political | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=0mZrU_2bCvk
24,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 5: Australia & Oceania,World Mapping: Australia | Physical | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=70D_yZ6HUxE
25,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Political | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=huWsXju94wE
26,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Political 2 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=ro7L0v0fZnE
27,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Political 3 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=_qBQVO2S5j0
28,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Political 4 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=TBQaPx6RyGU
29,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Seas & Straits | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=oLTUjKoFxqM
30,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Seas & Straits 2 | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=jMVzRYK8gpI
31,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Lakes & Deserts | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=nO8lKrTL1XY
32,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Mountains | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=wR4ipQfSJZ4
33,Political Science,Complete World Geography through Maps,,12th,English/Hindi,Module 6: Asia,World Mapping: Asia | Rivers | UPSC/SSC/PCS | Geography by Sudarshan Gurjar,https://www.youtube.com/watch?v=u7CEZTtsAA0
