S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,50hrs 32min,12th,English/Hindi,Module 1: Overview of International Relations and Key Concepts,India's Bilateral Military Exercises in 2023 | International Relations | OnlyIAS,https://www.youtube.com/watch?v=VBTvFTv7guc
2,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 1: Overview of International Relations and Key Concepts,Indian Diaspora in the World FULL CHAPTER | Chapter 28 | UPSC Preparation,https://www.youtube.com/watch?v=4xKyzDm3jho
3,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 1: Overview of International Relations and Key Concepts,Non Aligned Movement FULL CHAPTER | International Relations Chapter 27 | UPSC Preparation,https://www.youtube.com/watch?v=j9gyGcvbcXU
4,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 1: Overview of International Relations and Key Concepts,"International Treaties ( UNCLOS , ISA ) FULL CHAPTER | International Relations Chapter 26",https://www.youtube.com/watch?v=BpTXTkN43sw
5,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 2: India's Neighborhood First Policy,Terrorism FULL CHAPTER | International Relations Chapter 25 | UPSC Preparation,https://www.youtube.com/watch?v=pEnYEsXYTLI
6,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 2: India's Neighborhood First Policy,"Organisations, Groupings and Institutions of the World FULL CHAPTER | Chapter 24 | UPSC Preparation",https://www.youtube.com/watch?v=thtmxYmHq7o
7,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 2: India's Neighborhood First Policy,Indo-Africa Relations FULL CHAPTER | International Relations Chapter 23 | UPSC Preparation,https://www.youtube.com/watch?v=eQWpo4YDWlo
8,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 2: India's Neighborhood First Policy,Indo-US Relations FULL CHAPTER | International Relations Chapter 22 | UPSC Preparation,https://www.youtube.com/watch?v=pjZ-fvtHFuM
9,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 3: India's Engagement with South Asia and its Extended Neighborhood,India and Europe Relations FULL CHAPTER | International Relations Chapter 21 | UPSC Preparation,https://www.youtube.com/watch?v=kBzKXfH7TDo
10,Political Science,International Relations | IR FOR UPSC |  FREE UPSC Preparation,,12th,English/Hindi,Module 3: India's Engagement with South Asia and its Extended Neighborhood,Indo - Russia Relations FULL CHAPTER | International Relations Chapter 20 | UPSC Preparation,https://www.youtube.com/watch?v=xTzAFJeAmro
