S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Political Science,Political Psychology Stuff,19hrs 33min,12th,English/Hindi,Module 1: Understanding Transphobia and Political Psychology,The Psychology of Transphobia,https://www.youtube.com/watch?v=ucotv-Yl01Q
2,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 1: Understanding Transphobia and Political Psychology,The MAGA Psychology | Authoritarian Personality Explained,https://www.youtube.com/watch?v=ka3qImlXods
3,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 1: Understanding Transphobia and Political Psychology,Why Are Old People So Conservative? Psychology of Politics,https://www.youtube.com/watch?v=dfGuqUEzbCU
4,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 1: Understanding Transphobia and Political Psychology,How I (almost) Left the Left,https://www.youtube.com/watch?v=JyuLQOWBjlA
5,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 2: The Psychology of Conservatism and Authoritarianism,Why Does This Talking Point Still Exist?,https://www.youtube.com/watch?v=68GNNosaOyQ
6,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 2: The Psychology of Conservatism and Authoritarianism,What is Wrong with George Santos? Psychology of the Biggest Liar in Congress,https://www.youtube.com/watch?v=dByn9gHmPno
7,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 2: The Psychology of Conservatism and Authoritarianism,New Study on Psychology of Conspiracy Theories,https://www.youtube.com/watch?v=bfXA-ZgF5gY
8,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 2: The Psychology of Conservatism and Authoritarianism,Why Are People Transphobic? Psychology of Politics (old),https://www.youtube.com/watch?v=edVxKToodKE
9,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 3: Analyzing Political Ideologies and Movements,"Political Psychology of Cringe pro-Russia ""Leftists""",https://www.youtube.com/watch?v=t-HHQ_dDgO0
10,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 3: Analyzing Political Ideologies and Movements,Why the Political Compass is Wrong about Politics,https://www.youtube.com/watch?v=L-dmVV_xkvY
11,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 3: Analyzing Political Ideologies and Movements,Cenk Uygur: Are Conservatives Disabled?,https://www.youtube.com/watch?v=tgNM5mnveLI
12,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 3: Analyzing Political Ideologies and Movements,Study: Do Conservatives Think & Fear Differently?,https://www.youtube.com/watch?v=l0Mos-6mrps
13,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 4: Case Studies in Political Psychology,What Led to MAGA Coup? Ultimate List Pt1,https://www.youtube.com/watch?v=AqkIKN3wzyA
14,Political Science,Political Psychology Stuff,,12th,English/Hindi,Module 4: Case Studies in Political Psychology,MAGA Brain - Right-Wing Authoritarian Personality Explained,https://www.youtube.com/watch?v=GU509leg75Q
